F_u,avg_end_edge,avg_edge_cloud,total_utility
0.5,0.0,3.0,13.905845311378947
1.5,113.25,122.25,14.241489833989469
2.5,113.15,121.55,16.292183661958152
3.5,112.65,120.45,17.10328555300422
4.5,108.85,118.1,17.609180265078464
5.5,104.0,123.3,17.906387139433743
6.5,111.2,114.6,18.148590177753043
7.5,113.2,124.1,18.30516061745938
