algorithm,step,current_obj,best_obj,evaluations,elapsed_s
Random,75,-44.14495912780485,1.0068976625130184,76,0.020849700085818768
Random,76,-17.59572874166932,1.0068976625130184,77,0.02111559989862144
Random,77,-9.28493861052014,1.0068976625130184,78,0.021333999931812286
Random,78,-20.807008105154583,1.0068976625130184,79,0.02155010006390512
Random,79,-61.27472978071806,1.0068976625130184,80,0.021765199955552816
Random,80,-27.11258025692772,1.0068976625130184,81,0.021982300095260143
Random,81,-121.05408222831466,1.0068976625130184,82,0.02254569996148348
Random,82,-70.19818392324987,1.0068976625130184,83,0.02284210012294352
Random,83,-27.08313325172105,1.0068976625130184,84,0.023107799934223294
Random,84,-34.78363632151925,1.0068976625130184,85,0.02338979998603463
Random,85,-14.62939216307975,1.0068976625130184,86,0.023633399978280067
Random,86,-22.519202643587594,1.0068976625130184,87,0.023865200113505125
Random,87,-61.811661889285176,1.0068976625130184,88,0.024111300008371472
Random,88,-34.04819636479098,1.0068976625130184,89,0.024355800123885274
Random,89,-60.154077474126275,1.0068976625130184,90,0.024595499970018864
Random,90,-58.995098602815766,1.0068976625130184,91,0.02485710009932518
Random,91,-120.79091180482152,1.0068976625130184,92,0.025121100014075637
Random,92,-44.408507195577464,1.0068976625130184,93,0.025367300026118755
Random,93,-45.04334236416139,1.0068976625130184,94,0.025609999895095825
Random,94,-10.374721023174915,1.0068976625130184,95,0.025847499957308173
Random,95,-21.73052356226321,1.0068976625130184,96,0.026085699908435345
Random,96,-9.568092953512533,1.0068976625130184,97,0.02634610002860427
Random,97,-7.074407385617622,1.0068976625130184,98,0.026592500042170286
Random,98,-22.760099159345568,1.0068976625130184,99,0.026831099996343255
Random,99,-105.96039503135756,1.0068976625130184,100,0.027085399953648448
Random,100,-59.607093114765306,1.0068976625130184,101,0.027330700075253844
Random,101,-108.70190560715406,1.0068976625130184,102,0.02755749993957579
Random,102,-27.236487708214153,1.0068976625130184,103,0.02779920003376901
Random,103,-42.86511647049596,1.0068976625130184,104,0.028035900089889765
Random,104,-94.0181649974861,1.0068976625130184,105,0.02826320007443428
Random,105,-47.34267510585173,1.0068976625130184,106,0.02848499990068376
Random,106,-26.987844115927906,1.0068976625130184,107,0.028714099898934364
Random,107,-53.39110097452981,1.0068976625130184,108,0.02894879993982613
Random,108,-22.983382637770834,1.0068976625130184,109,0.02920099999755621
Random,109,-73.0660930523941,1.0068976625130184,110,0.029462500009685755
Random,110,-25.820518972799906,1.0068976625130184,111,0.030289300018921494
Random,111,-107.18998100948976,1.0068976625130184,112,0.031082100002095103
Random,112,-62.6086024113788,1.0068976625130184,113,0.03137330012395978
Random,113,-107.17283491336852,1.0068976625130184,114,0.03162929997779429
Random,114,-40.20790760474073,1.0068976625130184,115,0.031868299935013056
Random,115,-4.190894894550584,1.0068976625130184,116,0.03209779993630946
Random,116,-26.848115727441165,1.0068976625130184,117,0.032331000082194805
Random,117,-40.09406050204848,1.0068976625130184,118,0.032600400038063526
Random,118,-141.67485728192153,1.0068976625130184,119,0.03283359995111823
Random,119,-64.58460585936635,1.0068976625130184,120,0.0331341999117285
Random,120,-27.924540799464747,1.0068976625130184,121,0.033459800062701106
Random,121,-22.230066313249214,1.0068976625130184,122,0.03512950008735061
Random,122,-43.70814099545194,1.0068976625130184,123,0.035409400006756186
Random,123,-59.508134782639964,1.0068976625130184,124,0.03564410004764795
Random,124,-47.036542711152286,1.0068976625130184,125,0.035870299907401204
Random,125,-4.626642894375286,1.0068976625130184,126,0.036091099958866835
Random,126,-9.365939032153904,1.0068976625130184,127,0.03630849998444319
Random,127,-5.922222483875998,1.0068976625130184,128,0.03652340010739863
Random,128,-18.204864466826134,1.0068976625130184,129,0.0367421000264585
Random,129,-35.56966863661361,1.0068976625130184,130,0.03710710001178086
Random,130,-25.395287854713747,1.0068976625130184,131,0.03754399996250868
Random,131,-106.68094741650431,1.0068976625130184,132,0.037801200058311224
Random,132,-88.413242832977,1.0068976625130184,133,0.038028999930247664
Random,133,-143.87166339945682,1.0068976625130184,134,0.038263299968093634
Random,134,-48.83817426157733,1.0068976625130184,135,0.03848950006067753
Random,135,-61.243619865497216,1.0068976625130184,136,0.03871389990672469
Random,136,-50.42413645453865,1.0068976625130184,137,0.03897029999643564
Random,137,-19.36524325990131,1.0068976625130184,138,0.03919619997031987
Random,138,-10.255752770840784,1.0068976625130184,139,0.039418499916791916
Random,139,-29.514651467960643,1.0068976625130184,140,0.03964169998653233
Random,140,-67.37531495868654,1.0068976625130184,141,0.0398756000213325
Random,141,-40.401418661229194,1.0068976625130184,142,0.040104399900883436
Random,142,0.6321960022756921,1.0068976625130184,143,0.040321100037544966
Random,143,-50.75197024536626,1.0068976625130184,144,0.040543399984017015
Random,144,-20.791989770285763,1.0068976625130184,145,0.0407901001162827
Random,145,-108.62465272620618,1.0068976625130184,146,0.04103800002485514
Random,146,-73.44851373167057,1.0068976625130184,147,0.04127470008097589
Random,147,-98.11143793029203,1.0068976625130184,148,0.04155510012060404
Random,148,-46.362402136966224,1.0068976625130184,149,0.0418372000567615
Random,149,-26.507709767966485,1.0068976625130184,150,0.04207470011897385
Random,150,-2.547023367619083,1.0068976625130184,151,0.0423165000975132
Random,151,-97.91439082437282,1.0068976625130184,152,0.04255299991928041
Random,152,-143.85957279488022,1.0068976625130184,153,0.0428267999086529
Random,153,-46.47258294070804,1.0068976625130184,154,0.043086000019684434
Random,154,-69.29459343425508,1.0068976625130184,155,0.0433249999769032
Random,155,-73.33868604251123,1.0068976625130184,156,0.04357509990222752
Random,156,-61.02627772457209,1.0068976625130184,157,0.043813399970531464
Random,157,-16.801312983722926,1.0068976625130184,158,0.04405390005558729
Random,158,-43.98554377724883,1.0068976625130184,159,0.04428860009647906
Random,159,-36.52904457734257,1.0068976625130184,160,0.04452100000344217
Random,160,-29.9380049524855,1.0068976625130184,161,0.044792399974539876
Random,161,-94.09214546657601,1.0068976625130184,162,0.0450418998952955
Random,162,-109.96694662680444,1.0068976625130184,163,0.045268400106579065
Random,163,-120.44574507101916,1.0068976625130184,164,0.045490199932828546
Random,164,-94.74401818809658,1.0068976625130184,165,0.04571239999495447
Random,165,-141.7416880286015,1.0068976625130184,166,0.0459326000418514
Random,166,-94.72506575067032,1.0068976625130184,167,0.04622030002065003
Random,167,-60.841708867646474,1.0068976625130184,168,0.046746599953621626
Random,168,-18.890608670177453,1.0068976625130184,169,0.047038499964401126
Random,169,-141.70314561229404,1.0068976625130184,170,0.047308099921792746
Random,170,-9.374852124303278,1.0068976625130184,171,0.047948299907147884
Random,171,-43.363185058804326,1.0068976625130184,172,0.048283099895343184
Random,172,-22.571041303849228,1.0068976625130184,173,0.04856229992583394
Random,173,-100.4092174424199,1.0068976625130184,174,0.048957400023937225
Random,174,-73.43497592198864,1.0068976625130184,175,0.049204800045117736
Random,175,-98.08226775755523,1.0068976625130184,176,0.049437700072303414
Random,176,-142.35414531135055,1.0068976625130184,177,0.04967069998383522
Random,177,-62.485071271298814,1.0068976625130184,178,0.04991189995780587
Random,178,-110.52985582848687,1.0068976625130184,179,0.05014659999869764
Random,179,-107.2057411799247,1.0068976625130184,180,0.050405200105160475
Random,180,-49.36702834478193,1.0068976625130184,181,0.05064809997566044
Random,181,-35.55595248890121,1.0068976625130184,182,0.0508799001108855
Random,182,-14.675051829183387,1.0068976625130184,183,0.05112150008790195
Random,183,-94.67130500020598,1.0068976625130184,184,0.05142359994351864
Random,184,-110.43511725132782,1.0068976625130184,185,0.05167670012451708
Random,185,-95.64927214809944,1.0068976625130184,186,0.051935800118371844
Random,186,-44.39924908190984,1.0068976625130184,187,0.05236859992146492
Random,187,-34.01673879557566,1.0068976625130184,188,0.052833300083875656
Random,188,-73.31390228331142,1.0068976625130184,189,0.053266000002622604
Random,189,-94.00671641080244,1.0068976625130184,190,0.05369010008871555
Random,190,-3.2721138255586806,1.0068976625130184,191,0.05415389989502728
Random,191,-52.51499659847698,1.0068976625130184,192,0.05456790002062917
Random,192,-120.66034836767865,1.0068976625130184,193,0.05499129998497665
Random,193,-142.75709283426775,1.0068976625130184,194,0.05542370001785457
Random,194,-142.50245866094062,1.0068976625130184,195,0.05584380007348955
Random,195,-58.847159182205196,1.0068976625130184,196,0.056315300054848194
Random,196,-142.42345485120413,1.0068976625130184,197,0.056734800105914474
Random,197,-94.82536645326144,1.0068976625130184,198,0.05716630001552403
Random,198,-61.441985701444985,1.0068976625130184,199,0.05758069991134107
Random,199,-98.48792060136661,1.0068976625130184,200,0.05803019995801151
Greedy,0,0.7516082788272508,0.7516082788272508,1,0.0
Greedy,1,1.0516920326245036,1.0516920326245036,23233,5.9540597999002784
Greedy,2,1.1529526973302655,1.1529526973302655,46465,10.92078849999234
Greedy,3,1.1529526973302655,1.1529526973302655,69697,16.847590999910608
Greedy,4,1.1529526973302655,1.1529526973302655,92929,21.688435799907893
Exhaustive/BF,0,-142.7087508211233,-142.7087508211233,1,0.0
Exhaustive/BF,1,1.1359788606916403,1.1359788606916403,2,0.0
Exhaustive/BF,2,1.1359788606916403,1.1359788606916403,3,0.0
