stage,epoch,train_loss,train_acc,val_loss,val_acc,best_val_acc,batch_size,accumulation
after_layer1,1,1.9364901160436963,16.19047619047619,1.8492730087704128,6.666666666666667,6.666666666666667,256,1
after_layer1,2,1.8172425285218254,11.904761904761905,1.778718168647201,28.88888888888889,28.88888888888889,256,1
after_layer1,3,1.7521778927909004,23.333333333333332,1.6937717031549524,35.18518518518518,35.18518518518518,256,1
after_layer1,4,1.6573079328688365,35.476190476190474,1.6225079580589576,41.48148148148148,41.48148148148148,256,1
after_layer1,5,1.587150452250526,41.42857142857143,1.576616754355254,35.55555555555556,41.48148148148148,256,1
after_layer1,6,1.5355646943289136,49.12698412698413,1.5064633978737725,59.25925925925926,59.25925925925926,256,1
after_layer1,7,1.4723520475720602,56.98412698412698,1.454336663528725,61.48148148148148,61.48148148148148,256,1
after_layer1,8,1.4339537703801715,57.46031746031746,1.4148672589549312,59.629629629629626,61.48148148148148,256,1
after_layer1,9,1.3943404004687354,59.84126984126984,1.3842719166367143,65.92592592592592,65.92592592592592,256,1
after_layer1,10,1.3497901609965732,65.15873015873017,1.3566894513589365,62.96296296296296,65.92592592592592,256,1
after_layer1,11,1.3338989288087875,63.80952380952381,1.3296874973509047,64.81481481481481,65.92592592592592,256,1
after_layer1,12,1.300608035496303,64.04761904761905,1.3070420989283809,67.03703703703704,67.03703703703704,256,1
after_layer1,13,1.2971423940053062,66.5079365079365,1.2935673466435185,73.33333333333333,73.33333333333333,256,1
after_layer1,14,1.2753658139516437,69.28571428571429,1.283338761329651,68.51851851851852,73.33333333333333,256,1
after_layer1,15,1.2536127018550085,70.39682539682539,1.273766639497545,65.92592592592592,73.33333333333333,256,1
after_layer1,16,1.2537524961289905,68.25396825396825,1.2664279496228252,67.77777777777777,73.33333333333333,256,1
after_layer1,17,1.251111314410255,71.26984126984127,1.2614420590577302,68.51851851851852,73.33333333333333,256,1
after_layer1,18,1.2361936516231962,70.31746031746032,1.2588071487568042,69.62962962962963,73.33333333333333,256,1
after_layer2,1,1.849383064678737,12.222222222222221,1.7920934624142117,27.037037037037038,27.037037037037038,256,1
after_layer2,2,1.708473623745025,30.476190476190474,1.6123263862397936,46.2962962962963,46.2962962962963,256,1
after_layer2,3,1.5350035750676716,55.87301587301587,1.46123408653118,64.07407407407408,64.07407407407408,256,1
after_layer2,4,1.3921537762596494,68.01587301587301,1.3431875705718994,57.77777777777778,64.07407407407408,256,1
after_layer2,5,1.2573990027109783,71.11111111111111,1.22449182316109,67.4074074074074,67.4074074074074,256,1
after_layer2,6,1.1719654821214223,76.66666666666667,1.1372847936771535,71.11111111111111,71.11111111111111,256,1
after_layer2,7,1.0839522210378496,80.23809523809524,1.0894377540659022,70.37037037037037,71.11111111111111,256,1
after_layer2,8,1.0313451369603475,79.68253968253968,1.0141872829861112,76.66666666666667,76.66666666666667,256,1
after_layer2,9,0.9791461335288154,80.71428571428571,0.9594681338027672,77.77777777777777,77.77777777777777,256,1
after_layer2,10,0.9150838252097842,83.96825396825396,0.9283429172303942,77.4074074074074,77.77777777777777,256,1
after_layer2,11,0.9067640546768431,82.06349206349206,0.9038104013160423,77.77777777777777,77.77777777777777,256,1
after_layer2,12,0.8596949948204888,84.04761904761905,0.8789559823495371,77.4074074074074,77.77777777777777,256,1
after_layer2,13,0.8654352049978953,82.85714285714286,0.8591634114583333,78.14814814814815,78.14814814814815,256,1
after_layer2,14,0.8395371196761964,83.25396825396825,0.8446894906185292,80.0,80.0,256,1
after_layer2,15,0.804879571521093,84.92063492063492,0.8305121536608095,80.37037037037037,80.37037037037037,256,1
after_layer2,16,0.8058505105593848,85.07936507936508,0.820038519082246,80.37037037037037,80.37037037037037,256,1
after_layer2,17,0.8052815259449065,85.23809523809524,0.8135317215213069,80.74074074074075,80.74074074074075,256,1
after_layer2,18,0.7868587878015306,85.63492063492063,0.8101833780606588,80.74074074074075,80.74074074074075,256,1
after_layer2,19,0.7904975474826873,85.31746031746032,0.8084065750793175,80.74074074074075,80.74074074074075,256,1
after_layer2,20,0.7852408231250824,84.60317460317461,0.808100042519746,80.74074074074075,80.74074074074075,256,1
after_layer3,1,1.7321723200026014,31.428571428571427,1.5819155083762275,52.22222222222222,52.22222222222222,256,1
after_layer3,2,1.4683516192057775,60.79365079365079,1.2426902461934972,82.5925925925926,82.5925925925926,256,1
after_layer3,3,1.1740195618735418,86.19047619047619,0.9793240012945952,93.70370370370371,93.70370370370371,256,1
after_layer3,4,0.9432611329214914,88.01587301587301,0.8074055993998492,88.88888888888889,93.70370370370371,256,1
after_layer3,5,0.771445428000556,91.58730158730158,0.665676087361795,95.18518518518519,95.18518518518519,256,1
after_layer3,6,0.6586941658504426,91.66666666666667,0.5592145003654339,95.92592592592592,95.92592592592592,256,1
after_layer3,7,0.5691640893618266,92.85714285714286,0.4945635760271991,95.55555555555556,95.92592592592592,256,1
after_layer3,8,0.5147407148565565,92.06349206349206,0.4419562439123789,96.66666666666667,96.66666666666667,256,1
after_layer3,9,0.4743161888349624,91.98412698412699,0.4053340207647394,96.29629629629629,96.66666666666667,256,1
after_layer3,10,0.42142575212887357,93.17460317460318,0.3723455351811868,96.66666666666667,96.66666666666667,256,1
after_layer3,11,0.41364399629925924,92.6984126984127,0.3492390943898095,97.03703703703704,97.03703703703704,256,1
after_layer3,12,0.39067955064395116,93.57142857142857,0.33694955364421564,97.03703703703704,97.03703703703704,256,1
after_layer3,13,0.38286447430413867,93.4920634920635,0.3258806018917649,97.03703703703704,97.03703703703704,256,1
after_layer3,14,0.37706119503293717,93.17460317460318,0.31694522367583383,97.03703703703704,97.03703703703704,256,1
after_layer3,15,0.35250127306060186,93.65079365079364,0.31033958196640016,97.03703703703704,97.03703703703704,256,1
after_layer3,16,0.3496843305845109,94.28571428571429,0.30543568951112254,97.03703703703704,97.03703703703704,256,1
