stage,epoch,train_loss,train_acc,val_loss,val_acc,best_val_acc,batch_size,accumulation
final,1,1.7080326144657438,25.07936507936508,1.677318431712963,33.333333333333336,33.333333333333336,128,1
final,2,1.2865205337130834,74.36507936507937,1.4100170020703917,84.44444444444444,84.44444444444444,128,1
final,3,0.8227291042842563,89.12698412698413,1.151566117339664,88.88888888888889,88.88888888888889,128,1
final,4,0.490109022742226,91.66666666666667,0.7949788415873492,92.5925925925926,92.5925925925926,128,1
final,5,0.3301875758738745,91.26984126984127,0.530869377763183,97.03703703703704,97.03703703703704,128,1
final,6,0.24139623192567675,93.4920634920635,0.34089688890510134,98.51851851851852,98.51851851851852,128,1
final,7,0.18300035245834834,93.80952380952381,0.20657900356584125,98.51851851851852,98.51851851851852,128,1
final,8,0.14059611866398464,95.7936507936508,0.12946473224847405,98.88888888888889,98.88888888888889,128,1
final,9,0.13425592167509925,96.5079365079365,0.09124451387259695,99.62962962962963,99.62962962962963,128,1
final,10,0.11089556945694817,96.58730158730158,0.07705840366306128,98.88888888888889,99.62962962962963,128,1
final,11,0.10366256792866994,96.82539682539682,0.06850154140481242,98.88888888888889,99.62962962962963,128,1
final,12,0.11872469631452409,96.11111111111111,0.06599849506660745,99.25925925925925,99.62962962962963,128,1
final,13,0.09095452127475587,96.82539682539682,0.06207781627222344,98.88888888888889,99.62962962962963,128,1
final,14,0.0990296422016053,97.14285714285714,0.06591592902938524,98.88888888888889,99.62962962962963,128,1
