threshold,final_accuracy,after_layer1_isolated_accuracy,after_layer1_rate,after_layer1_accuracy,after_layer2_isolated_accuracy,after_layer2_rate,after_layer2_accuracy,after_layer3_isolated_accuracy,after_layer3_rate,after_layer3_accuracy,after_layer1_sequential_rate,after_layer1_sequential_accuracy,after_layer2_sequential_rate,after_layer2_sequential_accuracy,after_layer3_sequential_rate,after_layer3_sequential_accuracy,final_rate,overall_accuracy
0.0,99.62962962962963,72.96296296296296,100.0,72.96296296296296,80.74074074074075,100.0,80.74074074074075,96.66666666666667,100.0,96.66666666666667,100.0,72.96296296296296,0.0,0.0,0.0,0.0,0.0,72.96296296296296
0.01,99.62962962962963,72.96296296296296,100.0,72.96296296296296,80.74074074074075,100.0,80.74074074074075,96.66666666666667,100.0,96.66666666666667,100.0,72.96296296296296,0.0,0.0,0.0,0.0,0.0,72.96296296296296
0.02,99.62962962962963,72.96296296296296,100.0,72.96296296296296,80.74074074074075,100.0,80.74074074074075,96.66666666666667,100.0,96.66666666666667,100.0,72.96296296296296,0.0,0.0,0.0,0.0,0.0,72.96296296296296
0.03,99.62962962962963,72.96296296296296,100.0,72.96296296296296,80.74074074074075,100.0,80.74074074074075,96.66666666666667,100.0,96.66666666666667,100.0,72.96296296296296,0.0,0.0,0.0,0.0,0.0,72.96296296296296
0.04,99.62962962962963,72.96296296296296,100.0,72.96296296296296,80.74074074074075,100.0,80.74074074074075,96.66666666666667,100.0,96.66666666666667,100.0,72.96296296296296,0.0,0.0,0.0,0.0,0.0,72.96296296296296
0.05,99.62962962962963,72.96296296296296,100.0,72.96296296296296,80.74074074074075,100.0,80.74074074074075,96.66666666666667,100.0,96.66666666666667,100.0,72.96296296296296,0.0,0.0,0.0,0.0,0.0,72.96296296296296
0.06,99.62962962962963,72.96296296296296,100.0,72.96296296296296,80.74074074074075,100.0,80.74074074074075,96.66666666666667,100.0,96.66666666666667,100.0,72.96296296296296,0.0,0.0,0.0,0.0,0.0,72.96296296296296
0.07,99.62962962962963,72.96296296296296,100.0,72.96296296296296,80.74074074074075,100.0,80.74074074074075,96.66666666666667,100.0,96.66666666666667,100.0,72.96296296296296,0.0,0.0,0.0,0.0,0.0,72.96296296296296
0.08,99.62962962962963,72.96296296296296,100.0,72.96296296296296,80.74074074074075,100.0,80.74074074074075,96.66666666666667,100.0,96.66666666666667,100.0,72.96296296296296,0.0,0.0,0.0,0.0,0.0,72.96296296296296
0.09,99.62962962962963,72.96296296296296,100.0,72.96296296296296,80.74074074074075,100.0,80.74074074074075,96.66666666666667,100.0,96.66666666666667,100.0,72.96296296296296,0.0,0.0,0.0,0.0,0.0,72.96296296296296
0.1,99.62962962962963,72.96296296296296,100.0,72.96296296296296,80.74074074074075,100.0,80.74074074074075,96.66666666666667,100.0,96.66666666666667,100.0,72.96296296296296,0.0,0.0,0.0,0.0,0.0,72.96296296296296
0.11,99.62962962962963,72.96296296296296,100.0,72.96296296296296,80.74074074074075,100.0,80.74074074074075,96.66666666666667,100.0,96.66666666666667,100.0,72.96296296296296,0.0,0.0,0.0,0.0,0.0,72.96296296296296
0.12,99.62962962962963,72.96296296296296,100.0,72.96296296296296,80.74074074074075,100.0,80.74074074074075,96.66666666666667,100.0,96.66666666666667,100.0,72.96296296296296,0.0,0.0,0.0,0.0,0.0,72.96296296296296
0.13,99.62962962962963,72.96296296296296,100.0,72.96296296296296,80.74074074074075,100.0,80.74074074074075,96.66666666666667,100.0,96.66666666666667,100.0,72.96296296296296,0.0,0.0,0.0,0.0,0.0,72.96296296296296
0.14,99.62962962962963,72.96296296296296,100.0,72.96296296296296,80.74074074074075,100.0,80.74074074074075,96.66666666666667,100.0,96.66666666666667,100.0,72.96296296296296,0.0,0.0,0.0,0.0,0.0,72.96296296296296
0.15,99.62962962962963,72.96296296296296,100.0,72.96296296296296,80.74074074074075,100.0,80.74074074074075,96.66666666666667,100.0,96.66666666666667,100.0,72.96296296296296,0.0,0.0,0.0,0.0,0.0,72.96296296296296
0.16,99.62962962962963,72.96296296296296,100.0,72.96296296296296,80.74074074074075,100.0,80.74074074074075,96.66666666666667,100.0,96.66666666666667,100.0,72.96296296296296,0.0,0.0,0.0,0.0,0.0,72.96296296296296
0.17,99.62962962962963,72.96296296296296,100.0,72.96296296296296,80.74074074074075,100.0,80.74074074074075,96.66666666666667,100.0,96.66666666666667,100.0,72.96296296296296,0.0,0.0,0.0,0.0,0.0,72.96296296296296
0.18,99.62962962962963,72.96296296296296,100.0,72.96296296296296,80.74074074074075,100.0,80.74074074074075,96.66666666666667,100.0,96.66666666666667,100.0,72.96296296296296,0.0,0.0,0.0,0.0,0.0,72.96296296296296
0.19,99.62962962962963,72.96296296296296,100.0,72.96296296296296,80.74074074074075,100.0,80.74074074074075,96.66666666666667,100.0,96.66666666666667,100.0,72.96296296296296,0.0,0.0,0.0,0.0,0.0,72.96296296296296
0.2,99.62962962962963,72.96296296296296,99.62962962962963,73.23420074349443,80.74074074074075,100.0,80.74074074074075,96.66666666666667,100.0,96.66666666666667,99.62962962962963,73.23420074349443,0.37037037037037035,100.0,0.0,0.0,0.0,73.33333333333333
0.21,99.62962962962963,72.96296296296296,99.62962962962963,73.23420074349443,80.74074074074075,100.0,80.74074074074075,96.66666666666667,100.0,96.66666666666667,99.62962962962963,73.23420074349443,0.37037037037037035,100.0,0.0,0.0,0.0,73.33333333333333
0.22,99.62962962962963,72.96296296296296,98.51851851851852,73.30827067669173,80.74074074074075,99.62962962962963,81.04089219330855,96.66666666666667,100.0,96.66666666666667,98.51851851851852,73.30827067669173,1.4814814814814814,100.0,0.0,0.0,0.0,73.70370370370371
0.23,99.62962962962963,72.96296296296296,97.03703703703704,74.42748091603053,80.74074074074075,99.25925925925925,81.34328358208955,96.66666666666667,100.0,96.66666666666667,97.03703703703704,74.42748091603053,2.962962962962963,75.0,0.0,0.0,0.0,74.44444444444444
0.24,99.62962962962963,72.96296296296296,93.70370370370371,74.70355731225297,80.74074074074075,99.25925925925925,81.34328358208955,96.66666666666667,100.0,96.66666666666667,93.70370370370371,74.70355731225297,6.296296296296297,76.47058823529412,0.0,0.0,0.0,74.81481481481481
0.25,99.62962962962963,72.96296296296296,89.62962962962963,76.44628099173553,80.74074074074075,98.51851851851852,81.95488721804512,96.66666666666667,100.0,96.66666666666667,89.62962962962963,76.44628099173553,9.62962962962963,73.07692307692308,0.7407407407407407,100.0,0.0,76.29629629629629
0.26,99.62962962962963,72.96296296296296,87.4074074074074,77.11864406779661,80.74074074074075,98.51851851851852,81.95488721804512,96.66666666666667,100.0,96.66666666666667,87.4074074074074,77.11864406779661,11.851851851851851,68.75,0.7407407407407407,100.0,0.0,76.29629629629629
0.27,99.62962962962963,72.96296296296296,81.85185185185185,79.63800904977376,80.74074074074075,97.77777777777777,82.57575757575758,96.66666666666667,100.0,96.66666666666667,81.85185185185185,79.63800904977376,16.296296296296298,68.18181818181819,1.8518518518518519,100.0,0.0,78.14814814814815
0.28,99.62962962962963,72.96296296296296,74.81481481481481,81.18811881188118,80.74074074074075,97.03703703703704,82.44274809160305,96.66666666666667,100.0,96.66666666666667,74.81481481481481,81.18811881188118,22.59259259259259,68.85245901639344,2.5925925925925926,100.0,0.0,78.88888888888889
0.29,99.62962962962963,72.96296296296296,66.66666666666667,81.66666666666667,80.74074074074075,96.66666666666667,82.37547892720306,96.66666666666667,100.0,96.66666666666667,66.66666666666667,81.66666666666667,30.37037037037037,74.39024390243902,2.962962962962963,100.0,0.0,80.0
0.3,99.62962962962963,72.96296296296296,52.592592592592595,83.09859154929578,80.74074074074075,94.81481481481481,83.59375,96.66666666666667,99.62962962962963,97.02602230483271,52.592592592592595,83.09859154929578,42.592592592592595,77.3913043478261,4.814814814814815,92.3076923076923,0.0,81.11111111111111
0.31,99.62962962962963,72.96296296296296,41.111111111111114,81.98198198198199,80.74074074074075,93.70370370370371,83.79446640316206,96.66666666666667,99.62962962962963,97.02602230483271,41.111111111111114,81.98198198198199,52.96296296296296,81.11888111888112,5.925925925925926,93.75,0.0,82.22222222222223
0.32,99.62962962962963,72.96296296296296,28.51851851851852,84.41558441558442,80.74074074074075,92.96296296296296,84.06374501992032,96.66666666666667,99.62962962962963,97.02602230483271,28.51851851851852,84.41558441558442,64.44444444444444,83.33333333333333,7.037037037037037,94.73684210526316,0.0,84.44444444444444
0.33,99.62962962962963,72.96296296296296,17.037037037037038,82.6086956521739,80.74074074074075,92.22222222222223,84.73895582329317,96.66666666666667,99.62962962962963,97.02602230483271,17.037037037037038,82.6086956521739,75.18518518518519,85.22167487684729,7.777777777777778,95.23809523809524,0.0,85.55555555555556
0.34,99.62962962962963,72.96296296296296,12.222222222222221,87.87878787878788,80.74074074074075,90.0,84.77366255144032,96.66666666666667,99.62962962962963,97.02602230483271,12.222222222222221,87.87878787878788,77.77777777777777,84.76190476190476,10.0,92.5925925925926,0.0,85.92592592592592
