threshold,exit1_accuracy,exit2_accuracy,full_accuracy
0.0,87.7,87.88,87.93
0.01,87.7,87.88,87.93
0.02,87.7,87.88,87.93
0.03,87.7,87.88,87.93
0.04,87.7,87.88,87.93
0.05,87.7,87.88,87.93
0.06,87.7,87.88,87.93
0.07,87.7,87.88,87.93
0.08,87.7,87.88,87.93
0.09,87.7,87.88,87.93
0.1,87.7,87.88,87.93
0.11,87.7,87.88,87.93
0.12,87.7,87.88,87.93
0.13,87.7,87.88,87.93
0.14,87.7,87.88,87.93
0.15,87.7,87.88,87.93
0.16,87.7,87.88,87.93
0.17,87.7,87.88,87.93
0.18,87.7,87.88,87.93
0.19,87.7,87.88,87.93
0.2,87.7,87.88,87.93
0.21,87.7,87.88,87.93
0.22,87.7,87.88,87.93
0.23,87.7,87.88,87.93
0.24,87.7,87.88,87.93
0.25,87.7,87.88,87.93
0.26,87.7,87.87878787878788,87.93
0.27,87.7,87.87878787878788,87.93
0.28,87.7,87.87878787878788,87.93
0.29,87.71754350870174,87.87878787878788,87.93
0.3,87.71754350870174,87.87878787878788,87.93
0.31,87.71754350870174,87.87878787878788,87.93
0.32,87.71754350870174,87.87878787878788,87.93
0.33,87.72631789536861,87.87757551510302,87.93
0.34,87.72631789536861,87.87757551510302,87.93
0.35000000000000003,87.72509003601441,87.87636290887266,87.93
0.36,87.72509003601441,87.90032025620496,87.93
0.37,87.72509003601441,87.90911820638574,87.93
0.38,87.72509003601441,87.9243015920697,87.93
0.39,87.74264558735241,87.93949714514675,87.93
0.4,87.75142599819874,87.94830695251453,87.93
0.41000000000000003,87.77655420963059,87.98115477145149,87.93
0.42,87.80927576880697,87.98877080409063,87.93
0.43,87.818072530555,88.00521512385919,87.93
0.44,87.84325516135497,88.04816859006523,87.93
0.45,87.86845799077602,88.08232931726907,87.93
0.46,87.93778223783241,88.10647915620291,87.93
0.47000000000000003,88.01607232546459,88.15723333668443,87.93
0.48,88.05790108564536,88.22700744616623,87.93
0.49,88.08733272965087,88.27558420628526,87.93
0.5,88.16240177312109,88.33551769331586,87.93
0.51,88.21986888552698,88.48913592723598,87.93
0.52,88.29593693147362,88.64350116502887,87.93
0.53,88.41284310746481,88.72539070428253,87.93
0.54,88.52009744214372,88.84368961659717,87.93
0.55,88.60424926298668,88.94328845369238,87.93
0.56,88.72364266069064,89.0160416879534,87.93
0.5700000000000001,88.80383751786079,89.10282671036461,87.93
0.58,88.9252479803661,89.17726713171933,87.93
0.59,88.9879123130506,89.31509666803784,87.93
0.6,89.0302719343253,89.37397034596376,87.93
0.61,89.1138980263158,89.42753996905621,87.93
0.62,89.19559171902358,89.50304783552019,87.93
0.63,89.29050913972942,89.62195753495598,87.93
0.64,89.36808356603578,89.73001038421599,87.93
0.65,89.52450166112956,89.80547175699573,87.93
0.66,89.64404662781016,89.89783152627189,87.93
0.67,89.71202003338898,90.0188127090301,87.93
0.68,89.79719841103909,90.0848078735211,87.93
0.6900000000000001,89.90152943641316,90.17098499947551,87.93
0.7000000000000001,90.00944485255536,90.2439024390244,87.93
0.71,90.07994950557543,90.34875144874091,87.93
0.72,90.23000633044946,90.44902271526678,87.93
0.73,90.33964659824358,90.60580385511544,87.93
0.74,90.38787621873675,90.6717605858007,87.93
0.75,90.47619047619048,90.73995322134807,87.93
0.76,90.55940330314331,90.8461210571185,87.93
0.77,90.6373438667663,90.93723313407344,87.93
0.78,90.73974949148914,91.01905373581674,87.93
0.79,90.84763948497854,91.10133104336626,87.93
0.8,90.95607235142118,91.20465066207342,87.93
0.81,91.08665155929643,91.34002807472196,87.93
0.8200000000000001,91.22009310382158,91.43909839618553,87.93
0.8300000000000001,91.34354295644619,91.58421224312276,87.93
0.84,91.3958560523446,91.70305676855895,87.93
0.85,91.53433358887307,91.86849315068493,87.93
0.86,91.64651571774016,91.9846069268829,87.93
0.87,91.85250607198057,92.18284200066248,87.93
0.88,92.01773835920177,92.31281198003327,87.93
0.89,92.15009464424897,92.53847869730092,87.93
0.9,92.40591397849462,92.67226890756302,87.93
0.91,92.61222648319422,92.84507042253522,87.93
0.92,92.80045351473923,93.03933794354381,87.93
0.93,93.05191100969766,93.24802924711527,87.93
0.9400000000000001,93.26889886089057,93.48126005978386,87.93
0.9500000000000001,93.4997098084736,93.81239842117483,87.93
0.96,93.90988030978643,94.13145539906104,87.93
0.97,94.35915744377009,94.55563497736479,87.93
0.98,94.80503753935578,95.12967247047364,87.93
0.99,95.67067067067067,95.91424968474149,87.93
1.0,99.70509383378015,99.7824313298885,87.93
