algorithm,step,current_obj,best_obj,evaluations,elapsed_s,final_obj
Random,0,-2.5839191553630503,-2.5839191553630503,1,0.0002082999562844634,
Random,1,-1.6862808164101901,-1.6862808164101901,2,0.0004224999574944377,
Random,2,-3.3763846613688715,-1.6862808164101901,3,0.0005973000079393387,
Random,3,-0.2779800865371997,-0.2779800865371997,4,0.0007521999650634825,
Random,4,-2.8787407858333056,-0.2779800865371997,5,0.0009108999511227012,
Random,5,-0.49208103650272367,-0.2779800865371997,6,0.001070600003004074,
Random,6,-2.3137484235906327,-0.2779800865371997,7,0.0012206999817863107,
Random,7,-1.6021874703371048,-0.2779800865371997,8,0.0013737999834120274,
Random,8,-2.026438015347099,-0.2779800865371997,9,0.001541399979032576,
Random,9,-1.7089715775127425,-0.2779800865371997,10,0.001700199965853244,
Random,10,-1.2638480963017478,-0.2779800865371997,11,0.0018537999712862074,
Random,11,-0.5845863527952199,-0.2779800865371997,12,0.002002199995331466,
Random,12,-1.625314343648474,-0.2779800865371997,13,0.002152899978682399,
Random,13,-2.941978187456693,-0.2779800865371997,14,0.002308800001628697,
Random,14,-3.011193060329542,-0.2779800865371997,15,0.002461399999447167,
Random,15,-0.4984150544573686,-0.2779800865371997,16,0.002614900004118681,
Random,16,-1.6427312907864589,-0.2779800865371997,17,0.002760999952442944,
Random,17,-3.5226695651958186,-0.2779800865371997,18,0.0029069999582134187,
Random,18,-1.905371377330904,-0.2779800865371997,19,0.003057099995203316,
Random,19,-0.49208103650272367,-0.2779800865371997,20,0.003208699985407293,
Random,20,-3.222880910627397,-0.2779800865371997,21,0.003355699998792261,
Random,21,-0.9972550731767926,-0.2779800865371997,22,0.0035202999715693295,
Random,22,-2.3810534963073753,-0.2779800865371997,23,0.00367129995720461,
Random,23,-1.774187403453169,-0.2779800865371997,24,0.0038163999561220407,
Random,24,-1.6031400503204187,-0.2779800865371997,25,0.003965199983213097,
Random,25,-1.4304706567460106,-0.2779800865371997,26,0.004110399982891977,
Random,26,-0.613248140857922,-0.2779800865371997,27,0.004255399981047958,
Random,27,-1.9232153652141124,-0.2779800865371997,28,0.00440029997844249,
Random,28,-3.571562774962797,-0.2779800865371997,29,0.004553799983114004,
Random,29,-2.0508682299361296,-0.2779800865371997,30,0.004705699975602329,
Random,30,-0.49208103650272367,-0.2779800865371997,31,0.004850899975281209,
Random,31,-3.1749659987937915,-0.2779800865371997,32,0.004994999966584146,
Random,32,-1.081557460876056,-0.2779800865371997,33,0.005140099965501577,
Random,33,-2.0405541065554895,-0.2779800865371997,34,0.0052900000009685755,
Random,34,-1.6632292759129035,-0.2779800865371997,35,0.005435400002170354,
Random,35,-0.49208103650272367,-0.2779800865371997,36,0.0055939999874681234,
Random,36,-0.538520689744577,-0.2779800865371997,37,0.005747599992901087,
Random,37,-1.1646825058170456,-0.2779800865371997,38,0.005896899965591729,
Random,38,-0.49208103650272367,-0.2779800865371997,39,0.006125199957750738,
Random,39,-0.9749036989026654,-0.2779800865371997,40,0.006378699967171997,
Random,40,-2.3522733160669285,-0.2779800865371997,41,0.00659159995848313,
Random,41,-1.3415410856305188,-0.2779800865371997,42,0.006766699953004718,
Random,42,-3.4125114672818677,-0.2779800865371997,43,0.006933500000741333,
Random,43,-3.2260744265733563,-0.2779800865371997,44,0.007100099988747388,
Random,44,-2.32753153495522,-0.2779800865371997,45,0.007257499964907765,
Random,45,-0.5002894400172543,-0.2779800865371997,46,0.00741089996881783,
Random,46,-0.4959735189306487,-0.2779800865371997,47,0.007559399993624538,
Random,47,-2.971982427716484,-0.2779800865371997,48,0.007712199992965907,
Random,48,-0.9723961480052665,-0.2779800865371997,49,0.00786589999916032,
Random,49,-1.857401838111351,-0.2779800865371997,50,0.00803470000391826,
Random,50,-3.2260744265733563,-0.2779800865371997,51,0.00818589999107644,
Random,51,-3.0375160325432455,-0.2779800865371997,52,0.008332800003699958,
Random,52,-1.4914093814553577,-0.2779800865371997,53,0.008478799951262772,
Random,53,-0.659058660190896,-0.2779800865371997,54,0.008624799957033247,
Random,54,-1.5822906480647354,-0.2779800865371997,55,0.00877089996356517,
Random,55,-0.49208103650272367,-0.2779800865371997,56,0.008916499966289848,
Random,56,-2.11498924757049,-0.2779800865371997,57,0.009061999968253076,
Random,57,-1.54615594335176,-0.2779800865371997,58,0.009206799964886159,
Random,58,-0.4977663498533454,-0.2779800865371997,59,0.009351199958473444,
Random,59,-0.4318201708309535,-0.2779800865371997,60,0.009545099979732186,
Random,60,-2.1490666485560577,-0.2779800865371997,61,0.009703299961984158,
Random,61,-1.491736950733845,-0.2779800865371997,62,0.009853600000496954,
Random,62,-0.49208103650272367,-0.2779800865371997,63,0.010000299953389913,
Random,63,-0.49208103650272367,-0.2779800865371997,64,0.010145000007469207,
Random,64,-0.12293912801726592,-0.12293912801726592,65,0.01029269996797666,
Random,65,-0.49208103650272367,-0.12293912801726592,66,0.010438299970701337,
Random,66,-0.49357770109755034,-0.12293912801726592,67,0.010583499970380217,
Random,67,-1.3787854982755672,-0.12293912801726592,68,0.010727799963206053,
Random,68,-2.330455261583328,-0.12293912801726592,69,0.010872799961362034,
Random,69,-0.3290579592218055,-0.12293912801726592,70,0.011183800001163036,
Random,70,-4.910031757097876,-0.12293912801726592,71,0.011399099952541292,
Random,71,-0.44574798402694404,-0.12293912801726592,72,0.01156389998504892,
Random,72,-3.3761916128197873,-0.12293912801726592,73,0.011731699982192367,
Random,73,-2.2151882909041687,-0.12293912801726592,74,0.011885999992955476,
Random,74,-0.9496191810675497,-0.12293912801726592,75,0.012047900003381073,
Random,75,-1.0365804661508262,-0.12293912801726592,76,0.012204299971926957,
Random,76,-3.2027959844599065,-0.12293912801726592,77,0.012362799956463277,
Random,77,-0.49208103650272367,-0.12293912801726592,78,0.012517299968749285,
Random,78,-3.2260744265733563,-0.12293912801726592,79,0.012666900001931936,
Random,79,-2.8703855205889326,-0.12293912801726592,80,0.012835000001359731,
Random,80,-3.0741744689230766,-0.12293912801726592,81,0.012982399959582835,
Random,81,-3.2260744265733563,-0.12293912801726592,82,0.013127799960784614,
Random,82,-0.5362046332377084,-0.12293912801726592,83,0.013273199961986393,
Random,83,-1.1963829334283833,-0.12293912801726592,84,0.01341869996394962,
Random,84,-4.246607123923245,-0.12293912801726592,85,0.013563599961344153,
Random,85,-0.7512076054984858,-0.12293912801726592,86,0.013730300008319318,
Random,86,-1.2308265319921274,-0.12293912801726592,87,0.013937899959273636,
Random,87,-0.9801274196718066,-0.12293912801726592,88,0.014119300001766533,
Random,88,-0.2756289669604593,-0.12293912801726592,89,0.014271599997300655,
Random,89,-5.008992403345643,-0.12293912801726592,90,0.01441750000230968,
Random,90,-0.2551181581838192,-0.12293912801726592,91,0.014562500000465661,
Random,91,-1.1764840234338176,-0.12293912801726592,92,0.014719399972818792,
Random,92,-2.6100577920341093,-0.12293912801726592,93,0.014876200002618134,
Random,93,-3.076525915954783,-0.12293912801726592,94,0.01502339995931834,
Random,94,-3.579368913355431,-0.12293912801726592,95,0.015168799960520118,
Random,95,-1.6689784965805288,-0.12293912801726592,96,0.0153137999586761,
Random,96,-0.08158457642898753,-0.08158457642898753,97,0.015461099974345416,
Random,97,-0.49208103650272367,-0.08158457642898753,98,0.015607799985446036,
Random,98,-0.49941577290561356,-0.08158457642898753,99,0.015753099985886365,
