experiment_id,run_id,seed,state_id,bundle_id,n_users,objective_alpha,objective_beta,state_distance,target_state_distance,planned_mode,actual_training_mode,decision_source,final_decision_source,has_compatible_cache,has_policy_source,foreground_service_ms,foreground_http_ms,final_lookup_ms,background_update_s,background_epochs,immediate_objective,immediate_expected_accuracy,immediate_expected_latency_s,final_objective,final_expected_accuracy,final_expected_latency_s,objective_gap,accuracy_gap_pp,latency_gap_ms,utility_immediate,utility_final,utility_gap,utility_retention,training_status,training_error,convergence_path,immediate_decision_path,final_decision_path
controlled-5seed-resnet50-cifar10-20260726,controlled-5seed-resnet50-cifar10-20260726:seed-2:S2,2,S2,resnet50-cifar10,4,1.0,1.0,0.02500016447683627,0.025,near,near,cached_dsci:warm:0.025000,cached_dsci:exact,True,True,22.88169995881617,,17.63699995353818,78.55737829208374,30,3.3514383994953647,0.979025101390504,0.14116550151666282,3.3514383994953647,0.979025101390504,0.14116550151666282,0.0,0.0,0.0,3.3514383994953647,3.3514383994953647,0.0,1.0,idle,,seed_2\convergence\20260726-191440-296_controlled-5seed-resnet50-cifar10-20260726_seed-2_S2_near.jsonl,seed_2\modes\S2_near\immediate_decision.json,seed_2\modes\S2_near\final_decision.json
controlled-5seed-resnet50-cifar10-20260726,controlled-5seed-resnet50-cifar10-20260726:seed-2:S3,2,S3,resnet50-cifar10,4,1.0,1.0,0.0025000714027551695,0.0025,reuse,reuse,cached_dsci:reuse:0.002500,cached_dsci:reuse:0.002500,True,True,16.58189995214343,,0.0,0.0,0,3.3534480344199684,0.979025101390504,0.14066309278551184,3.3534480344199684,0.979025101390504,0.14066309278551184,0.0,0.0,0.0,3.3534480344199684,3.3534480344199684,0.0,1.0,idle,,,seed_2\modes\S3_reuse\immediate_decision.json,seed_2\modes\S3_reuse\final_decision.json
controlled-5seed-resnet50-cifar10-20260726,controlled-5seed-resnet50-cifar10-20260726:seed-3:S0,3,S0,resnet50-cifar10,4,1.0,1.0,,,cold,cold,default,cached_dsci:exact,False,False,25.01659991685301,,18.655300023965538,491.5088005065918,106,0.20648480967983607,0.9614,0.9097787975800411,3.2297445025716622,0.979025101390504,0.1715889757475884,3.023259692891826,1.7625101390503994,738.1898218324527,0.20648480967983607,3.2297445025716622,3.023259692891826,0.06393224278744772,idle,,seed_3\convergence\20260726-191606-673_controlled-5seed-resnet50-cifar10-20260726_seed-3_S0_cold.jsonl,seed_3\modes\S0_cold\immediate_decision.json,seed_3\modes\S0_cold\final_decision.json
controlled-5seed-resnet50-cifar10-20260726,controlled-5seed-resnet50-cifar10-20260726:seed-3:S1,3,S1,resnet50-cifar10,4,1.0,1.0,0.10000000238611924,0.1,medium,medium,cached_dsci:warm:0.100000,cached_dsci:exact,True,True,27.318299980834126,,34.22380005940795,182.91425251960754,39,3.330434355378682,0.979025101390504,0.14641651254583354,3.3304668526109706,0.979025101390504,0.14640838823776134,3.249723228870849e-05,0.0,0.008124308072204878,3.330434355378682,3.3304668526109706,3.249723228870849e-05,0.9999902424393555,idle,,seed_3\convergence\20260726-192418-554_controlled-5seed-resnet50-cifar10-20260726_seed-3_S1_medium.jsonl,seed_3\modes\S1_medium\immediate_decision.json,seed_3\modes\S1_medium\final_decision.json
controlled-5seed-resnet50-cifar10-20260726,controlled-5seed-resnet50-cifar10-20260726:seed-3:S2,3,S2,resnet50-cifar10,4,1.0,1.0,0.02500016447683627,0.025,near,near,cached_dsci:warm:0.025000,cached_dsci:exact,True,True,33.561900025233626,,32.051999936811626,116.75338625907898,30,3.3514383994953647,0.979025101390504,0.14116550151666282,3.3514383994953647,0.979025101390504,0.14116550151666282,0.0,0.0,0.0,3.3514383994953647,3.3514383994953647,0.0,1.0,idle,,seed_3\convergence\20260726-192722-021_controlled-5seed-resnet50-cifar10-20260726_seed-3_S2_near.jsonl,seed_3\modes\S2_near\immediate_decision.json,seed_3\modes\S2_near\final_decision.json
controlled-5seed-resnet50-cifar10-20260726,controlled-5seed-resnet50-cifar10-20260726:seed-3:S3,3,S3,resnet50-cifar10,4,1.0,1.0,0.0025000714027551695,0.0025,reuse,reuse,cached_dsci:reuse:0.002500,cached_dsci:reuse:0.002500,True,True,47.65839991159737,,0.0,0.0,0,3.3534480344199684,0.979025101390504,0.14066309278551184,3.3534480344199684,0.979025101390504,0.14066309278551184,0.0,0.0,0.0,3.3534480344199684,3.3534480344199684,0.0,1.0,idle,,,seed_3\modes\S3_reuse\immediate_decision.json,seed_3\modes\S3_reuse\final_decision.json
controlled-5seed-resnet50-cifar10-20260726,controlled-5seed-resnet50-cifar10-20260726:seed-4:S0,4,S0,resnet50-cifar10,4,1.0,1.0,,,cold,cold,default,cached_dsci:exact,False,False,47.604799969121814,,32.126400037668645,624.2746484279633,102,0.20648480967983607,0.9614,0.9097787975800411,3.2297445025716622,0.979025101390504,0.1715889757475884,3.023259692891826,1.7625101390503994,738.1898218324527,0.20648480967983607,3.2297445025716622,3.023259692891826,0.06393224278744772,idle,,seed_4\convergence\20260726-192926-516_controlled-5seed-resnet50-cifar10-20260726_seed-4_S0_cold.jsonl,seed_4\modes\S0_cold\immediate_decision.json,seed_4\modes\S0_cold\final_decision.json
controlled-5seed-resnet50-cifar10-20260726,controlled-5seed-resnet50-cifar10-20260726:seed-4:S1,4,S1,resnet50-cifar10,4,1.0,1.0,0.10000000238611924,0.1,medium,medium,cached_dsci:warm:0.100000,cached_dsci:exact,True,True,25.761099997907877,,36.98730003088713,196.02287244796753,39,3.330434355378682,0.979025101390504,0.14641651254583354,3.3304668526109706,0.979025101390504,0.14640838823776134,3.249723228870849e-05,0.0,0.008124308072204878,3.330434355378682,3.3304668526109706,3.249723228870849e-05,0.9999902424393555,idle,,seed_4\convergence\20260726-193951-133_controlled-5seed-resnet50-cifar10-20260726_seed-4_S1_medium.jsonl,seed_4\modes\S1_medium\immediate_decision.json,seed_4\modes\S1_medium\final_decision.json
controlled-5seed-resnet50-cifar10-20260726,controlled-5seed-resnet50-cifar10-20260726:seed-4:S2,4,S2,resnet50-cifar10,4,1.0,1.0,0.02500016447683627,0.025,near,near,cached_dsci:warm:0.025000,cached_dsci:exact,True,True,38.46259997226298,,18.6145999468863,83.38008141517639,30,3.3514383994953647,0.979025101390504,0.14116550151666282,3.3514383994953647,0.979025101390504,0.14116550151666282,0.0,0.0,0.0,3.3514383994953647,3.3514383994953647,0.0,1.0,idle,,seed_4\convergence\20260726-194307-524_controlled-5seed-resnet50-cifar10-20260726_seed-4_S2_near.jsonl,seed_4\modes\S2_near\immediate_decision.json,seed_4\modes\S2_near\final_decision.json
controlled-5seed-resnet50-cifar10-20260726,controlled-5seed-resnet50-cifar10-20260726:seed-4:S3,4,S3,resnet50-cifar10,4,1.0,1.0,0.0025000714027551695,0.0025,reuse,reuse,cached_dsci:reuse:0.002500,cached_dsci:reuse:0.002500,True,True,19.80919996276498,,0.0,0.0,0,3.3534480344199684,0.979025101390504,0.14066309278551184,3.3534480344199684,0.979025101390504,0.14066309278551184,0.0,0.0,0.0,3.3534480344199684,3.3534480344199684,0.0,1.0,idle,,,seed_4\modes\S3_reuse\immediate_decision.json,seed_4\modes\S3_reuse\final_decision.json
