segment_id,raw_latency_mean_s,raw_latency_median_s,raw_latency_p95_s,calibrated_latency_s,input_bytes,output_bytes
0,0.0206959366666221,0.02055354999993142,0.022452199999906948,0.020695936666622103,602626,803330
1,0.00960540333329239,0.009561399999711284,0.0112019599992891,0.009605403333292392,803330,3211779
2,0.007408643333383225,0.007278800000221963,0.008026024999571746,0.007408643333383227,3211779,3211779
3,0.00614571000014621,0.006134100000053877,0.006726935000097,0.006145710000146212,3211779,3211779
4,0.010785536666632348,0.010734299999512587,0.012116319999449841,0.01078553666663235,3211779,1606147
5,0.005930416666645518,0.005941949999851204,0.00648369499981527,0.00593041666664552,1606147,1606147
6,0.005913949999921897,0.005934050000178104,0.006529834999628292,0.005913949999921899,1606147,1606147
7,0.005917956666750494,0.005834250000134489,0.006558720000020913,0.005917956666750495,1606147,1606147
8,0.010310606666674478,0.01029835000008461,0.011678424999900015,0.01031060666667448,1606147,803330
9,0.006166816666730786,0.006062099999780912,0.006938220000211003,0.006166816666730788,803330,803330
10,0.006007339999935842,0.005945899999915127,0.00681425500001751,0.006007339999935844,803330,803330
11,0.005955550000029082,0.005851399999755813,0.006554450000157885,0.005955550000029084,803330,803330
12,0.006042606666627156,0.006006799999795476,0.006831890000012208,0.006042606666627158,803330,803330
13,0.005963756666642439,0.0058611999997992825,0.006803210000180113,0.005963756666642441,803330,803330
14,0.01268745666666291,0.012271149999833142,0.015370934999964446,0.012687456666662914,803330,401922
15,0.007530096666656997,0.007343149999996967,0.00939286000038919,0.007530096666656999,401922,401922
16,0.0076207800000702266,0.00737570000001142,0.009532500000250362,0.007620780000070228,401922,401922
17,0.00019645000002128655,0.00018419999969410128,0.00027476499976728517,0.0001964500000212866,401922,8683
18,6.530999999085907e-05,5.914999974265811e-05,0.0001007800002753355,6.530999999085909e-05,8683,514
