F_u,avg_end_edge,avg_edge_cloud,total_utility
0.4,0.0,3.0,8.117345624958693
0.6000000000000001,0.0,1.0,8.06716437549393
0.8000000000000002,0.4,15.0,7.9792967913219215
1.0000000000000002,0.0,5.5,8.095086919967521
1.2000000000000002,0.0,6.0,8.101104567946809
1.4000000000000004,1.8,2.9,8.111886900644867
1.6000000000000005,3.0,7.2,8.088877333148272
1.8000000000000003,4.2,6.4,8.110972224030437
2.0000000000000004,65.7,77.6,8.020007170069167
2.2000000000000006,72.0,81.8,8.0892092128829
2.400000000000001,85.4,101.2,8.158681530420184
2.6000000000000005,97.9,110.3,8.27147955638833
2.8000000000000007,82.2,98.5,8.373168564320949
