algorithm,curve_role,final_utility,best_utility,final_step,final_episode,evaluations,elapsed_s
PPO,cached_solution,1.1532632963949938,1.1532632963949938,0,0.0,1.0,0.0
Random,baseline,-1.6117390776718703,-1.6117390776718703,2,,3.0,0.0008144001476466656
Greedy,baseline,1.1359788606916403,1.1359788606916403,2,,9601.0,1.9163164999336004
BF,baseline,1.1359788606916403,1.1359788606916403,1,,9601.0,1.9231271999888122
