algorithm,step,episode,best_obj,current_obj,utility,evaluations,elapsed_s,curve_type
PPO,0.0,0.0,1.1532632963949938,1.1532632963949938,1.1532632963949938,1.0,0.0,ppo_solution
PPO,9601.0,9601.0,1.1532632963949938,1.1532632963949938,1.1532632963949938,1.0,0.0,ppo_solution
Random,0.0,1.0,-45.05877149709106,-45.05877149709106,-45.05877149709106,1.0,0.0003260001540184021,baseline_progress
Random,1.0,2.0,-1.6117390776718703,-1.6117390776718703,-1.6117390776718703,2.0,0.0005795999895781279,baseline_progress
Random,2.0,3.0,-1.6117390776718703,-41.58986011942021,-1.6117390776718703,3.0,0.0008144001476466656,baseline_progress
Greedy,0.0,1.0,0.7516082788272508,0.7516082788272508,0.7516082788272508,1.0,0.0,baseline_progress
Greedy,1.0,4801.0,1.0444114088696228,1.0444114088696228,1.0444114088696228,4801.0,0.9429273998830467,baseline_progress
Greedy,2.0,9601.0,1.1359788606916403,1.1359788606916403,1.1359788606916403,9601.0,1.9163164999336004,baseline_progress
BF,0.0,1.0,-142.7087508211233,-142.7087508211233,-142.7087508211233,1.0,0.0,baseline_progress
BF,1.0,9601.0,1.1359788606916403,1.1359788606916403,1.1359788606916403,9601.0,1.9231271999888122,baseline_progress
