algorithm,curve_role,final_utility,best_utility,final_step,final_episode,evaluations,elapsed_s
PPO,learning_curve,8.31802373329866,8.373168564320949,30000,30000.0,1500.0,0.0
Random,baseline,1.009878323386122,1.009878323386122,199,,200.0,0.0597159001044929
Greedy,baseline,1.1359788606916403,1.1359788606916403,4,,19201.0,6.290235899854451
BF,baseline,1.1359788606916403,1.1359788606916403,2,,19201.0,8.382668300066143
