threshold,final_accuracy,after_layer1_isolated_accuracy,after_layer1_rate,after_layer1_accuracy,after_layer2_isolated_accuracy,after_layer2_rate,after_layer2_accuracy,after_layer3_isolated_accuracy,after_layer3_rate,after_layer3_accuracy,after_layer1_sequential_rate,after_layer1_sequential_accuracy,after_layer2_sequential_rate,after_layer2_sequential_accuracy,after_layer3_sequential_rate,after_layer3_sequential_accuracy,final_rate,overall_accuracy
0.54,96.14,45.66,8.84,79.63800904977376,57.74,32.96,80.33980582524272,88.9,87.14,94.00963966031674,8.84,79.63800904977376,25.14,78.36117740652347,54.96,93.12227074235808,11.06,87.62
0.55,96.14,45.66,8.26,80.38740920096852,57.74,31.18,81.20590121872995,88.9,86.38,94.281083584163,8.26,80.38740920096852,23.98,79.39949958298583,55.84,93.48137535816619,11.92,88.28
0.56,96.14,45.66,7.6,80.52631578947368,57.74,29.78,81.79986568166555,88.9,85.64,94.58197104156936,7.6,80.52631578947368,23.24,80.12048192771084,56.46,93.94261424017003,12.7,88.88
0.57,96.14,45.66,6.72,82.44047619047619,57.74,28.26,82.51946213729653,88.9,84.72,94.75920679886686,6.72,82.44047619047619,22.5,80.8,57.12,94.22268907563026,13.66,89.54
0.58,96.14,45.66,6.36,82.0754716981132,57.74,27.14,83.27192336035372,88.9,84.04,94.85959067110899,6.36,82.0754716981132,21.7,81.75115207373273,57.5,94.4,14.44,90.0
0.59,96.14,45.66,5.86,82.5938566552901,57.74,25.78,83.86346004654771,88.9,83.34,95.12838972882169,5.86,82.5938566552901,20.76,82.3699421965318,58.3,94.75128644939966,15.08,90.5
0.6,96.14,45.66,5.3,81.13207547169812,57.74,24.74,84.39773645917542,88.9,82.5,95.32121212121213,5.3,81.13207547169812,20.26,83.31688055281343,58.48,94.97264021887825,15.96,90.82
0.61,96.14,45.66,4.8,80.83333333333333,57.74,23.6,84.7457627118644,88.9,81.7,95.47123623011016,4.8,80.83333333333333,19.5,83.8974358974359,58.88,95.14266304347827,16.82,91.12
0.62,96.14,45.66,4.3,81.3953488372093,57.74,22.68,85.00881834215167,88.9,81.0,95.65432098765432,4.3,81.3953488372093,19.0,84.3157894736842,59.12,95.39918809201623,17.58,91.52
0.63,96.14,45.66,3.96,82.82828282828282,57.74,21.5,85.67441860465117,88.9,80.36,95.81881533101046,3.96,82.82828282828282,18.1,84.97237569060773,59.68,95.50938337801608,18.26,91.9
0.64,96.14,45.66,3.46,82.08092485549133,57.74,20.3,86.00985221674877,88.9,79.18,96.08486991664562,3.46,82.08092485549133,17.36,85.48387096774194,59.78,95.78454332552693,19.4,92.28
0.65,96.14,45.66,3.1,83.87096774193549,57.74,19.24,86.79833679833679,88.9,78.56,96.15580448065172,3.1,83.87096774193549,16.6,86.50602409638554,60.14,95.80977718656469,20.16,92.64
0.66,96.14,45.66,2.82,85.1063829787234,57.74,18.24,87.17105263157895,88.9,77.68,96.34397528321318,2.82,85.1063829787234,15.82,86.85208596713022,60.3,96.01990049751244,21.06,92.92
