algorithm,curve_role,final_utility,best_utility,final_step,final_episode,evaluations,elapsed_s
PPO,cached_solution,1.1532632963949938,1.1532632963949938,0,0.0,1.0,0.0
Greedy,baseline,1.1531729951451906,1.1531729951451906,4,,338689.0,84.14658669987693
GA,baseline,1.1286186850842204,1.1286186850842204,150,,7501.0,5.845505100209266
BF,baseline,1.1531729951451906,1.1531729951451906,2,,338689.0,81.07654040004127
