segment_id,raw_latency_mean_s,raw_latency_median_s,raw_latency_p95_s,calibrated_latency_s,input_bytes,output_bytes
0,0.003889319999992343,0.0036486000003606023,0.004549940000151764,0.003889319999992343,602629,605696
1,0.03690820999991047,0.036634549999689625,0.04043759499986663,0.03690820999991047,605696,605696
2,0.037443399999817,0.03770444999963729,0.03918751500018516,0.037443399999817,605696,605696
3,0.03759299000006043,0.037841500000013184,0.04034895000027063,0.03759299000006043,605696,605696
4,0.037216403333241034,0.03739880000057383,0.04008035499996367,0.037216403333241034,605696,605696
5,0.03750767000001361,0.03720320000002175,0.040375225000434514,0.03750767000001361,605696,605696
6,0.037337453333293524,0.03749854999978197,0.04036031499995261,0.037337453333293524,605696,605696
7,0.037293203333441244,0.0373979999999392,0.04023233500006426,0.037293203333441244,605696,605696
8,0.037124653333285094,0.036920699999882345,0.04007040500018775,0.037124653333285094,605696,605696
9,0.03726172666659598,0.03718380000009347,0.04001698999991276,0.03726172666659598,605696,605696
10,0.03721909999991719,0.03675284999962969,0.03984969499979343,0.03721909999991719,605696,605696
11,0.03725354333322078,0.037049649999971734,0.03972680499960006,0.03725354333322078,605696,605696
12,0.03792120000004313,0.037065399999846704,0.04277465000041047,0.03792120000004313,605696,605696
13,0.00019731999994595148,0.00019234999990658252,0.0002357449998271476,0.00019731999994595148,605696,605691
14,7.406333334074589e-05,6.950000033612014e-05,0.000109495000242532,7.406333334074589e-05,605691,893
