algorithm,curve_role,final_utility,best_utility,final_step,final_episode,evaluations,elapsed_s
DSCI,learning_curve,-0.007416107960119267,-0.007416107960119267,201,200.0,200.0,4.196689400007017
Random,baseline,-0.03389810898896373,-0.03389810898896373,199,,200.0,0.03501230000983924
GA,baseline,-0.05295050868524953,-0.05295050868524953,10,,200.0,0.03508780000265688
