algorithm,step,current_obj,best_obj,evaluations,elapsed_s,final_obj,batch_mean_obj,batch_std_obj,batch_size
Random,0,-2.5839191553630503,-2.5839191553630503,1,0.0005023999838158488,,,,
Random,1,-1.6862808164101901,-1.6862808164101901,2,0.0007861999911256135,,,,
Random,2,-3.3763846613688715,-1.6862808164101901,3,0.0010223999852314591,,,,
Random,3,-0.2779800865371997,-0.2779800865371997,4,0.00121640000725165,,,,
Random,4,-2.8787407858333056,-0.2779800865371997,5,0.0013894999865442514,,,,
Random,5,-0.49208103650272367,-0.2779800865371997,6,0.0015516999992541969,,,,
Random,6,-2.3137484235906327,-0.2779800865371997,7,0.001705800008494407,,,,
Random,7,-1.6021874703371048,-0.2779800865371997,8,0.0018887000042013824,,,,
Random,8,-2.026438015347099,-0.2779800865371997,9,0.0020667999633587897,,,,
Random,9,-1.7089715775127425,-0.2779800865371997,10,0.0022281999699771404,,,,
Random,10,-1.2638480963017478,-0.2779800865371997,11,0.0023929000017233193,,,,
Random,11,-0.5845863527952199,-0.2779800865371997,12,0.002555099956225604,,,,
Random,12,-1.625314343648474,-0.2779800865371997,13,0.0027191999834030867,,,,
Random,13,-2.941978187456693,-0.2779800865371997,14,0.0028809999930672348,,,,
Random,14,-3.011193060329542,-0.2779800865371997,15,0.0030516000115312636,,,,
Random,15,-0.4984150544573686,-0.2779800865371997,16,0.00323569995816797,,,,
Random,16,-1.6427312907864589,-0.2779800865371997,17,0.003431199991609901,,,,
Random,17,-3.5226695651958186,-0.2779800865371997,18,0.003667499986477196,,,,
Random,18,-1.905371377330904,-0.2779800865371997,19,0.0038866999675519764,,,,
Random,19,-0.49208103650272367,-0.2779800865371997,20,0.004109199973754585,,,,
Random,20,-3.222880910627397,-0.2779800865371997,21,0.004313999961595982,,,,
Random,21,-0.9972550731767926,-0.2779800865371997,22,0.004481599957216531,,,,
Random,22,-2.3810534963073753,-0.2779800865371997,23,0.0046505999634973705,,,,
Random,23,-1.774187403453169,-0.2779800865371997,24,0.004820499976631254,,,,
Random,24,-1.6031400503204187,-0.2779800865371997,25,0.004994199960492551,,,,
Random,25,-1.4304706567460106,-0.2779800865371997,26,0.005163199966773391,,,,
Random,26,-0.613248140857922,-0.2779800865371997,27,0.005322399956639856,,,,
Random,27,-1.9232153652141124,-0.2779800865371997,28,0.0054759999620728195,,,,
Random,28,-3.571562774962797,-0.2779800865371997,29,0.005632299988064915,,,,
Random,29,-2.0508682299361296,-0.2779800865371997,30,0.005805799970403314,,,,
Random,30,-0.49208103650272367,-0.2779800865371997,31,0.0060035999631509185,,,,
Random,31,-3.1749659987937915,-0.2779800865371997,32,0.006189199979417026,,,,
Random,32,-1.081557460876056,-0.2779800865371997,33,0.006386199966073036,,,,
Random,33,-2.0405541065554895,-0.2779800865371997,34,0.006570999976247549,,,,
Random,34,-1.6632292759129035,-0.2779800865371997,35,0.00674719997914508,,,,
Random,35,-0.49208103650272367,-0.2779800865371997,36,0.006924599991180003,,,,
Random,36,-0.538520689744577,-0.2779800865371997,37,0.007092899992130697,,,,
Random,37,-1.1646825058170456,-0.2779800865371997,38,0.007252299983520061,,,,
Random,38,-0.49208103650272367,-0.2779800865371997,39,0.007404499978292733,,,,
Random,39,-0.9749036989026654,-0.2779800865371997,40,0.007548399968072772,,,,
Random,40,-2.3522733160669285,-0.2779800865371997,41,0.007712899998296052,,,,
Random,41,-1.3415410856305188,-0.2779800865371997,42,0.007903899997472763,,,,
Random,42,-3.4125114672818677,-0.2779800865371997,43,0.00807019998319447,,,,
Random,43,-3.2260744265733563,-0.2779800865371997,44,0.008232099993620068,,,,
Random,44,-2.32753153495522,-0.2779800865371997,45,0.008398599980864674,,,,
Random,45,-0.5002894400172543,-0.2779800865371997,46,0.00856220000423491,,,,
Random,46,-0.4959735189306487,-0.2779800865371997,47,0.008723200007807463,,,,
Random,47,-2.971982427716484,-0.2779800865371997,48,0.008880199980922043,,,,
Random,48,-0.9723961480052665,-0.2779800865371997,49,0.009035099996253848,,,,
Random,49,-1.857401838111351,-0.2779800865371997,50,0.009180199995171279,,,,
Random,50,-3.2260744265733563,-0.2779800865371997,51,0.009326700004749,,,,
Random,51,-3.0375160325432455,-0.2779800865371997,52,0.009473899961449206,,,,
Random,52,-1.4914093814553577,-0.2779800865371997,53,0.009621099976357073,,,,
Random,53,-0.659058660190896,-0.2779800865371997,54,0.009769199998117983,,,,
Random,54,-1.5822906480647354,-0.2779800865371997,55,0.00992380001116544,,,,
Random,55,-0.49208103650272367,-0.2779800865371997,56,0.01009259995771572,,,,
Random,56,-2.11498924757049,-0.2779800865371997,57,0.010264199983794242,,,,
Random,57,-1.54615594335176,-0.2779800865371997,58,0.010433099989313632,,,,
Random,58,-0.4977663498533454,-0.2779800865371997,59,0.01060229999711737,,,,
Random,59,-0.4318201708309535,-0.2779800865371997,60,0.010771900007966906,,,,
Random,60,-2.1490666485560577,-0.2779800865371997,61,0.01094299997203052,,,,
Random,61,-1.491736950733845,-0.2779800865371997,62,0.011128999991342425,,,,
Random,62,-0.49208103650272367,-0.2779800865371997,63,0.011283100000582635,,,,
Random,63,-0.49208103650272367,-0.2779800865371997,64,0.01143059995956719,,,,
Random,64,-0.12293912801726592,-0.12293912801726592,65,0.011588299996219575,,,,
Random,65,-0.49208103650272367,-0.12293912801726592,66,0.01174459996400401,,,,
Random,66,-0.49357770109755034,-0.12293912801726592,67,0.011918200005311519,,,,
Random,67,-1.3787854982755672,-0.12293912801726592,68,0.01207810000050813,,,,
Random,68,-2.330455261583328,-0.12293912801726592,69,0.012232300010509789,,,,
Random,69,-0.3290579592218055,-0.12293912801726592,70,0.012385899957735091,,,,
Random,70,-4.910031757097876,-0.12293912801726592,71,0.012534099980257452,,,,
Random,71,-0.44574798402694404,-0.12293912801726592,72,0.012694199976976961,,,,
Random,72,-3.3761916128197873,-0.12293912801726592,73,0.012851300009060651,,,,
Random,73,-2.2151882909041687,-0.12293912801726592,74,0.013000599981751293,,,,
Random,74,-0.9496191810675497,-0.12293912801726592,75,0.01314769999589771,,,,
Random,75,-1.0365804661508262,-0.12293912801726592,76,0.013295199954882264,,,,
Random,76,-3.2027959844599065,-0.12293912801726592,77,0.01344399998197332,,,,
Random,77,-0.49208103650272367,-0.12293912801726592,78,0.01359669998055324,,,,
Random,78,-3.2260744265733563,-0.12293912801726592,79,0.013750399986747652,,,,
Random,79,-2.8703855205889326,-0.12293912801726592,80,0.013899799960199744,,,,
Random,80,-3.0741744689230766,-0.12293912801726592,81,0.014050800004042685,,,,
Random,81,-3.2260744265733563,-0.12293912801726592,82,0.014196100004483014,,,,
Random,82,-0.5362046332377084,-0.12293912801726592,83,0.014341000001877546,,,,
Random,83,-1.1963829334283833,-0.12293912801726592,84,0.014485199993941933,,,,
Random,84,-4.246607123923245,-0.12293912801726592,85,0.01463519997196272,,,,
Random,85,-0.7512076054984858,-0.12293912801726592,86,0.014780999976210296,,,,
Random,86,-1.2308265319921274,-0.12293912801726592,87,0.014928799995686859,,,,
Random,87,-0.9801274196718066,-0.12293912801726592,88,0.015076200012117624,,,,
Random,88,-0.2756289669604593,-0.12293912801726592,89,0.015222199959680438,,,,
Random,89,-5.008992403345643,-0.12293912801726592,90,0.01561770000262186,,,,
Random,90,-0.2551181581838192,-0.12293912801726592,91,0.015822299988940358,,,,
Random,91,-1.1764840234338176,-0.12293912801726592,92,0.015988499973900616,,,,
Random,92,-2.6100577920341093,-0.12293912801726592,93,0.01615380001021549,,,,
Random,93,-3.076525915954783,-0.12293912801726592,94,0.016314400010742247,,,,
Random,94,-3.579368913355431,-0.12293912801726592,95,0.016472099989186972,,,,
Random,95,-1.6689784965805288,-0.12293912801726592,96,0.016637299966532737,,,,
Random,96,-0.08158457642898753,-0.08158457642898753,97,0.016803700011223555,,,,
Random,97,-0.49208103650272367,-0.08158457642898753,98,0.016989099967759103,,,,
Random,98,-0.49941577290561356,-0.08158457642898753,99,0.017191899998579174,,,,
Random,99,-3.1214961327724975,-0.08158457642898753,100,0.017385499959345907,,,,
Random,100,-0.6444746211404828,-0.08158457642898753,101,0.017569899966474622,,,,
Random,101,-1.4178665034772644,-0.08158457642898753,102,0.017765500000678003,,,,
Random,102,-3.3178960782423013,-0.08158457642898753,103,0.01794839999638498,,,,
Random,103,-0.49208103650272367,-0.08158457642898753,104,0.018346199998632073,,,,
Random,104,-0.6745724218985545,-0.08158457642898753,105,0.018578599963802844,,,,
Random,105,-0.49208103650272367,-0.08158457642898753,106,0.0188015999738127,,,,
Random,106,-2.356041291248779,-0.08158457642898753,107,0.019013799959793687,,,,
Random,107,-3.414019367117516,-0.08158457642898753,108,0.019239099987316877,,,,
Random,108,-3.2001432321792658,-0.08158457642898753,109,0.019448700011707842,,,,
Random,109,-0.49208103650272367,-0.08158457642898753,110,0.01961479999590665,,,,
Random,110,-2.296590968912824,-0.08158457642898753,111,0.019779999973252416,,,,
Random,111,-0.7410811021677766,-0.08158457642898753,112,0.019971099973190576,,,,
Random,112,-3.46099224950044,-0.08158457642898753,113,0.020151900011114776,,,,
Random,113,-1.751807580512919,-0.08158457642898753,114,0.020307999977376312,,,,
Random,114,-0.49208103650272367,-0.08158457642898753,115,0.02045660000294447,,,,
Random,115,-1.2221160344797657,-0.08158457642898753,116,0.02060899999924004,,,,
Random,116,-0.49208103650272367,-0.08158457642898753,117,0.020771299954503775,,,,
Random,117,-0.2549030898793406,-0.08158457642898753,118,0.020923800009768456,,,,
