algorithm,step,episode,best_obj,current_obj,utility,evaluations,elapsed_s,curve_type
DSCI,10,10.0,-0.450938737825181,-0.450938737825181,-0.450938737825181,10.0,0.03893649997189641,dsci_train
DSCI,20,20.0,-0.25420692526137634,-0.25420692526137634,-0.25420692526137634,20.0,0.06970469997031614,dsci_train
DSCI,30,30.0,-0.25420692526137634,-0.49208103650272367,-0.25420692526137634,30.0,0.10078229999635369,dsci_train
DSCI,40,40.0,-0.25420692526137634,-0.4823604817641255,-0.25420692526137634,40.0,0.1311377999954857,dsci_train
DSCI,50,50.0,-0.25420692526137634,-0.2779800865371997,-0.25420692526137634,50.0,0.16042029997333884,dsci_train
DSCI,60,60.0,-0.25420692526137634,-0.6628313004438514,-0.25420692526137634,60.0,0.19215709995478392,dsci_train
DSCI,70,70.0,-0.25420692526137634,-1.146589788121006,-0.25420692526137634,70.0,0.22383769997395575,dsci_train
DSCI,80,80.0,-0.0533806939773428,-0.0533806939773428,-0.0533806939773428,80.0,0.2548008000012487,dsci_train
DSCI,90,90.0,-0.0533806939773428,-0.49208103650272367,-0.0533806939773428,90.0,0.28715419996296987,dsci_train
DSCI,100,100.0,-0.0533806939773428,-0.49208103650272367,-0.0533806939773428,100.0,0.3163560999673791,dsci_train
DSCI,110,110.0,-0.0533806939773428,-0.2779800865371997,-0.0533806939773428,110.0,0.3451958000077866,dsci_train
DSCI,120,120.0,-0.0533806939773428,-0.49208103650272367,-0.0533806939773428,120.0,0.37325559998862445,dsci_train
DSCI,130,130.0,-0.0533806939773428,-0.49208103650272367,-0.0533806939773428,130.0,0.40682239999296144,dsci_train
DSCI,140,140.0,-0.0533806939773428,-0.18162776954242488,-0.0533806939773428,140.0,0.4415634999750182,dsci_train
DSCI,150,150.0,-0.0533806939773428,-0.5353387875160802,-0.0533806939773428,150.0,0.4717993999947794,dsci_train
DSCI,160,160.0,-0.031214782269779917,-0.031214782269779917,-0.031214782269779917,160.0,0.5001559999655001,dsci_train
DSCI,170,170.0,-0.031214782269779917,-0.06590427050721215,-0.031214782269779917,170.0,0.5309963999898173,dsci_train
DSCI,180,180.0,-0.031214782269779917,-0.20566219536008068,-0.031214782269779917,180.0,0.5601966999820434,dsci_train
DSCI,190,190.0,-0.031214782269779917,-0.5083590703340766,-0.031214782269779917,190.0,0.5888273000018671,dsci_train
DSCI,200,200.0,-0.031214782269779917,-0.49208103650272367,-0.031214782269779917,200.0,0.6191936999675818,dsci_train
DSCI,201,200.0,-0.007416107960119267,-0.007416107960119267,-0.007416107960119267,200.0,4.196689400007017,dsci_train
Random,0,1.0,-2.5839191553630503,-2.5839191553630503,-2.5839191553630503,1.0,0.0005023999838158488,baseline_progress
Random,1,2.0,-1.6862808164101901,-1.6862808164101901,-1.6862808164101901,2.0,0.0007861999911256135,baseline_progress
Random,2,3.0,-1.6862808164101901,-3.3763846613688715,-1.6862808164101901,3.0,0.0010223999852314591,baseline_progress
Random,3,4.0,-0.2779800865371997,-0.2779800865371997,-0.2779800865371997,4.0,0.00121640000725165,baseline_progress
Random,4,5.0,-0.2779800865371997,-2.8787407858333056,-0.2779800865371997,5.0,0.0013894999865442514,baseline_progress
Random,5,6.0,-0.2779800865371997,-0.49208103650272367,-0.2779800865371997,6.0,0.0015516999992541969,baseline_progress
Random,6,7.0,-0.2779800865371997,-2.3137484235906327,-0.2779800865371997,7.0,0.001705800008494407,baseline_progress
Random,7,8.0,-0.2779800865371997,-1.6021874703371048,-0.2779800865371997,8.0,0.0018887000042013824,baseline_progress
Random,8,9.0,-0.2779800865371997,-2.026438015347099,-0.2779800865371997,9.0,0.0020667999633587897,baseline_progress
Random,9,10.0,-0.2779800865371997,-1.7089715775127425,-0.2779800865371997,10.0,0.0022281999699771404,baseline_progress
Random,10,11.0,-0.2779800865371997,-1.2638480963017478,-0.2779800865371997,11.0,0.0023929000017233193,baseline_progress
Random,11,12.0,-0.2779800865371997,-0.5845863527952199,-0.2779800865371997,12.0,0.002555099956225604,baseline_progress
Random,12,13.0,-0.2779800865371997,-1.625314343648474,-0.2779800865371997,13.0,0.0027191999834030867,baseline_progress
Random,13,14.0,-0.2779800865371997,-2.941978187456693,-0.2779800865371997,14.0,0.0028809999930672348,baseline_progress
Random,14,15.0,-0.2779800865371997,-3.011193060329542,-0.2779800865371997,15.0,0.0030516000115312636,baseline_progress
Random,15,16.0,-0.2779800865371997,-0.4984150544573686,-0.2779800865371997,16.0,0.00323569995816797,baseline_progress
Random,16,17.0,-0.2779800865371997,-1.6427312907864589,-0.2779800865371997,17.0,0.003431199991609901,baseline_progress
Random,17,18.0,-0.2779800865371997,-3.5226695651958186,-0.2779800865371997,18.0,0.003667499986477196,baseline_progress
Random,18,19.0,-0.2779800865371997,-1.905371377330904,-0.2779800865371997,19.0,0.0038866999675519764,baseline_progress
Random,19,20.0,-0.2779800865371997,-0.49208103650272367,-0.2779800865371997,20.0,0.004109199973754585,baseline_progress
Random,20,21.0,-0.2779800865371997,-3.222880910627397,-0.2779800865371997,21.0,0.004313999961595982,baseline_progress
Random,21,22.0,-0.2779800865371997,-0.9972550731767926,-0.2779800865371997,22.0,0.004481599957216531,baseline_progress
Random,22,23.0,-0.2779800865371997,-2.3810534963073753,-0.2779800865371997,23.0,0.0046505999634973705,baseline_progress
Random,23,24.0,-0.2779800865371997,-1.774187403453169,-0.2779800865371997,24.0,0.004820499976631254,baseline_progress
Random,24,25.0,-0.2779800865371997,-1.6031400503204187,-0.2779800865371997,25.0,0.004994199960492551,baseline_progress
Random,25,26.0,-0.2779800865371997,-1.4304706567460106,-0.2779800865371997,26.0,0.005163199966773391,baseline_progress
Random,26,27.0,-0.2779800865371997,-0.613248140857922,-0.2779800865371997,27.0,0.005322399956639856,baseline_progress
Random,27,28.0,-0.2779800865371997,-1.9232153652141124,-0.2779800865371997,28.0,0.0054759999620728195,baseline_progress
Random,28,29.0,-0.2779800865371997,-3.571562774962797,-0.2779800865371997,29.0,0.005632299988064915,baseline_progress
Random,29,30.0,-0.2779800865371997,-2.0508682299361296,-0.2779800865371997,30.0,0.005805799970403314,baseline_progress
Random,30,31.0,-0.2779800865371997,-0.49208103650272367,-0.2779800865371997,31.0,0.0060035999631509185,baseline_progress
Random,31,32.0,-0.2779800865371997,-3.1749659987937915,-0.2779800865371997,32.0,0.006189199979417026,baseline_progress
Random,32,33.0,-0.2779800865371997,-1.081557460876056,-0.2779800865371997,33.0,0.006386199966073036,baseline_progress
Random,33,34.0,-0.2779800865371997,-2.0405541065554895,-0.2779800865371997,34.0,0.006570999976247549,baseline_progress
Random,34,35.0,-0.2779800865371997,-1.6632292759129035,-0.2779800865371997,35.0,0.00674719997914508,baseline_progress
Random,35,36.0,-0.2779800865371997,-0.49208103650272367,-0.2779800865371997,36.0,0.006924599991180003,baseline_progress
Random,36,37.0,-0.2779800865371997,-0.538520689744577,-0.2779800865371997,37.0,0.007092899992130697,baseline_progress
Random,37,38.0,-0.2779800865371997,-1.1646825058170456,-0.2779800865371997,38.0,0.007252299983520061,baseline_progress
Random,38,39.0,-0.2779800865371997,-0.49208103650272367,-0.2779800865371997,39.0,0.007404499978292733,baseline_progress
Random,39,40.0,-0.2779800865371997,-0.9749036989026654,-0.2779800865371997,40.0,0.007548399968072772,baseline_progress
Random,40,41.0,-0.2779800865371997,-2.3522733160669285,-0.2779800865371997,41.0,0.007712899998296052,baseline_progress
Random,41,42.0,-0.2779800865371997,-1.3415410856305188,-0.2779800865371997,42.0,0.007903899997472763,baseline_progress
Random,42,43.0,-0.2779800865371997,-3.4125114672818677,-0.2779800865371997,43.0,0.00807019998319447,baseline_progress
Random,43,44.0,-0.2779800865371997,-3.2260744265733563,-0.2779800865371997,44.0,0.008232099993620068,baseline_progress
Random,44,45.0,-0.2779800865371997,-2.32753153495522,-0.2779800865371997,45.0,0.008398599980864674,baseline_progress
Random,45,46.0,-0.2779800865371997,-0.5002894400172543,-0.2779800865371997,46.0,0.00856220000423491,baseline_progress
Random,46,47.0,-0.2779800865371997,-0.4959735189306487,-0.2779800865371997,47.0,0.008723200007807463,baseline_progress
Random,47,48.0,-0.2779800865371997,-2.971982427716484,-0.2779800865371997,48.0,0.008880199980922043,baseline_progress
Random,48,49.0,-0.2779800865371997,-0.9723961480052665,-0.2779800865371997,49.0,0.009035099996253848,baseline_progress
Random,49,50.0,-0.2779800865371997,-1.857401838111351,-0.2779800865371997,50.0,0.009180199995171279,baseline_progress
Random,50,51.0,-0.2779800865371997,-3.2260744265733563,-0.2779800865371997,51.0,0.009326700004749,baseline_progress
Random,51,52.0,-0.2779800865371997,-3.0375160325432455,-0.2779800865371997,52.0,0.009473899961449206,baseline_progress
Random,52,53.0,-0.2779800865371997,-1.4914093814553577,-0.2779800865371997,53.0,0.009621099976357073,baseline_progress
Random,53,54.0,-0.2779800865371997,-0.659058660190896,-0.2779800865371997,54.0,0.009769199998117983,baseline_progress
Random,54,55.0,-0.2779800865371997,-1.5822906480647354,-0.2779800865371997,55.0,0.00992380001116544,baseline_progress
Random,55,56.0,-0.2779800865371997,-0.49208103650272367,-0.2779800865371997,56.0,0.01009259995771572,baseline_progress
