algorithm,curve_role,final_utility,best_utility,final_step,final_episode,evaluations,elapsed_s
PPO,cached_solution,1.1532632963949938,1.1532632963949938,0,0.0,1.0,0.0
Greedy,baseline,1.1359788606916403,1.1359788606916403,2,,9601.0,1.9233872999902815
GA,baseline,0.8073850372216389,0.8073850372216389,3,,19.0,0.016547499923035502
BF,baseline,1.1359788606916403,1.1359788606916403,1,,9601.0,2.0778241001535207
