stage,epoch,train_loss,train_acc,val_loss,val_acc,best_val_acc,batch_size,accumulation
after_layer1,1,4.247162218260743,8.992676402227778,3.9605445584909234,14.502130345589396,14.502130345589396,256,1
after_layer1,2,3.7924357041985153,15.50059202736482,3.60611671315621,19.27568249960549,19.27568249960549,256,1
after_layer1,3,3.574879610674928,18.91066964873043,3.461703058558532,21.824207038030615,21.824207038030615,256,1
after_layer1,4,3.466039458738107,20.908652370302153,3.371647028624306,23.24443743096102,23.24443743096102,256,1
after_layer1,5,3.396695550765844,22.15410253036881,3.2856261051094307,25.54836673504813,25.54836673504813,256,1
after_layer1,6,3.3372185632544005,23.31535324299434,3.2535656688528256,25.27221082531166,25.54836673504813,256,1
after_layer1,7,3.2938278535518273,24.178397579265887,3.199200216633148,26.22692125611488,26.22692125611488,256,1
after_layer1,8,3.254723384427077,24.90988027891067,3.166504248019666,27.331544895060755,27.331544895060755,256,1
after_layer1,9,3.2242917911998954,25.586107091172213,3.133240993869066,27.883856714533692,27.883856714533692,256,1
after_layer1,10,3.1962571586688684,26.114107792834275,3.1045350034435937,28.6570932617958,28.6570932617958,256,1
after_layer1,11,3.1832484194067954,26.41056001403324,3.0869196594861923,28.783335963389618,28.783335963389618,256,1
after_layer1,12,3.159998870210648,26.975397973950795,3.070343138725012,29.485560991005208,29.485560991005208,256,1
after_layer1,13,3.143873477179727,27.527956847783187,3.057318113082325,29.927410446583558,29.927410446583558,256,1
after_layer1,14,3.1285715810239343,27.806867517431918,3.043512629281276,29.93530061543317,29.93530061543317,256,1
after_layer1,15,3.120133657038894,28.06560540279788,3.0367104267874634,30.19567618747041,30.19567618747041,256,1
after_layer1,16,3.11547640694582,28.269964478358112,3.02834426594849,30.21934669401925,30.21934669401925,256,1
after_layer1,17,3.107222521418527,28.346270227601632,3.025385819193277,30.392930408710747,30.392930408710747,256,1
after_layer1,18,3.099976367456518,28.617287199052758,3.0193610992720585,30.432381252958812,30.432381252958812,256,1
after_layer1,19,3.1014703706843294,28.57781870806473,3.016506288035427,30.590184629951082,30.590184629951082,256,1
after_layer1,20,3.09765880274437,28.84357321405078,3.015175109370868,30.787438851191414,30.787438851191414,256,1
after_layer2,1,3.8599746259781256,17.312634302504055,3.3368601996909564,27.59981063594761,27.59981063594761,256,1
