algorithm,step,current_obj,best_obj,evaluations,elapsed_s,final_obj
Greedy,0,0.7516082788272508,0.7516082788272508,1,0.0,
Greedy,1,1.0519123304394289,1.0519123304394289,84673,40.69435640005395,
Greedy,2,1.1531729951451906,1.1531729951451906,169345,75.79411599994637,
Greedy,3,1.1531729951451906,1.1531729951451906,254017,113.46531470003538,
Greedy,4,1.1531729951451906,1.1531729951451906,338689,150.51263569993898,1.1531729951451906
GA,0,0.8073850372216389,0.8073850372216389,50,0.01664409996010363,
GA,1,1.0702865824332513,1.0702865824332513,100,0.05807600007392466,
GA,2,1.0702865824332513,1.0702865824332513,150,0.12935160007327795,
GA,3,1.0702865824332513,1.0702865824332513,200,0.21416380000300705,
GA,4,1.0702865824332513,1.0702865824332513,250,0.2681775998789817,
GA,5,1.0702865824332513,1.0702865824332513,300,0.363898899871856,
GA,6,1.0702865824332513,1.0702865824332513,350,0.4551462000235915,
GA,7,1.0702865824332513,1.0702865824332513,400,0.5415783000644296,
GA,8,1.0702865824332513,1.0702865824332513,450,0.6229906999506056,
GA,9,1.0702865824332513,1.0702865824332513,500,0.6966268999967724,
GA,10,1.0702865824332513,1.0702865824332513,550,0.76467559998855,
GA,11,1.0702865824332513,1.0702865824332513,600,0.8105371000710875,
GA,12,1.0702865824332513,1.0702865824332513,650,0.8810163999442011,
GA,13,1.0702865824332513,1.0702865824332513,700,0.9275392999406904,
GA,14,1.0702865824332513,1.0702865824332513,750,0.9774265999440104,
GA,15,1.0702865824332513,1.0702865824332513,800,1.0278231999836862,
GA,16,1.0702865824332513,1.0702865824332513,850,1.0738601998891681,
GA,17,1.0702865824332513,1.0702865824332513,900,1.1281695999205112,
GA,18,1.0702865824332513,1.0702865824332513,950,1.1782722000498325,
GA,19,1.0702865824332513,1.0702865824332513,1000,1.2190117998979986,
GA,20,1.0702865824332513,1.0702865824332513,1050,1.2582622000481933,
GA,21,1.0702865824332513,1.0702865824332513,1100,1.325937599875033,
GA,22,1.0702865824332513,1.0702865824332513,1150,1.4042366000358015,
GA,23,1.0702865824332513,1.0702865824332513,1200,1.4681426999159157,
GA,24,1.0702865824332513,1.0702865824332513,1250,1.5282209999859333,
GA,25,1.0702865824332513,1.0702865824332513,1300,1.5751968000549823,
GA,26,1.0702865824332513,1.0702865824332513,1350,1.6577576999552548,
GA,27,1.0702865824332513,1.0702865824332513,1400,1.7053056000731885,
GA,28,1.0702865824332513,1.0702865824332513,1450,1.744553899858147,
GA,29,1.0702865824332513,1.0702865824332513,1500,1.7951084000524133,
GA,30,1.0702865824332513,1.0702865824332513,1550,1.8783247999381274,
GA,31,1.0702865824332513,1.0702865824332513,1600,1.953991600079462,
GA,32,1.0702865824332513,1.0702865824332513,1650,2.048117999918759,
GA,33,1.0702865824332513,1.0702865824332513,1700,2.1065503999125212,
GA,34,1.0702865824332513,1.0702865824332513,1750,2.1863050998654217,
GA,35,1.0702865824332513,1.0702865824332513,1800,2.3020579000003636,
GA,36,1.0702865824332513,1.0702865824332513,1850,2.4028020999394357,
GA,37,1.0702865824332513,1.0702865824332513,1900,2.4986497999634594,
GA,38,1.0702865824332513,1.0702865824332513,1950,2.592996899969876,
GA,39,1.0702865824332513,1.0702865824332513,2000,2.6855132998898625,
GA,40,1.0702865824332513,1.0702865824332513,2050,2.7774388999678195,
GA,41,1.0702865824332513,1.0702865824332513,2100,2.8640328999608755,
GA,42,1.0702865824332513,1.0702865824332513,2150,2.933148300042376,
GA,43,1.0702865824332513,1.0702865824332513,2200,3.0000879999715835,
GA,44,1.0702865824332513,1.0702865824332513,2250,3.053850600030273,
GA,45,1.0702865824332513,1.0702865824332513,2300,3.1344131999649107,
GA,46,1.0702865824332513,1.0702865824332513,2350,3.2111482999753207,
GA,47,1.0702865824332513,1.0702865824332513,2400,3.285864899866283,
GA,48,1.0702865824332513,1.0702865824332513,2450,3.368191600078717,
GA,49,1.0702865824332513,1.0702865824332513,2500,3.4597789999097586,
GA,50,1.0702865824332513,1.0702865824332513,2550,3.5624508999753743,
GA,51,1.0702865824332513,1.0702865824332513,2600,3.6551459999755025,
