algorithm,step,episode,best_obj,current_obj,utility,evaluations,elapsed_s,curve_type
DSCI,50,50,0.48028122121960437,0.48028122121960437,0.48028122121960437,100,0.33035869989544153,dsci_train
DSCI,100,100,0.5872388505460829,0.5872388505460829,0.5872388505460829,100,0.6420928998850286,dsci_train
DSCI,150,150,0.5872388505460829,-8.244470587884463,0.5872388505460829,100,0.9415992998983711,dsci_train
DSCI,200,200,0.5872388505460829,0.5104832521465588,0.5872388505460829,100,1.2619020999409258,dsci_train
DSCI,250,250,0.7213085526918236,0.7213085526918236,0.7213085526918236,100,1.5669040998909622,dsci_train
DSCI,300,300,0.7213085526918236,-0.47985164126058266,0.7213085526918236,100,1.8499671998433769,dsci_train
DSCI,350,350,0.9969008423807264,0.9969008423807264,0.9969008423807264,100,2.0844999998807907,dsci_train
DSCI,400,400,0.9969008423807264,0.8073850372216389,0.9969008423807264,100,2.352916599949822,dsci_train
DSCI,450,450,0.9969008423807264,0.9139970531580534,0.9969008423807264,100,2.582598199835047,dsci_train
DSCI,500,500,0.9969008423807264,0.8073850372216389,0.9969008423807264,100,2.8847797999624163,dsci_train
DSCI,501,550,1.1532632963949938,1.1532632963949938,1.1532632963949938,100,55.786599199986085,dsci_train
