training_mode,runs,duration_mean_s,duration_min_s,duration_max_s,objective_mean
cold,4,376.0330163836479,64.13026475906372,573.2623629570007,0.8079438506574228
cold_warm,2,599.8825386762619,579.9027116298676,619.8623657226562,1.0800534114203522
medium,1,98.12417793273926,98.12417793273926,98.12417793273926,0.6641898052680527
near,3,19.665515343348186,15.15622329711914,23.91769289970398,0.7688753266813185
