threshold,final_accuracy,after_layer3_block5_rate,after_layer3_block5_accuracy,after_layer3_block10_rate,after_layer3_block10_accuracy,after_layer3_block15_rate,after_layer3_block15_accuracy,after_layer3_block20_rate,after_layer3_block20_accuracy,after_layer4_rate,after_layer4_accuracy,after_layer3_block5_sequential_rate,after_layer3_block5_sequential_accuracy,after_layer3_block10_sequential_rate,after_layer3_block10_sequential_accuracy,after_layer3_block15_sequential_rate,after_layer3_block15_sequential_accuracy,after_layer3_block20_sequential_rate,after_layer3_block20_sequential_accuracy,after_layer4_sequential_rate,after_layer4_sequential_accuracy,final_rate,overall_accuracy
0.22,74.04,93.3,50.78242229367631,95.8,57.01461377870564,97.02,60.72974644403216,97.86,64.29593296546086,97.52,77.25594749794914,93.3,50.78242229367631,5.92,32.770270270270274,0.46,21.73913043478261,0.26,23.076923076923077,0.06,33.333333333333336,0.0,49.5
0.23,74.04,92.26,51.26815521352699,94.92,57.395701643489254,96.38,61.02925918240299,97.36,64.58504519309778,97.24,77.47840394899218,92.26,51.26815521352699,6.64,31.927710843373493,0.66,24.242424242424242,0.32,25.0,0.1,60.0,0.02,49.72
0.24,74.04,91.18,51.74380346567229,94.24,57.68251273344652,95.84,61.35225375626043,96.88,64.8431048720066,96.86,77.72042122651249,91.18,51.74380346567229,7.4,33.24324324324324,0.94,29.78723404255319,0.34,23.529411764705884,0.12,66.66666666666667,0.02,50.08
0.25,74.04,90.22,52.13921525160718,93.52,58.08383233532934,95.34,61.50618837843508,96.3,65.12980269989616,96.58,77.86291157589564,90.22,52.13921525160718,7.94,33.75314861460957,1.26,33.333333333333336,0.38,36.8421052631579,0.18,66.66666666666667,0.02,50.4
0.26,74.04,88.9,52.66591676040495,92.78,58.41776244880362,94.58,61.87354620427151,95.94,65.33249947884094,96.18,78.12435017675192,88.9,52.66591676040495,8.86,35.214446952595935,1.5,33.333333333333336,0.44,31.818181818181817,0.24,66.66666666666667,0.06,50.74
0.27,74.04,87.6,53.10502283105023,91.68,58.94415357766143,93.94,62.14605067064083,95.16,65.69987389659521,95.9,78.31074035453598,87.6,53.10502283105023,9.46,37.2093023255814,2.0,33.0,0.6,26.666666666666668,0.28,57.142857142857146,0.06,51.02
0.28,74.04,86.68,53.43793262574989,90.78,59.33024895351399,93.04,62.59673258813414,94.46,65.9961888630108,95.6,78.47280334728033,86.68,53.43793262574989,10.04,38.645418326693225,2.12,33.0188679245283,0.76,34.21052631578947,0.34,58.8235294117647,0.06,51.36
0.29,74.04,85.26,53.999530846821486,89.8,59.77728285077951,92.16,63.04253472222222,93.9,66.3045793397231,95.28,78.6943744752309,85.26,53.999530846821486,10.9,37.981651376146786,2.38,31.932773109243698,0.96,33.333333333333336,0.42,57.142857142857146,0.08,51.5
0.3,74.04,84.04,54.54545454545455,88.86,60.13954535223948,91.3,63.41730558598029,93.26,66.69526056187004,94.9,78.94625922023182,84.04,54.54545454545455,11.44,38.28671328671329,2.72,32.35294117647059,1.16,34.48275862068966,0.56,60.714285714285715,0.08,51.84
0.31,74.04,82.38,55.20757465404224,87.86,60.710220805827454,90.5,63.73480662983425,92.68,66.91842900302115,94.48,79.19136325148179,82.38,55.20757465404224,12.42,39.130434782608695,3.2,32.5,1.2,31.666666666666668,0.68,58.8235294117647,0.12,52.16
