threshold,exit1_accuracy,exit2_accuracy,accuracy
0.0,63.16999816894531,85.29000091552734,63.16999793052673
0.010101010101010102,63.16999816894531,85.29000091552734,63.16999793052673
0.020202020202020204,63.16999816894531,85.29000091552734,63.16999793052673
0.030303030303030304,63.16999816894531,85.29000091552734,63.16999793052673
0.04040404040404041,63.16999816894531,85.29000091552734,63.16999793052673
0.05050505050505051,63.16999816894531,85.29000091552734,63.16999793052673
0.06060606060606061,63.16999816894531,85.29000091552734,63.16999793052673
0.07070707070707072,63.16999816894531,85.29000091552734,63.16999793052673
0.08080808080808081,63.16999816894531,85.29000091552734,63.16999793052673
0.09090909090909091,63.16999816894531,85.29000091552734,63.16999793052673
0.10101010101010102,63.16999816894531,85.29000091552734,63.16999793052673
0.11111111111111112,63.16999816894531,85.29000091552734,63.16999793052673
0.12121212121212122,63.16999816894531,85.29000091552734,63.16999793052673
0.13131313131313133,63.16999816894531,85.29000091552734,63.16999793052673
0.14141414141414144,63.16999816894531,85.29000091552734,63.16999793052673
0.15151515151515152,63.16999816894531,85.29000091552734,63.16999793052673
0.16161616161616163,63.16999816894531,85.29000091552734,63.16999793052673
0.17171717171717174,63.16999816894531,85.29000091552734,63.16999793052673
0.18181818181818182,63.17631912231445,85.29000091552734,63.179999589920044
0.19191919191919193,63.216896057128906,85.29000091552734,63.23999762535095
0.20202020202020204,63.2348518371582,85.29000091552734,63.26000094413757
0.21212121212121213,63.28415298461914,85.29000091552734,63.28999996185303
0.22222222222222224,63.33835983276367,85.29000091552734,63.38000297546387
0.23232323232323235,63.4375,85.29000091552734,63.510000705718994
0.24242424242424243,63.62440490722656,85.29000091552734,63.70000243186951
0.25252525252525254,63.76487350463867,85.28852844238281,63.89999985694885
0.26262626262626265,64.09547424316406,85.30559539794922,64.30000066757202
0.27272727272727276,64.36175537109375,85.31265258789062,64.64999914169312
0.2828282828282829,64.74452209472656,85.32826232910156,65.13000130653381
0.29292929292929293,65.01368713378906,85.35950469970703,65.50999879837036
0.30303030303030304,65.44196319580078,85.39224243164062,66.03000164031982
