segment_id,raw_latency_mean_s,raw_latency_median_s,raw_latency_p95_s,calibrated_latency_s,input_bytes,output_bytes
0,0.05421156443383855,0.042575636005494744,0.10824465225086885,0.05421156443383855,602625,803329
1,0.04924457109882496,0.04150702000333695,0.09239874044942538,0.04924457109882496,803329,3211778
2,0.03980713596732433,0.03836789249908179,0.06952881934776087,0.03980713596732433,3211778,3211778
3,0.0426562724004422,0.03745838000031654,0.07646440479875309,0.0426562724004422,3211778,3211778
4,0.06105451836580566,0.05795127699821023,0.09803836285063879,0.06105451836580566,3211778,1606146
5,0.02942376159771811,0.02591558199492283,0.05688164244711511,0.02942376159771811,1606146,1606146
6,0.03184348163534499,0.02874941949994536,0.059272747054637816,0.03184348163534499,1606146,1606146
7,0.033422402866805596,0.029482368001481518,0.07043174520003954,0.033422402866805596,1606146,1606146
8,0.05201677893395148,0.04774745849863393,0.08789325360557991,0.05201677893395148,1606146,803329
9,0.029416583834972698,0.02610421249846695,0.04950688345561502,0.029416583834972698,803329,803329
10,0.03126292953287096,0.025361967498611193,0.06335293675001594,0.03126292953287096,803329,803329
11,0.02839981283226128,0.025530413498927373,0.05103785330356912,0.02839981283226128,803329,803329
12,0.028995189100290492,0.025635099002101924,0.05554600934265181,0.028995189100290492,803329,803329
13,0.029955100201186725,0.027589933000854217,0.04542733425550977,0.029955100201186725,803329,803329
14,0.06926549530035117,0.07051249699725304,0.10114167675637872,0.06926549530035117,803329,401921
15,0.04292738159856526,0.04317269549937919,0.06509015999836265,0.04292738159856526,401921,401921
16,0.0420034750684863,0.041929800005164,0.0662436858539877,0.0420034750684863,401921,401921
17,0.0007139362001908012,0.0006684380059596151,0.0012725999498798043,0.0007139362001908012,401921,8682
18,0.002774021134246141,0.0017673885013209656,0.006559401752019763,0.002774021134246141,8682,529
