segment_id,raw_latency_mean_s,raw_latency_median_s,raw_latency_p95_s,calibrated_latency_s,input_bytes,output_bytes
0,0.0004238133333728911,0.0004074500000115222,0.0005646850001312484,0.0004238133333728911,602625,605692
1,0.0009149766666572153,0.0009457000003294525,0.001156630000014047,0.0009149766666572153,605692,605692
2,0.0008621466667136701,0.0008522000000539265,0.0010597699997106247,0.0008621466667136701,605692,605692
3,0.0008462266666811047,0.0008428500000263739,0.0010332199999311341,0.0008462266666811047,605692,605692
4,0.0008649366666607723,0.0009031499998854997,0.0010244299998930727,0.0008649366666607723,605692,605692
5,0.0008626299999680971,0.0008780999999089545,0.0010065799998983493,0.0008626299999680971,605692,605692
6,0.0008526966666977387,0.000851499999726002,0.0010588300001018066,0.0008526966666977387,605692,605692
7,0.0008593933333183183,0.0008748499999455817,0.001067844999920453,0.0008593933333183183,605692,605692
8,0.0008594466666788018,0.0008752000001095439,0.0010531400001127622,0.0008594466666788018,605692,605692
9,0.0008294133333644519,0.0008486499998525687,0.0009766600001057668,0.0008294133333644519,605692,605692
10,0.0008063466666802317,0.0008273500000086642,0.0009496699999772318,0.0008063466666802317,605692,605692
11,0.000827830000010484,0.0008259000001089589,0.0010657800001126812,0.000827830000010484,605692,605692
12,0.0008414233333193503,0.0008362500000202999,0.0011142049998852598,0.0008414233333193503,605692,605692
13,9.942666677792052e-05,8.309999998346029e-05,0.00015686500014453478,9.942666677792052e-05,605692,605687
14,8.050333328052754e-05,6.969999981265573e-05,0.00010892499981309809,8.050333328052754e-05,605687,529
