segment_id,raw_latency_mean_s,raw_latency_median_s,raw_latency_p95_s,calibrated_latency_s,input_bytes,output_bytes
0,0.0155987133194382,0.015478699991945177,0.017009474954102186,0.015598713319438203,618865,832261
1,0.006711383334671458,0.006657149991951883,0.00727640502154827,0.006711383334671459,832261,3327494
2,0.004756399996889134,0.004740100004710257,0.005127709946827963,0.004756399996889135,3327494,3327494
3,0.004499459996198615,0.004473100008908659,0.004943004960659891,0.004499459996198616,3327494,3327494
4,0.008287999992414067,0.008151449961587787,0.009081390034407376,0.008287999992414068,3327494,1722886
5,0.004129556675131122,0.00411385006736964,0.00435399497509934,0.004129556675131123,1722886,1722886
6,0.004189689992927015,0.004156399983912706,0.0047872099501546465,0.004189689992927016,1722886,1722886
7,0.004187216671804587,0.004059500002767891,0.004818279959727078,0.004187216671804588,1722886,1722886
8,0.009376139989277969,0.009361599979456514,0.010078345029614865,0.00937613998927797,1722886,922117
9,0.004694210004527122,0.004586449998896569,0.005316265003057196,0.0046942100045271225,922117,922117
10,0.004558586659065137,0.004449850006494671,0.005245990015100688,0.004558586659065138,922117,922117
11,0.004556540019499759,0.004471050051506609,0.005192840029485523,0.00455654001949976,922117,922117
12,0.0045682233370219665,0.004527550016064197,0.005089815036626532,0.004568223337021967,922117,922117
13,0.004546263328908632,0.0045337999472394586,0.004960434982785955,0.004546263328908633,922117,922117
14,0.013662656668263178,0.013582550047431141,0.014612620061961934,0.013662656668263181,922117,524805
15,0.0058646900074866915,0.005757050006650388,0.006426290015224367,0.005864690007486693,524805,524805
16,0.005755249996824811,0.005719349952414632,0.0062584600003901866,0.0057552499968248115,524805,524805
17,0.00014281000088279446,0.00013414997374638915,0.00017381003126502032,0.00014281000088279448,524805,8686
18,4.504333483055234e-05,4.2050029151141644e-05,5.460000247694551e-05,4.5043334830552345e-05,8686,533
