threshold, final_accuracy, after_layer3_block5_rate, after_layer3_block5_accuracy, after_layer3_block10_rate, after_layer3_block10_accuracy, after_layer3_block15_rate, after_layer3_block15_accuracy, after_layer3_block20_rate, after_layer3_block20_accuracy, after_layer4_rate, after_layer4_accuracy, after_layer3_block5_sequential_rate, after_layer3_block5_sequential_accuracy, after_layer3_block10_sequential_rate, after_layer3_block10_sequential_accuracy, after_layer3_block15_sequential_rate, after_layer3_block15_sequential_accuracy, after_layer3_block20_sequential_rate, after_layer3_block20_sequential_accuracy, after_layer4_sequential_rate, after_layer4_sequential_accuracy, final_rate, overall_accuracy
     0.77,          91.39,                    66.23,            93.99063868337612,                     75.43,             94.92244465066949,                     78.75,             94.95873015873016,                     81.41,             91.77005281906399,             95.21,     95.25259951685747,                               66.23,                       93.99063868337612,                                13.03,                       87.10667689946278 ,                                 5.59,                       81.7531305903399  ,                                 3.48,                       79.3103448275862  ,                         9.49,               85.24762908324553 ,       2.18,            89.92
     0.78,          91.39,                    65.3 ,            94.28790199081163,                     74.68,             95.08569898232459,                     78.05,             95.18257527226137,                     80.8 ,             91.89356435643565,             95.01,     95.3162824965793 ,                               65.3 ,                       94.28790199081163,                                13.14,                       87.29071537290716 ,                                 5.66,                       83.56890459363957 ,                                 3.55,                       80.84507042253522 ,                        10.01,               85.41458541458542 ,       2.34,            90.2
     0.79,          91.39,                    64.37,            94.53161410594997,                     73.87,             95.20779748206309,                     77.23,             95.390392334585  ,                     80.05,             92.06745783885071,             94.81,     95.41187638434764,                               64.37,                       94.53161410594997,                                13.19,                       87.64215314632297 ,                                 5.64,                       85.1063829787234  ,                                 3.63,                       80.99173553719008 ,                        10.56,               86.17424242424242 ,       2.61,            90.37
     0.8 ,          91.39,                    63.35,            94.69613259668509,                     73.16,             95.3526517222526 ,                     76.52,             95.63512807109252,                     79.3 ,             92.24464060529634,             94.61,     95.49730472465913,                               63.35,                       94.69613259668509,                                13.35,                       88.31460674157303 ,                                 5.68,                       85.7394366197183  ,                                 3.58,                       82.12290502793296 ,                        11.21,               86.70829616413916 ,       2.83,            90.54
     0.81,          91.39,                    62.31,            94.86438773872572,                     72.45,             95.4727398205659 ,                     75.76,             95.78933474128827,                     78.59,             92.33999236544089,             94.41,     95.56191081453235,                               62.31,                       94.86438773872572,                                13.53,                       88.98743532889874 ,                                 5.79,                       86.70120898100173 ,                                 3.58,                       82.40223463687151 ,                        11.8 ,               86.77966101694915 ,       2.99,            90.7
     0.82,          91.39,                    61.31,            95.10683412167673,                     71.52,             95.69351230425056,                     74.99,             95.919455927457  ,                     77.94,             92.46856556325379,             94.25,     95.62864721485411,                               61.31,                       95.10683412167673,                                13.54,                       89.6602658788774  ,                                 5.97,                       87.77219430485762 ,                                 3.77,                       82.49336870026525 ,                        12.26,               87.03099510603589 ,       3.15,            90.89
     0.83,          91.39,                    60.3 ,            95.29021558872306,                     70.68,             95.82625919637805,                     74.15,             96.10249494268375,                     77.21,             92.59163320813366,             94.03,     95.67159417207274,                               60.3 ,                       95.29021558872306,                                13.63,                       90.02201027146002 ,                                 5.95,                       88.23529411764706 ,                                 3.88,                       84.27835051546391 ,                        12.86,               87.16951788491447 ,       3.38,            90.96
     0.84,          91.39,                    59.08,            95.54840893703452,                     69.57,             96.07589478223372,                     73.31,             96.31700995771382,                     76.53,             92.74794198353587,             93.86,     95.75964202002983,                               59.08,                       95.54840893703452,                                13.64,                       91.05571847507332 ,                                 6.1 ,                       89.18032786885246 ,                                 4.0 ,                       86.0              ,                        13.54,               87.51846381093057 ,       3.64,            91.19
     0.85,          91.39,                    57.78,            95.69055036344756,                     68.54,             96.32331485264079,                     72.46,             96.50841843775876,                     75.73,             92.86940446322461,             93.6 ,     95.84401709401709,                               57.78,                       95.69055036344756,                                13.81,                       91.67270094134685 ,                                 6.32,                       89.71518987341773 ,                                 4.15,                       86.74698795180723 ,                        14.0 ,               87.85714285714286 ,       3.94,            91.26
     0.86,          91.39,                    56.71,            95.83847645917828,                     67.37,             96.45242689624462,                     71.53,             96.70068502726129,                     74.82,             93.02325581395348,             93.36,     95.94044558697514,                               56.71,                       95.83847645917828,                                13.67,                       92.2457937088515  ,                                 6.56,                       90.39634146341463 ,                                 4.07,                       87.71498771498771 ,                        14.74,               88.53459972862957 ,       4.25,            91.4
