round_id,training_mode,objective,duration_s,duration_min,has_policy_source,update_epoch,started_at,finished_at
dsci-fixedp-100s-001,near,0.6641898052680527,15.15622329711914,0.25260372161865235,True,3,1782483970.3076782,1782483985.4639015
r50-cifar10-cloud-001,near,0.8098234332840533,23.91769289970398,0.39862821499506634,True,1,1782994543.5309124,1782994567.4486053
r50-cifar10-cloud-1,near,0.8326127414918496,19.922629833221436,0.3320438305536906,True,2,1782994614.2918487,1782994634.2144785
dsci-fixedp-002,medium,0.6641898052680527,98.12417793273926,1.6354029655456543,True,2,1782483799.0920186,1782483897.2161965
20260707-0948,cold_warm,1.0800534114203522,619.8623657226562,10.331039428710938,True,2,1783389780.8359587,1783390400.6983244
20260707-1015,cold_warm,1.0800534114203522,579.9027116298676,9.665045193831126,True,3,1783390519.2108488,1783391099.1135604
dsci-fixedp-001,cold,0.6641898052680527,397.0511884689331,6.617519807815552,False,1,1782483266.867702,1782483663.9188905
2,cold,0.3342688895462923,469.6882493495941,7.828137489159902,False,1,1783044393.1242502,1783044862.8124995
round-001,cold,1.0800534114203522,573.2623629570007,9.554372715950013,False,1,1783388295.9493992,1783388869.2117622
20260707-1142,cold,1.1532632963949938,64.13026475906372,1.0688377459843954,False,1,1783395778.8063977,1783395842.9366624
