round_id,training_mode,duration_s,started_at,speedup_vs_cold
dsci-fixedp-001,cold,397.0511884689331,1782483266.867702,1.0
dsci-fixedp-002,medium,98.12417793273926,1782483799.0920186,4.0464154384161874
dsci-fixedp-100s-001,near,15.15622329711914,1782483970.3076782,26.197237971837197
cache-reuse,reuse,0.0,,
