stage,epoch,train_loss,train_acc,val_loss,val_acc,best_val_acc,batch_size,accumulation
after_block3,1,1.7111281637161497,26.904761904761905,1.5998010723679155,51.48148148148148,51.48148148148148,128,1
after_block3,2,1.4207597017288207,57.698412698412696,1.276571544011434,73.33333333333333,73.33333333333333,128,1
after_block3,3,1.1006398995717366,78.33333333333333,1.0858633562370583,73.33333333333333,73.33333333333333,128,1
after_block3,4,0.9073545418088398,86.82539682539682,0.9692459684831125,77.03703703703704,77.03703703703704,128,1
after_block3,5,0.7895741078588697,84.36507936507937,0.8657850477430555,75.92592592592592,77.03703703703704,128,1
after_block3,6,0.6985306983902341,86.82539682539682,0.772434941486076,85.18518518518519,85.18518518518519,128,1
after_block3,7,0.625488849859389,87.53968253968254,0.6719681360103466,86.29629629629629,86.29629629629629,128,1
after_block3,8,0.5701425694283985,88.88888888888889,0.6077926070601852,88.51851851851852,88.51851851851852,128,1
after_block3,9,0.5316678237347375,88.73015873015873,0.5653815375434028,89.25925925925925,89.25925925925925,128,1
after_block3,10,0.5022288057539198,89.28571428571429,0.5128117316299015,90.0,90.0,128,1
after_block3,11,0.4574732716121371,91.11111111111111,0.47442610065142315,90.0,90.0,128,1
after_block3,12,0.4677122157717508,89.60317460317461,0.4656093458334605,90.37037037037037,90.37037037037037,128,1
after_block3,13,0.4367776539590624,91.5079365079365,0.445702615932182,91.48148148148148,91.48148148148148,128,1
after_block3,14,0.4250915400565617,90.47619047619048,0.42528076105647616,92.22222222222223,92.22222222222223,128,1
after_block3,15,0.43133668379178125,90.87301587301587,0.4161973739111865,92.22222222222223,92.22222222222223,128,1
after_block3,16,0.4191638832054441,90.7936507936508,0.4079566114478641,92.5925925925926,92.5925925925926,128,1
after_block3,17,0.40469230139066303,91.42857142857143,0.4027160077183335,92.5925925925926,92.5925925925926,128,1
after_block3,18,0.3999227543671926,91.74603174603175,0.3990742438369327,92.5925925925926,92.5925925925926,128,1
after_block3,19,0.40615242889949255,91.74603174603175,0.39760550106013265,92.96296296296296,92.96296296296296,128,1
after_block3,20,0.39121177953387065,92.3015873015873,0.3971930049083851,92.96296296296296,92.96296296296296,128,1
after_block6,1,1.845915104472448,26.50793650793651,1.511715135750947,63.333333333333336,63.333333333333336,128,1
after_block6,2,1.2698968777580866,69.76190476190476,1.0297435623628122,76.29629629629629,76.29629629629629,128,1
after_block6,3,0.7637838675862267,92.3015873015873,0.707938187652164,90.74074074074075,90.74074074074075,128,1
after_block6,4,0.5194252854301816,94.44444444444444,0.5558523681428698,93.70370370370371,93.70370370370371,128,1
after_block6,5,0.39683400723669265,94.04761904761905,0.4572374125321706,94.44444444444444,94.44444444444444,128,1
after_block6,6,0.3166568994522095,96.03174603174604,0.36882092511212383,96.29629629629629,96.29629629629629,128,1
after_block6,7,0.25917859768110607,96.74603174603175,0.3156153367625342,97.03703703703704,97.03703703703704,128,1
after_block6,8,0.2277383286328543,95.7936507936508,0.2768107380028124,97.03703703703704,97.03703703703704,128,1
after_block6,9,0.2040649478870725,97.3015873015873,0.24673422354239005,97.4074074074074,97.4074074074074,128,1
after_block6,10,0.19423902153022707,97.14285714285714,0.2335581746366289,98.14814814814815,98.14814814814815,128,1
after_block6,11,0.17365520397822062,97.77777777777777,0.21489369438754188,98.14814814814815,98.14814814814815,128,1
after_block6,12,0.1820187880406304,96.82539682539682,0.20271066725254058,98.14814814814815,98.14814814814815,128,1
after_block6,13,0.15246694471154895,98.17460317460318,0.1965676909243619,98.14814814814815,98.14814814814815,128,1
after_block6,14,0.15238319739462838,97.93650793650794,0.18495490495805386,98.51851851851852,98.51851851851852,128,1
after_block6,15,0.15650336643060048,97.22222222222223,0.18023452791902755,98.51851851851852,98.51851851851852,128,1
after_block6,16,0.152548795796576,97.61904761904762,0.17745990024672614,98.51851851851852,98.51851851851852,128,1
after_block6,17,0.15432365167708623,97.53968253968254,0.1751824629527551,98.51851851851852,98.51851851851852,128,1
after_block6,18,0.14169212537152426,97.93650793650794,0.17368796291174712,98.51851851851852,98.51851851851852,128,1
after_block6,19,0.1420481910781255,97.85714285714286,0.1733794034631164,98.51851851851852,98.51851851851852,128,1
after_block9,1,1.6870415543753003,42.46031746031746,1.4828215431284022,56.666666666666664,56.666666666666664,128,1
after_block9,2,1.0956333690219455,86.5079365079365,0.9290726246657195,88.51851851851852,88.51851851851852,128,1
after_block9,3,0.5866436682996296,97.46031746031746,0.6007916476991442,95.18518518518519,95.18518518518519,128,1
after_block9,4,0.3621225997569069,96.9047619047619,0.46002061499489677,95.55555555555556,95.55555555555556,128,1
after_block9,5,0.26356647979645503,97.3015873015873,0.36559679993876704,96.29629629629629,96.29629629629629,128,1
after_block9,6,0.20684809623256561,97.22222222222223,0.31223867910879627,95.92592592592592,96.29629629629629,128,1
after_block9,7,0.17364799224195027,98.25396825396825,0.2724533074431949,97.03703703703704,97.03703703703704,128,1
after_block9,8,0.14929254679452805,97.6984126984127,0.23582650665883664,98.88888888888889,98.88888888888889,128,1
after_block9,9,0.13654603189419187,98.0952380952381,0.21610675387912326,98.88888888888889,98.88888888888889,128,1
after_block9,10,0.1298251411981053,98.25396825396825,0.19973062607977127,98.88888888888889,98.88888888888889,128,1
after_block9,11,0.11291113931035239,98.41269841269842,0.18592693165496543,98.88888888888889,98.88888888888889,128,1
after_block9,12,0.12680899886384842,97.77777777777777,0.17853783512556995,98.88888888888889,98.88888888888889,128,1
after_block9,13,0.10141787623602247,98.65079365079364,0.171662817729844,98.88888888888889,98.88888888888889,128,1
