threshold,final_accuracy,after_block3_isolated_accuracy,after_block3_rate,after_block3_accuracy,after_block6_isolated_accuracy,after_block6_rate,after_block6_accuracy,after_block9_isolated_accuracy,after_block9_rate,after_block9_accuracy,after_block3_sequential_rate,after_block3_sequential_accuracy,after_block6_sequential_rate,after_block6_sequential_accuracy,after_block9_sequential_rate,after_block9_sequential_accuracy,final_rate,overall_accuracy
0.0,100.0,92.96296296296296,100.0,92.96296296296296,98.51851851851852,100.0,98.51851851851852,98.88888888888889,100.0,98.88888888888889,100.0,92.96296296296296,0.0,0.0,0.0,0.0,0.0,92.96296296296296
0.01,100.0,92.96296296296296,100.0,92.96296296296296,98.51851851851852,100.0,98.51851851851852,98.88888888888889,100.0,98.88888888888889,100.0,92.96296296296296,0.0,0.0,0.0,0.0,0.0,92.96296296296296
0.02,100.0,92.96296296296296,100.0,92.96296296296296,98.51851851851852,100.0,98.51851851851852,98.88888888888889,100.0,98.88888888888889,100.0,92.96296296296296,0.0,0.0,0.0,0.0,0.0,92.96296296296296
0.03,100.0,92.96296296296296,100.0,92.96296296296296,98.51851851851852,100.0,98.51851851851852,98.88888888888889,100.0,98.88888888888889,100.0,92.96296296296296,0.0,0.0,0.0,0.0,0.0,92.96296296296296
0.04,100.0,92.96296296296296,100.0,92.96296296296296,98.51851851851852,100.0,98.51851851851852,98.88888888888889,100.0,98.88888888888889,100.0,92.96296296296296,0.0,0.0,0.0,0.0,0.0,92.96296296296296
0.05,100.0,92.96296296296296,100.0,92.96296296296296,98.51851851851852,100.0,98.51851851851852,98.88888888888889,100.0,98.88888888888889,100.0,92.96296296296296,0.0,0.0,0.0,0.0,0.0,92.96296296296296
0.06,100.0,92.96296296296296,100.0,92.96296296296296,98.51851851851852,100.0,98.51851851851852,98.88888888888889,100.0,98.88888888888889,100.0,92.96296296296296,0.0,0.0,0.0,0.0,0.0,92.96296296296296
0.07,100.0,92.96296296296296,100.0,92.96296296296296,98.51851851851852,100.0,98.51851851851852,98.88888888888889,100.0,98.88888888888889,100.0,92.96296296296296,0.0,0.0,0.0,0.0,0.0,92.96296296296296
0.08,100.0,92.96296296296296,100.0,92.96296296296296,98.51851851851852,100.0,98.51851851851852,98.88888888888889,100.0,98.88888888888889,100.0,92.96296296296296,0.0,0.0,0.0,0.0,0.0,92.96296296296296
0.09,100.0,92.96296296296296,100.0,92.96296296296296,98.51851851851852,100.0,98.51851851851852,98.88888888888889,100.0,98.88888888888889,100.0,92.96296296296296,0.0,0.0,0.0,0.0,0.0,92.96296296296296
0.1,100.0,92.96296296296296,100.0,92.96296296296296,98.51851851851852,100.0,98.51851851851852,98.88888888888889,100.0,98.88888888888889,100.0,92.96296296296296,0.0,0.0,0.0,0.0,0.0,92.96296296296296
0.11,100.0,92.96296296296296,100.0,92.96296296296296,98.51851851851852,100.0,98.51851851851852,98.88888888888889,100.0,98.88888888888889,100.0,92.96296296296296,0.0,0.0,0.0,0.0,0.0,92.96296296296296
0.12,100.0,92.96296296296296,100.0,92.96296296296296,98.51851851851852,100.0,98.51851851851852,98.88888888888889,100.0,98.88888888888889,100.0,92.96296296296296,0.0,0.0,0.0,0.0,0.0,92.96296296296296
0.13,100.0,92.96296296296296,100.0,92.96296296296296,98.51851851851852,100.0,98.51851851851852,98.88888888888889,100.0,98.88888888888889,100.0,92.96296296296296,0.0,0.0,0.0,0.0,0.0,92.96296296296296
0.14,100.0,92.96296296296296,100.0,92.96296296296296,98.51851851851852,100.0,98.51851851851852,98.88888888888889,100.0,98.88888888888889,100.0,92.96296296296296,0.0,0.0,0.0,0.0,0.0,92.96296296296296
0.15,100.0,92.96296296296296,100.0,92.96296296296296,98.51851851851852,100.0,98.51851851851852,98.88888888888889,100.0,98.88888888888889,100.0,92.96296296296296,0.0,0.0,0.0,0.0,0.0,92.96296296296296
0.16,100.0,92.96296296296296,100.0,92.96296296296296,98.51851851851852,100.0,98.51851851851852,98.88888888888889,100.0,98.88888888888889,100.0,92.96296296296296,0.0,0.0,0.0,0.0,0.0,92.96296296296296
0.17,100.0,92.96296296296296,100.0,92.96296296296296,98.51851851851852,100.0,98.51851851851852,98.88888888888889,100.0,98.88888888888889,100.0,92.96296296296296,0.0,0.0,0.0,0.0,0.0,92.96296296296296
0.18,100.0,92.96296296296296,100.0,92.96296296296296,98.51851851851852,100.0,98.51851851851852,98.88888888888889,100.0,98.88888888888889,100.0,92.96296296296296,0.0,0.0,0.0,0.0,0.0,92.96296296296296
0.19,100.0,92.96296296296296,100.0,92.96296296296296,98.51851851851852,100.0,98.51851851851852,98.88888888888889,100.0,98.88888888888889,100.0,92.96296296296296,0.0,0.0,0.0,0.0,0.0,92.96296296296296
0.2,100.0,92.96296296296296,100.0,92.96296296296296,98.51851851851852,100.0,98.51851851851852,98.88888888888889,100.0,98.88888888888889,100.0,92.96296296296296,0.0,0.0,0.0,0.0,0.0,92.96296296296296
0.21,100.0,92.96296296296296,100.0,92.96296296296296,98.51851851851852,100.0,98.51851851851852,98.88888888888889,100.0,98.88888888888889,100.0,92.96296296296296,0.0,0.0,0.0,0.0,0.0,92.96296296296296
0.22,100.0,92.96296296296296,100.0,92.96296296296296,98.51851851851852,100.0,98.51851851851852,98.88888888888889,100.0,98.88888888888889,100.0,92.96296296296296,0.0,0.0,0.0,0.0,0.0,92.96296296296296
0.23,100.0,92.96296296296296,100.0,92.96296296296296,98.51851851851852,100.0,98.51851851851852,98.88888888888889,100.0,98.88888888888889,100.0,92.96296296296296,0.0,0.0,0.0,0.0,0.0,92.96296296296296
0.24,100.0,92.96296296296296,99.62962962962963,93.3085501858736,98.51851851851852,100.0,98.51851851851852,98.88888888888889,100.0,98.88888888888889,99.62962962962963,93.3085501858736,0.37037037037037035,100.0,0.0,0.0,0.0,93.33333333333333
0.25,100.0,92.96296296296296,99.62962962962963,93.3085501858736,98.51851851851852,100.0,98.51851851851852,98.88888888888889,100.0,98.88888888888889,99.62962962962963,93.3085501858736,0.37037037037037035,100.0,0.0,0.0,0.0,93.33333333333333
0.26,100.0,92.96296296296296,99.62962962962963,93.3085501858736,98.51851851851852,100.0,98.51851851851852,98.88888888888889,100.0,98.88888888888889,99.62962962962963,93.3085501858736,0.37037037037037035,100.0,0.0,0.0,0.0,93.33333333333333
0.27,100.0,92.96296296296296,99.25925925925925,93.28358208955224,98.51851851851852,100.0,98.51851851851852,98.88888888888889,100.0,98.88888888888889,99.25925925925925,93.28358208955224,0.7407407407407407,100.0,0.0,0.0,0.0,93.33333333333333
0.28,100.0,92.96296296296296,98.88888888888889,93.25842696629213,98.51851851851852,100.0,98.51851851851852,98.88888888888889,100.0,98.88888888888889,98.88888888888889,93.25842696629213,1.1111111111111112,100.0,0.0,0.0,0.0,93.33333333333333
0.29,100.0,92.96296296296296,98.88888888888889,93.25842696629213,98.51851851851852,100.0,98.51851851851852,98.88888888888889,100.0,98.88888888888889,98.88888888888889,93.25842696629213,1.1111111111111112,100.0,0.0,0.0,0.0,93.33333333333333
0.3,100.0,92.96296296296296,98.88888888888889,93.25842696629213,98.51851851851852,100.0,98.51851851851852,98.88888888888889,100.0,98.88888888888889,98.88888888888889,93.25842696629213,1.1111111111111112,100.0,0.0,0.0,0.0,93.33333333333333
0.31,100.0,92.96296296296296,98.88888888888889,93.25842696629213,98.51851851851852,100.0,98.51851851851852,98.88888888888889,100.0,98.88888888888889,98.88888888888889,93.25842696629213,1.1111111111111112,100.0,0.0,0.0,0.0,93.33333333333333
0.32,100.0,92.96296296296296,98.51851851851852,93.60902255639098,98.51851851851852,100.0,98.51851851851852,98.88888888888889,99.62962962962963,98.88475836431226,98.51851851851852,93.60902255639098,1.4814814814814814,100.0,0.0,0.0,0.0,93.70370370370371
0.33,100.0,92.96296296296296,97.77777777777777,93.56060606060606,98.51851851851852,100.0,98.51851851851852,98.88888888888889,99.62962962962963,98.88475836431226,97.77777777777777,93.56060606060606,2.2222222222222223,100.0,0.0,0.0,0.0,93.70370370370371
0.34,100.0,92.96296296296296,97.4074074074074,93.5361216730038,98.51851851851852,100.0,98.51851851851852,98.88888888888889,99.25925925925925,98.88059701492537,97.4074074074074,93.5361216730038,2.5925925925925926,100.0,0.0,0.0,0.0,93.70370370370371
0.35,100.0,92.96296296296296,97.03703703703704,93.89312977099236,98.51851851851852,100.0,98.51851851851852,98.88888888888889,98.88888888888889,99.25093632958801,97.03703703703704,93.89312977099236,2.962962962962963,100.0,0.0,0.0,0.0,94.07407407407408
0.36,100.0,92.96296296296296,97.03703703703704,93.89312977099236,98.51851851851852,100.0,98.51851851851852,98.88888888888889,98.88888888888889,99.25093632958801,97.03703703703704,93.89312977099236,2.962962962962963,100.0,0.0,0.0,0.0,94.07407407407408
0.37,100.0,92.96296296296296,97.03703703703704,93.89312977099236,98.51851851851852,100.0,98.51851851851852,98.88888888888889,98.88888888888889,99.25093632958801,97.03703703703704,93.89312977099236,2.962962962962963,100.0,0.0,0.0,0.0,94.07407407407408
0.38,100.0,92.96296296296296,97.03703703703704,93.89312977099236,98.51851851851852,100.0,98.51851851851852,98.88888888888889,98.88888888888889,99.25093632958801,97.03703703703704,93.89312977099236,2.962962962962963,100.0,0.0,0.0,0.0,94.07407407407408
0.39,100.0,92.96296296296296,96.29629629629629,94.23076923076923,98.51851851851852,100.0,98.51851851851852,98.88888888888889,98.88888888888889,99.25093632958801,96.29629629629629,94.23076923076923,3.7037037037037037,100.0,0.0,0.0,0.0,94.44444444444444
0.4,100.0,92.96296296296296,95.92592592592592,94.2084942084942,98.51851851851852,99.62962962962963,98.51301115241635,98.88888888888889,98.88888888888889,99.25093632958801,95.92592592592592,94.2084942084942,4.074074074074074,100.0,0.0,0.0,0.0,94.44444444444444
0.41,100.0,92.96296296296296,94.44444444444444,94.90196078431373,98.51851851851852,99.25925925925925,98.50746268656717,98.88888888888889,98.51851851851852,99.24812030075188,94.44444444444444,94.90196078431373,5.555555555555555,93.33333333333333,0.0,0.0,0.0,94.81481481481481
0.42,100.0,92.96296296296296,94.07407407407408,94.88188976377953,98.51851851851852,99.25925925925925,98.50746268656717,98.88888888888889,98.14814814814815,99.24528301886792,94.07407407407408,94.88188976377953,5.925925925925926,93.75,0.0,0.0,0.0,94.81481481481481
0.43,100.0,92.96296296296296,93.70370370370371,94.86166007905139,98.51851851851852,99.25925925925925,98.50746268656717,98.88888888888889,97.77777777777777,99.62121212121212,93.70370370370371,94.86166007905139,6.296296296296297,94.11764705882354,0.0,0.0,0.0,94.81481481481481
0.44,100.0,92.96296296296296,92.96296296296296,95.61752988047809,98.51851851851852,99.25925925925925,98.50746268656717,98.88888888888889,97.4074074074074,99.61977186311788,92.96296296296296,95.61752988047809,7.037037037037037,94.73684210526316,0.0,0.0,0.0,95.55555555555556
0.45,100.0,92.96296296296296,92.22222222222223,95.9839357429719,98.51851851851852,98.88888888888889,98.50187265917603,98.88888888888889,96.66666666666667,99.61685823754789,92.22222222222223,95.9839357429719,7.777777777777778,95.23809523809524,0.0,0.0,0.0,95.92592592592592
0.46,100.0,92.96296296296296,91.85185185185185,96.37096774193549,98.51851851851852,98.51851851851852,98.49624060150376,98.88888888888889,96.66666666666667,99.61685823754789,91.85185185185185,96.37096774193549,8.148148148148149,90.9090909090909,0.0,0.0,0.0,95.92592592592592
0.47,100.0,92.96296296296296,91.11111111111111,97.15447154471545,98.51851851851852,98.51851851851852,98.49624060150376,98.88888888888889,95.92592592592592,99.61389961389962,91.11111111111111,97.15447154471545,8.518518518518519,91.30434782608695,0.0,0.0,0.37037037037037035,96.66666666666667
0.48,100.0,92.96296296296296,90.74074074074075,97.14285714285714,98.51851851851852,97.77777777777777,98.48484848484848,98.88888888888889,95.18518518518519,99.61089494163424,90.74074074074075,97.14285714285714,8.518518518518519,91.30434782608695,0.0,0.0,0.7407407407407407,96.66666666666667
0.49,100.0,92.96296296296296,88.14814814814815,97.47899159663865,98.51851851851852,97.77777777777777,98.48484848484848,98.88888888888889,94.81481481481481,99.609375,88.14814814814815,97.47899159663865,11.11111111111111,90.0,0.0,0.0,0.7407407407407407,96.66666666666667
0.5,100.0,92.96296296296296,87.77777777777777,97.8902953586498,98.51851851851852,97.03703703703704,98.85496183206106,98.88888888888889,94.44444444444444,99.6078431372549,87.77777777777777,97.8902953586498,10.37037037037037,92.85714285714286,0.0,0.0,1.8518518518518519,97.4074074074074
0.51,100.0,92.96296296296296,87.4074074074074,97.88135593220339,98.51851851851852,96.29629629629629,99.23076923076923,98.88888888888889,94.07407407407408,99.60629921259843,87.4074074074074,97.88135593220339,10.37037037037037,96.42857142857143,0.0,0.0,2.2222222222222223,97.77777777777777
0.52,100.0,92.96296296296296,85.18518518518519,98.26086956521739,98.51851851851852,96.29629629629629,99.23076923076923,98.88888888888889,93.33333333333333,99.60317460317461,85.18518518518519,98.26086956521739,12.592592592592593,97.05882352941177,0.0,0.0,2.2222222222222223,98.14814814814815
0.53,100.0,92.96296296296296,84.44444444444444,98.6842105263158,98.51851851851852,96.29629629629629,99.23076923076923,98.88888888888889,92.22222222222223,99.59839357429719,84.44444444444444,98.6842105263158,13.333333333333334,97.22222222222223,0.0,0.0,2.2222222222222223,98.51851851851852
0.54,100.0,92.96296296296296,83.33333333333333,99.11111111111111,98.51851851851852,96.29629629629629,99.23076923076923,98.88888888888889,91.85185185185185,99.59677419354838,83.33333333333333,99.11111111111111,13.703703703703704,97.29729729729729,0.0,0.0,2.962962962962963,98.88888888888889
0.55,100.0,92.96296296296296,81.85185185185185,99.5475113122172,98.51851851851852,95.55555555555556,99.2248062015504,98.88888888888889,91.48148148148148,99.59514170040485,81.85185185185185,99.5475113122172,14.444444444444445,97.43589743589743,0.0,0.0,3.7037037037037037,99.25925925925925
0.56,100.0,92.96296296296296,80.37037037037037,99.53917050691244,98.51851851851852,95.55555555555556,99.2248062015504,98.88888888888889,91.11111111111111,99.59349593495935,80.37037037037037,99.53917050691244,15.925925925925926,97.67441860465117,0.0,0.0,3.7037037037037037,99.25925925925925
0.57,100.0,92.96296296296296,78.14814814814815,99.5260663507109,98.51851851851852,94.81481481481481,99.21875,98.88888888888889,90.0,99.58847736625515,78.14814814814815,99.5260663507109,18.14814814814815,97.95918367346938,0.0,0.0,3.7037037037037037,99.25925925925925
0.58,100.0,92.96296296296296,77.4074074074074,99.52153110047847,98.51851851851852,93.33333333333333,99.2063492063492,98.88888888888889,89.62962962962963,99.58677685950413,77.4074074074074,99.52153110047847,17.77777777777778,97.91666666666667,0.7407407407407407,100.0,4.074074074074074,99.25925925925925
0.59,100.0,92.96296296296296,77.4074074074074,99.52153110047847,98.51851851851852,93.33333333333333,99.2063492063492,98.88888888888889,89.62962962962963,99.58677685950413,77.4074074074074,99.52153110047847,17.77777777777778,97.91666666666667,0.7407407407407407,100.0,4.074074074074074,99.25925925925925
0.6,100.0,92.96296296296296,75.92592592592592,99.51219512195122,98.51851851851852,92.5925925925926,99.2,98.88888888888889,88.88888888888889,99.58333333333333,75.92592592592592,99.51219512195122,18.14814814814815,97.95918367346938,1.1111111111111112,100.0,4.814814814814815,99.25925925925925
0.61,100.0,92.96296296296296,74.44444444444444,99.50248756218906,98.51851851851852,92.5925925925926,99.2,98.88888888888889,88.51851851851852,99.581589958159,74.44444444444444,99.50248756218906,19.25925925925926,98.07692307692308,1.4814814814814814,100.0,4.814814814814815,99.25925925925925
0.62,100.0,92.96296296296296,72.5925925925926,99.48979591836735,98.51851851851852,91.85185185185185,99.19354838709677,98.88888888888889,87.4074074074074,99.57627118644068,72.5925925925926,99.48979591836735,20.74074074074074,98.21428571428571,1.4814814814814814,100.0,5.185185185185185,99.25925925925925
0.63,100.0,92.96296296296296,71.48148148148148,99.48186528497409,98.51851851851852,91.85185185185185,99.19354838709677,98.88888888888889,87.4074074074074,99.57627118644068,71.48148148148148,99.48186528497409,21.48148148148148,98.27586206896552,1.8518518518518519,100.0,5.185185185185185,99.25925925925925
0.64,100.0,92.96296296296296,69.62962962962963,100.0,98.51851851851852,91.48148148148148,99.19028340080972,98.88888888888889,86.66666666666667,99.57264957264957,69.62962962962963,100.0,22.962962962962962,96.7741935483871,1.8518518518518519,100.0,5.555555555555555,99.25925925925925
0.65,100.0,92.96296296296296,69.25925925925925,100.0,98.51851851851852,91.11111111111111,99.1869918699187,98.88888888888889,85.92592592592592,99.56896551724138,69.25925925925925,100.0,23.333333333333332,96.82539682539682,1.8518518518518519,100.0,5.555555555555555,99.25925925925925
0.66,100.0,92.96296296296296,67.77777777777777,100.0,98.51851851851852,89.62962962962963,99.17355371900827,98.88888888888889,85.18518518518519,99.56521739130434,67.77777777777777,100.0,22.962962962962962,96.7741935483871,1.8518518518518519,100.0,7.407407407407407,99.25925925925925
0.67,100.0,92.96296296296296,65.55555555555556,100.0,98.51851851851852,88.51851851851852,99.16317991631799,98.88888888888889,84.44444444444444,99.56140350877193,65.55555555555556,100.0,24.074074074074073,96.92307692307692,2.5925925925925926,100.0,7.777777777777778,99.25925925925925
0.68,100.0,92.96296296296296,65.55555555555556,100.0,98.51851851851852,88.14814814814815,99.15966386554622,98.88888888888889,81.85185185185185,99.5475113122172,65.55555555555556,100.0,24.074074074074073,96.92307692307692,2.2222222222222223,100.0,8.148148148148149,99.25925925925925
0.69,100.0,92.96296296296296,63.333333333333336,100.0,98.51851851851852,88.14814814814815,99.15966386554622,98.88888888888889,80.74074074074075,99.54128440366972,63.333333333333336,100.0,25.925925925925927,97.14285714285714,2.2222222222222223,100.0,8.518518518518519,99.25925925925925
0.7,100.0,92.96296296296296,61.851851851851855,100.0,98.51851851851852,87.77777777777777,99.57805907172995,98.88888888888889,80.37037037037037,99.53917050691244,61.851851851851855,100.0,26.666666666666668,98.61111111111111,2.5925925925925926,85.71428571428571,8.88888888888889,99.25925925925925
0.71,100.0,92.96296296296296,61.111111111111114,100.0,98.51851851851852,85.92592592592592,99.56896551724138,98.88888888888889,79.25925925925925,99.53271028037383,61.111111111111114,100.0,25.925925925925927,98.57142857142857,2.962962962962963,87.5,10.0,99.25925925925925
0.72,100.0,92.96296296296296,60.0,100.0,98.51851851851852,83.70370370370371,99.5575221238938,98.88888888888889,77.77777777777777,99.52380952380952,60.0,100.0,25.185185185185187,98.52941176470588,2.962962962962963,87.5,11.851851851851851,99.25925925925925
0.73,100.0,92.96296296296296,57.77777777777778,100.0,98.51851851851852,82.96296296296296,100.0,98.88888888888889,76.29629629629629,99.51456310679612,57.77777777777778,100.0,26.666666666666668,100.0,2.2222222222222223,83.33333333333333,13.333333333333334,99.62962962962963
0.74,100.0,92.96296296296296,57.77777777777778,100.0,98.51851851851852,82.22222222222223,100.0,98.88888888888889,73.33333333333333,99.4949494949495,57.77777777777778,100.0,25.925925925925927,100.0,2.5925925925925926,85.71428571428571,13.703703703703704,99.62962962962963
0.75,100.0,92.96296296296296,56.666666666666664,100.0,98.51851851851852,81.11111111111111,100.0,98.88888888888889,72.5925925925926,99.48979591836735,56.666666666666664,100.0,25.925925925925927,100.0,2.5925925925925926,85.71428571428571,14.814814814814815,99.62962962962963
0.76,100.0,92.96296296296296,55.18518518518518,100.0,98.51851851851852,79.25925925925925,100.0,98.88888888888889,71.11111111111111,99.47916666666667,55.18518518518518,100.0,25.555555555555557,100.0,3.3333333333333335,88.88888888888889,15.925925925925926,99.62962962962963
0.77,100.0,92.96296296296296,54.074074074074076,100.0,98.51851851851852,78.51851851851852,100.0,98.88888888888889,70.0,100.0,54.074074074074076,100.0,25.925925925925927,100.0,3.3333333333333335,100.0,16.666666666666668,100.0
0.78,100.0,92.96296296296296,52.96296296296296,100.0,98.51851851851852,77.77777777777777,100.0,98.88888888888889,68.14814814814815,100.0,52.96296296296296,100.0,26.296296296296298,100.0,4.074074074074074,100.0,16.666666666666668,100.0
