stage,epoch,train_loss,train_acc,val_loss,val_acc,best_val_acc,batch_size,accumulation
final,1,1.149536617029281,68.65079365079364,0.8624009869716786,75.55555555555556,75.55555555555556,64,1
final,2,0.20425736028996724,96.42857142857143,0.23668609890672895,95.55555555555556,95.55555555555556,64,1
final,3,0.08114289802809556,97.3015873015873,0.12851416987401468,97.03703703703704,97.03703703703704,64,1
final,4,0.06577418192274986,98.0952380952381,0.1064832192880136,97.77777777777777,97.77777777777777,64,1
final,5,0.043605291275751024,98.4920634920635,0.08131828683393973,99.25925925925925,99.25925925925925,64,1
final,6,0.061616226770575086,97.85714285714286,0.07057634633448388,99.25925925925925,99.25925925925925,64,1
final,7,0.04476900396365968,98.33333333333333,0.06273272313453533,99.62962962962963,99.62962962962963,64,1
final,8,0.0631763296231391,97.6984126984127,0.04879616446517132,99.62962962962963,99.62962962962963,64,1
final,9,0.041553421271225764,98.41269841269842,0.05308056232277994,99.62962962962963,99.62962962962963,64,1
final,10,0.03916642352909086,98.73015873015873,0.03678077950521752,100.0,100.0,64,1
final,11,0.031732167232604254,98.80952380952381,0.041734352818241824,99.62962962962963,100.0,64,1
final,12,0.0324602288874014,99.12698412698413,0.03159387640103146,99.62962962962963,100.0,64,1
final,13,0.03735860356735805,98.73015873015873,0.03856099271387966,99.62962962962963,100.0,64,1
final,14,0.02703159877232143,99.12698412698413,0.038294038962986734,99.62962962962963,100.0,64,1
final,15,0.03265831024637298,98.96825396825396,0.03131963056684644,99.62962962962963,100.0,64,1
