segment_id,raw_latency_mean_s,raw_latency_median_s,raw_latency_p95_s,calibrated_latency_s,input_bytes,output_bytes
0,0.0004137735813856125,0.00042088981717824936,0.0004350367002189159,0.0004137735813856125,602626,803330
1,0.0009880755096673965,0.0010024793446063995,0.0010504726320505141,0.0009880755096673965,803330,3211779
2,0.000792698934674263,0.0008041840046644211,0.000860714167356491,0.000792698934674263,3211779,3211779
3,0.0007955718164642651,0.0007949173450469971,0.0008669579401612282,0.0007955718164642651,3211779,3211779
4,0.0010149757688244184,0.0010376004502177238,0.001090266928076744,0.0010149757688244184,3211779,1606147
5,0.0007882191489140193,0.0008049095049500465,0.000841522216796875,0.0007882191489140193,1606147,1606147
6,0.0007791833331187566,0.0007896870374679565,0.0008320013061165809,0.0007791833331187566,1606147,1606147
7,0.0007734964912136396,0.0007890453562140465,0.0008524011820554733,0.0007734964912136396,1606147,1606147
8,0.0010035652667284012,0.0010600248351693153,0.0010980330407619476,0.0010035652667284012,1606147,803330
9,0.0008313315610090892,0.0008423188701272011,0.0008688053116202354,0.0008313315610090892,803330,803330
10,0.0008099182819326718,0.0008370894938707352,0.0008430460467934609,0.0008099182819326718,803330,803330
11,0.000806881549457709,0.0008346987888216972,0.0008508273400366307,0.000806881549457709,803330,803330
12,0.0008038261905312539,0.0008327774703502655,0.0008461387827992439,0.0008038261905312539,803330,803330
13,0.0008050393934051196,0.0008318573236465454,0.0008508563973009586,0.0008050393934051196,803330,803330
14,0.0010941420992215474,0.0010999469086527824,0.0011144249700009822,0.0010941420992215474,803330,401922
15,0.0008661874259511629,0.0008392101153731346,0.0008854580111801624,0.0008661874259511629,401922,401922
16,0.0007938533400495847,0.0007984079420566559,0.0008502589538693428,0.0007938533400495847,401922,401922
17,0.0001492121567328771,0.00015396066009998322,0.0001685126684606075,0.0001492121567328771,401922,8683
18,0.00015073188891013463,0.00015352480113506317,0.00017299018800258635,0.00015073188891013463,8683,514
