stage,epoch,train_loss,train_acc,val_loss,val_acc,best_val_acc
final,1,3.9666326622454586,9.002666254492059,3.57232430267334,14.68,14.68
final,2,3.214927668563918,21.894972757834537,3.100600066757202,27.14,27.14
final,3,2.756823254320711,31.551450983422853,2.5550237390518187,37.8,37.8
final,4,2.3727434574339314,40.14915568607751,3.1737239349365236,44.6,44.6
final,5,2.189025195865903,44.427528111596274,3.577454881858826,47.0,47.0
final,6,1.9695756620636466,49.43854090188956,6.827938150405884,52.94,52.94
final,7,1.8358345172381199,52.30418486031145,1.75953555021286,54.7,54.7
final,8,1.7040569205184435,55.28111596274972,1.722778213596344,57.1,57.1
final,9,1.6204351562156325,57.31828896016075,1.5105374986171722,60.16,60.16
final,10,1.44894511088498,61.368677305923725,1.617342636013031,62.72,62.72
final,11,1.388350867426346,62.84168630936281,3.4781708844661714,63.42,63.42
final,12,1.3258639649218305,64.41284439120523,1.5864221584558487,65.44,65.44
final,13,1.2842594662351647,65.31937091850536,2.018973714876175,59.22,65.44
final,14,1.2288345167306038,66.56439584218865,2.1181425514221193,66.94,66.94
final,15,1.160288023734932,68.38981413501294,1.9123056908130647,68.78,68.78
final,16,1.1273806488704192,69.07763051122532,1.326401059794426,67.46,68.78
final,17,1.1029488913274685,69.71521310715252,1.2180333192944526,69.62,69.62
final,18,1.0641883868182422,70.69052127207388,1.29193615026474,69.14,69.62
final,19,1.0289320212251838,71.44325514896248,2.41837103638649,69.98,69.98
final,20,1.0337589032876906,71.17817535453456,1.785241604232788,70.08,70.08
final,21,0.9552780369112197,73.46806290814946,1.117120988023281,72.28,72.28
final,22,0.9321133328854998,73.89157231732293,1.3580437876582145,68.42,72.28
final,23,0.9110146702973486,74.36686116155957,1.199464547252655,70.7,72.28
final,24,0.8959866699643055,74.90552185169443,1.3159387178897857,70.76,72.28
final,25,0.8655019243053078,75.40940530932416,1.1291235239028932,71.74,72.28
final,26,0.8648347361765217,75.44495536921829,1.5255019383311272,70.58,72.28
final,27,0.8294857690072583,76.48518103481588,1.3248553290367127,71.12,72.28
final,28,0.8033960309033785,77.100351636462,1.609976623916626,70.7,72.28
