algorithm,step,current_obj,best_obj,evaluations,elapsed_s
Random,0,-1.9286816580191857,-1.9286816580191857,1,0.00029419991187751293
Random,1,-131.0082796318002,-1.9286816580191857,2,0.0004545999690890312
Random,2,0.3032211880948249,0.3032211880948249,3,0.0006092998664826155
Greedy,0,0.03500549976723821,0.03500549976723821,1,0.0
Greedy,1,0.33508925356449104,0.33508925356449104,23233,3.7697923998348415
BF coordinate search,0,-131.82080338984576,-131.82080338984576,1,0.0
BF coordinate search,1,0.3278086298096104,0.3278086298096104,2,0.0
