b_e,avg_end_edge,avg_edge_cloud,total_utility
5,0.0,7.0,8.292062375051184
10,0.0,7.1,8.309474357224952
15,0.0,6.0,8.32898911855664
20,0.0,5.0,8.257783493194506
25,0.0,3.0,8.360985083214675
30,0.0,4.0,8.315970403265165
35,0.0,4.0,8.311496086559266
