epoch,inner_best_obj,outer_obj,inner_mean_obj,latency,acc,entropy_X,entropy_Y,steps_collected,num_episodes
0,6.221798758251214,6.24949165343332,5.494290074226037,0.44768483328564784,8.48791581986156,9.003068833033243,-0.11413962268829346,1500,150
1,6.158420212118218,6.180301391688889,5.484950179491727,0.5296755185374793,8.828678984376285,9.003036357243856,-0.11505322968959808,1500,150
2,6.374190393723281,6.396893395053346,5.515147893629331,0.3905700952220185,8.349743871163438,9.002952652613322,-0.1184758947690328,1500,150
3,6.1858689944075325,6.205332820200393,5.496549145956458,0.46164670986425277,8.513566369521657,9.002825477600098,-0.12568689759572346,1500,150
4,6.2244789888262435,6.259197582421082,5.526622061906969,0.519311395992676,8.855754562384462,9.00261765352885,-0.13934739021460216,1500,150
5,6.249454844547046,6.272353592944271,5.454204552534308,0.4775435254025597,8.66007121995707,9.002299449920654,-0.1622568375269572,1500,150
6,6.185765102684186,6.2065288845234,5.597491692482376,0.4233258713264904,8.323158241155852,9.001833769480386,-0.1995253936847051,1500,150
7,6.367944450039554,6.401042627905966,5.667012011177426,0.4534103113988235,8.668094184900083,9.001155274709065,-0.25478023433685304,1500,150
8,6.408065225358078,6.426874205648616,5.71954205312895,0.5199895688335565,9.0268220498164,9.000197845458985,-0.33415705370903015,1500,150
9,6.4051993167542705,6.428067217935047,5.778091050144967,0.4810579528086427,8.83335698197826,8.998909298578898,-0.4424346568584442,1500,150
10,6.740852305795674,6.784658262550799,5.852921408015274,0.42490497362970875,8.909183130699343,8.99723532485962,-0.5785845281680425,1500,150
11,6.600426310474601,6.646955286582814,5.985217999771701,0.5021332473439879,9.157621523302753,8.995226900100707,-0.7406752429008484,1500,150
12,6.962712960174255,6.981086660411165,5.982963703838306,0.42100061703684666,9.086089745595398,8.99292295328776,-0.9342329479455947,1500,150
13,6.9236235547834335,6.94704023197423,6.060964831438662,0.4187908499287529,9.040994481617995,8.990295229593913,-1.1410519486268362,1500,150
14,6.868648313060897,6.895107293119784,6.071564496031677,0.3794316339000047,8.792265462619808,8.987003337224325,-1.3852727018992106,1500,150
15,6.803766938422814,6.814688958587937,6.1229046622261425,0.4726150138939529,9.177764028057702,8.983336756388347,-1.6037008118629457,1500,150
16,7.2851600208487906,7.302756852683075,6.209566865467389,0.4272057045636952,9.438785375501551,8.979450523376466,-1.7863118426005045,1500,150
17,7.064391272509864,7.080709150053757,6.241072928778592,0.4825867033404378,9.493642666755946,8.974978972752888,-2.009820374886195,1500,150
18,7.2042154803051535,7.248887478850991,6.319581340611838,0.45189367522227714,9.508355854962376,8.970018039067586,-2.2191792146364846,1500,150
19,7.094893472343953,7.111545380446539,6.333775875238254,0.41340708106711205,9.1785807857821,8.964811548233032,-2.412573020617167,1500,150
20,7.62356708325196,7.629117939588101,6.412826133753252,0.3754678650268627,9.506457264722414,8.958809921264649,-2.625969684123993,1500,150
21,7.432119579308273,7.443725055898026,6.452680694605828,0.401144749523922,9.449448803517637,8.952213744481405,-2.804780611673991,1500,150
22,7.227286437971609,7.252351891365475,6.441265195251149,0.4692017201848031,9.59836049228949,8.945695092519124,-2.9512684942881267,1500,150
