segment_id,raw_latency_mean_s,raw_latency_median_s,raw_latency_p95_s,calibrated_latency_s,input_bytes,output_bytes
0,0.0001691115670837462,0.00016547049744985998,0.0001865237165475264,0.0001691115670837462,602625,803329
1,0.0003798024981127431,0.00037789499037899077,0.00039489890623372047,0.0003798024981127431,803329,3211778
2,0.0002813947367637108,0.0002808110148180276,0.00029768799431622027,0.0002813947367637108,3211778,3211778
3,0.0002734449963706235,0.00027377650258131325,0.00028431566606741394,0.0002734449963706235,3211778,3211778
4,0.0003588796030574789,0.00035733249387703836,0.00039356621855404225,0.0003588796030574789,3211778,1606146
5,0.0002852158310512702,0.0002861565153580159,0.00030474955565296113,0.0002852158310512702,1606146,1606146
6,0.0002782866669197877,0.00027861303533427417,0.0002926572458818555,0.0002782866669197877,1606146,1606146
7,0.0002751314973769089,0.000277082493994385,0.00028967563703190534,0.0002751314973769089,1606146,1606146
8,0.00035950894040676453,0.00036090650246478617,0.0003776892524911091,0.00035950894040676453,1606146,803329
9,0.00028753476411414646,0.0002889010065700859,0.00030237801256589587,0.00028753476411414646,803329,803329
10,0.000279444232971097,0.0002827669959515333,0.00028754632803611456,0.000279444232971097,803329,803329
11,0.00027706883459662396,0.0002791370206978172,0.00029064956179354336,0.00027706883459662396,803329,803329
12,0.00027568029472604396,0.0002783364907372743,0.00028649666637647897,0.00027568029472604396,803329,803329
13,0.0002769904735032469,0.00027709497953765094,0.0002892726537538692,0.0002769904735032469,803329,803329
14,0.00036737860452073313,0.0003696430067066103,0.00038610320771113036,0.00036737860452073313,803329,401921
15,0.0002902120390596489,0.000292534998152405,0.00030124604527372864,0.0002902120390596489,401921,401921
16,0.00028502389905042945,0.0002862175169866532,0.00030396158981602637,0.00028502389905042945,401921,401921
17,5.641332633482913e-05,5.596998380497098e-05,6.189392297528683e-05,5.641332633482913e-05,401921,8682
18,5.694579061431189e-05,5.732299177907407e-05,5.942372663412243e-05,5.694579061431189e-05,8682,529
