bandwidth_d2e_mbps,strategy,latency_ms,accuracy_pct,b1,b2,tau,feasible
102.0,EE-only,122.87743566698015,86.15,19,19,0.76,True
102.0,Decoupled,130.1027984649663,86.15,0,19,0.76,True
102.0,Joint,122.87743566698015,86.15,19,19,0.76,True
104.0,Local-full,166.238551835218,86.51,19,19,no_exit,True
104.0,Cloud-full,283.36603696884634,86.51,0,0,no_exit,True
104.0,Split-only,158.05320333675706,86.51,0,19,no_exit,True
104.0,EE-only,122.87743566698015,86.15,19,19,0.76,True
104.0,Decoupled,129.1693670924173,86.15,0,19,0.76,True
104.0,Joint,122.87743566698015,86.15,19,19,0.76,True
106.0,Local-full,166.238551835218,86.51,19,19,no_exit,True
106.0,Cloud-full,282.46782942167647,86.51,0,0,no_exit,True
106.0,Split-only,157.15499578958725,86.51,0,19,no_exit,True
106.0,EE-only,122.87743566698015,86.15,19,19,0.76,True
106.0,Decoupled,128.27115954524749,86.15,0,19,0.76,True
106.0,Joint,122.87743566698015,86.15,19,19,0.76,True
108.0,Local-full,166.238551835218,86.51,19,19,no_exit,True
108.0,Cloud-full,281.6028888206982,86.51,0,0,no_exit,True
108.0,Split-only,156.2900551886089,86.51,0,19,no_exit,True
108.0,EE-only,122.87743566698015,86.15,19,19,0.76,True
108.0,Decoupled,127.40621894426916,86.15,0,19,0.76,True
108.0,Joint,122.87743566698015,86.15,19,19,0.76,True
110.0,Local-full,166.238551835218,86.51,19,19,no_exit,True
110.0,Cloud-full,280.76940060520997,86.51,0,0,no_exit,True
110.0,Split-only,155.45656697312072,86.51,0,19,no_exit,True
110.0,EE-only,122.87743566698015,86.15,19,19,0.76,True
110.0,Decoupled,126.57273072878095,86.15,0,19,0.76,True
110.0,Joint,122.87743566698015,86.15,19,19,0.76,True
112.0,Local-full,166.238551835218,86.51,19,19,no_exit,True
112.0,Cloud-full,279.9656798259892,86.51,0,0,no_exit,True
112.0,Split-only,154.65284619389993,86.51,0,19,no_exit,True
112.0,EE-only,122.87743566698015,86.15,19,19,0.76,True
112.0,Decoupled,125.76900994956014,86.15,0,19,0.76,True
112.0,Joint,122.87743566698015,86.15,19,19,0.76,True
114.0,Local-full,166.238551835218,86.51,19,19,no_exit,True
114.0,Cloud-full,279.1901597758639,86.51,0,0,no_exit,True
114.0,Split-only,153.8773261437746,86.51,0,19,no_exit,True
114.0,EE-only,122.87743566698015,86.15,19,19,0.76,True
114.0,Decoupled,124.99348989943485,86.15,0,19,0.76,True
114.0,Joint,122.87743566698015,86.15,19,19,0.76,True
116.0,Local-full,166.238551835218,86.51,19,19,no_exit,True
