experiment_id,run_id,seed,state_id,training_mode,epoch,wall_clock_s,outer_objective,paper_utility_sum,expected_accuracy_sum,expected_accuracy_mean,expected_latency_sum_s,expected_latency_mean_s,split_entropy_HX,exit_entropy_HY,relative_objective_change,objective_cv,best_epoch,is_current_best,converged,stopping_reason,utility_consistent,source_path
controlled-5seed-resnet50-cifar10-20260726,controlled-5seed-resnet50-cifar10-20260726:seed-0:S0,0,S0,cold,10,32.88789660006296,2.5749200584429506,2.5749200584429506,3.8190125969290336,0.9547531492322584,1.244092538486083,0.31102313462152076,5.17125411605835,-0.4665585236549377,,,10,True,False,,True,D:\Coding\Python\DSCI_SEAS\Scripts\Exp4_System-Overhead\result_data\seed_0_20260726-184020\convergence\20260726-184020-830_controlled-5seed-resnet50-cifar10-20260726_seed-0_S0_cold.jsonl
controlled-5seed-resnet50-cifar10-20260726,controlled-5seed-resnet50-cifar10-20260726:seed-0:S0,0,S0,cold,11,35.82427400001325,2.3818582416223277,2.3818582416223277,3.5324861458394885,0.8831215364598721,1.1506279042171608,0.2876569760542902,5.13877914428711,-0.5011294848918915,,,10,False,False,,True,D:\Coding\Python\DSCI_SEAS\Scripts\Exp4_System-Overhead\result_data\seed_0_20260726-184020\convergence\20260726-184020-830_controlled-5seed-resnet50-cifar10-20260726_seed-0_S0_cold.jsonl
controlled-5seed-resnet50-cifar10-20260726,controlled-5seed-resnet50-cifar10-20260726:seed-0:S0,0,S0,cold,12,39.879363700049,2.536113130765304,2.536113130765304,3.432427816949394,0.8581069542373485,0.8963146861840898,0.22407867154602246,5.095251193682353,-0.5232655206918716,,,10,False,False,,True,D:\Coding\Python\DSCI_SEAS\Scripts\Exp4_System-Overhead\result_data\seed_0_20260726-184020\convergence\20260726-184020-830_controlled-5seed-resnet50-cifar10-20260726_seed-0_S0_cold.jsonl
controlled-5seed-resnet50-cifar10-20260726,controlled-5seed-resnet50-cifar10-20260726:seed-0:S0,0,S0,cold,13,44.47687880008016,2.308019031695303,2.308019031695303,3.4957441787750274,0.8739360446937569,1.1877251470797243,0.2969312867699311,5.0415278902053835,-0.5678308718999227,,,10,False,False,,True,D:\Coding\Python\DSCI_SEAS\Scripts\Exp4_System-Overhead\result_data\seed_0_20260726-184020\convergence\20260726-184020-830_controlled-5seed-resnet50-cifar10-20260726_seed-0_S0_cold.jsonl
controlled-5seed-resnet50-cifar10-20260726,controlled-5seed-resnet50-cifar10-20260726:seed-0:S0,0,S0,cold,14,47.442884400021285,2.337217410019843,2.337217410019843,3.067182000830285,0.7667955002075713,0.7299645908104424,0.1824911477026106,4.980084620793661,-0.5694001114368439,,,10,False,False,,True,D:\Coding\Python\DSCI_SEAS\Scripts\Exp4_System-Overhead\result_data\seed_0_20260726-184020\convergence\20260726-184020-830_controlled-5seed-resnet50-cifar10-20260726_seed-0_S0_cold.jsonl
controlled-5seed-resnet50-cifar10-20260726,controlled-5seed-resnet50-cifar10-20260726:seed-0:S0,0,S0,cold,15,50.527833400061354,2.513703851027632,2.513703851027632,3.6235047001921723,0.9058761750480431,1.1098008491645404,0.2774502122911351,4.914254180908203,-0.6030814361174901,,,10,False,False,,True,D:\Coding\Python\DSCI_SEAS\Scripts\Exp4_System-Overhead\result_data\seed_0_20260726-184020\convergence\20260726-184020-830_controlled-5seed-resnet50-cifar10-20260726_seed-0_S0_cold.jsonl
controlled-5seed-resnet50-cifar10-20260726,controlled-5seed-resnet50-cifar10-20260726:seed-0:S0,0,S0,cold,16,53.546827600104734,2.5883550277577463,2.5883550277577463,3.65276649932,0.91319162483,1.0644114715622537,0.2661028678905634,4.835430909156799,-0.6388340004285177,,,16,True,False,,True,D:\Coding\Python\DSCI_SEAS\Scripts\Exp4_System-Overhead\result_data\seed_0_20260726-184020\convergence\20260726-184020-830_controlled-5seed-resnet50-cifar10-20260726_seed-0_S0_cold.jsonl
controlled-5seed-resnet50-cifar10-20260726,controlled-5seed-resnet50-cifar10-20260726:seed-0:S0,0,S0,cold,17,56.72424240002874,2.7725210654821644,2.7725210654821644,3.780208686108624,0.945052171527156,1.0076876206264598,0.25192190515661494,4.7497196855545045,-0.6443958441416423,,,17,True,False,,True,D:\Coding\Python\DSCI_SEAS\Scripts\Exp4_System-Overhead\result_data\seed_0_20260726-184020\convergence\20260726-184020-830_controlled-5seed-resnet50-cifar10-20260726_seed-0_S0_cold.jsonl
controlled-5seed-resnet50-cifar10-20260726,controlled-5seed-resnet50-cifar10-20260726:seed-0:S0,0,S0,cold,18,59.91011030005757,2.9845448407066155,2.9845448407066155,3.839731327530579,0.9599328318826448,0.8551864868239636,0.2137966217059909,4.658264713287354,-0.7038409972588221,,,18,True,False,,True,D:\Coding\Python\DSCI_SEAS\Scripts\Exp4_System-Overhead\result_data\seed_0_20260726-184020\convergence\20260726-184020-830_controlled-5seed-resnet50-cifar10-20260726_seed-0_S0_cold.jsonl
controlled-5seed-resnet50-cifar10-20260726,controlled-5seed-resnet50-cifar10-20260726:seed-0:S0,0,S0,cold,19,63.05679520010017,2.7066299208974534,2.7066299208974534,3.6807825485293053,0.9201956371323263,0.974152627631852,0.243538156907963,4.556838777224223,-0.754126021583875,,,18,False,False,,True,D:\Coding\Python\DSCI_SEAS\Scripts\Exp4_System-Overhead\result_data\seed_0_20260726-184020\convergence\20260726-184020-830_controlled-5seed-resnet50-cifar10-20260726_seed-0_S0_cold.jsonl
