threshold,final_accuracy,after_layer2_rate,after_layer2_accuracy,after_layer3_rate,after_layer3_accuracy,after_layer2_sequential_rate,after_layer2_sequential_accuracy,after_layer3_sequential_rate,after_layer3_sequential_accuracy,final_rate,overall_accuracy
0.56,86.51,52.08,80.9331797235023,91.51,89.26893235711944,52.08,80.9331797235023,41.64,85.01440922190201,6.28,81.24
0.57,86.51,50.81,81.46034245227318,91.09,89.4939071248216,50.81,81.46034245227318,42.55,85.4054054054054,6.64,81.66
0.58,86.51,49.28,82.20373376623377,90.48,89.77674624226348,49.28,82.20373376623377,43.47,85.89832068092937,7.25,82.09
0.59,86.51,47.86,82.86669452569996,89.89,90.06563577706085,47.86,82.86669452569996,44.34,86.2426702751466,7.8,82.5
0.6,86.51,46.46,83.51269909599655,89.29,90.30126553925412,46.46,83.51269909599655,45.07,86.5986243621034,8.47,82.85
0.61,86.51,45.06,83.93253439857968,88.83,90.4987053923224,45.06,83.93253439857968,45.92,86.89024390243902,9.02,83.08
0.62,86.51,43.54,84.4281120808452,88.24,90.78649138712602,43.54,84.4281120808452,46.89,87.3320537428023,9.57,83.41
0.63,86.51,42.2,84.83412322274881,87.73,90.93810555112276,42.2,84.83412322274881,47.74,87.57855048177629,10.06,83.62
0.64,86.51,40.84,85.40646425073457,87.07,91.17951073848627,40.84,85.40646425073457,48.39,87.93139078321967,10.77,83.92
0.65,86.51,39.57,85.97422289613344,86.39,91.41104294478528,39.57,85.97422289613344,48.89,88.30026590304766,11.54,84.18
0.66,86.51,38.18,86.27553693033002,85.78,91.57146187922592,38.18,86.27553693033002,49.63,88.59560749546645,12.19,84.29
0.67,86.51,37.12,86.69181034482759,85.28,91.78001876172608,37.12,86.69181034482759,50.22,89.00836320191159,12.66,84.51
0.68,86.51,35.78,87.14365567356064,84.73,92.04532042959991,35.78,87.14365567356064,50.98,89.44684189878383,13.24,84.73
0.69,86.51,34.48,87.67401392111368,84.21,92.16245101531885,34.48,87.67401392111368,51.68,89.64783281733746,13.84,84.95
0.7,86.51,33.15,88.11463046757164,83.6,92.38038277511961,33.15,88.11463046757164,52.31,89.98279487669662,14.54,85.16
0.71,86.51,31.9,88.58934169278997,83.09,92.5382115778072,31.9,88.58934169278997,53.02,90.24896265560166,15.08,85.35
0.72,86.51,30.66,88.81278538812785,82.52,92.7532719340766,30.66,88.81278538812785,53.64,90.64131245339298,15.7,85.46
0.73,86.51,29.33,89.29423798158882,81.87,92.91559789910835,29.33,89.29423798158882,54.27,90.93421779988944,16.4,85.69
0.74,86.51,28.02,89.8286937901499,81.23,93.06906315400714,28.02,89.8286937901499,54.83,91.20919204814882,17.15,85.78
0.75,86.51,26.51,90.2678234628442,80.58,93.36063539339787,26.51,90.2678234628442,55.6,91.69064748201438,17.89,86.0
