algorithm,curve_role,final_utility,best_utility,final_step,final_episode,evaluations,elapsed_s
DSCI,learning_curve,2.5435084054371324,2.5435084054371324,1601,1600.0,1600.0,65.65389770001639
Random,baseline,0.7795803678406799,0.7795803678406799,1599,,1600.0,0.8161266999668442
GA,baseline,2.4043395893121993,2.4043395893121993,88,,1604.0,0.8260250000166707
