algorithm,step,episode,best_obj,current_obj,utility,batch_mean_obj,batch_std_obj,batch_size,evaluations,elapsed_s,curve_type,stage
DSCI,10,10,-1.445876899656172,-1.445876899656172,-1.445876899656172,-4.950045486585146,2.1164422858941467,10,10,0.09798859996953979,dsci_train,training
DSCI,20,20,-1.445876899656172,-3.0521674490331523,-1.445876899656172,-5.072419885520366,1.358042077096498,10,20,0.23094629996921867,dsci_train,training
DSCI,30,30,-1.445876899656172,-3.101105623286421,-1.445876899656172,-6.475866735078919,1.703236831767514,10,30,0.32756899995729327,dsci_train,training
DSCI,40,40,-1.445876899656172,-3.1376787411008604,-1.445876899656172,-6.195302089517284,1.6941812789624833,10,40,0.43177490000380203,dsci_train,training
DSCI,50,50,-1.445876899656172,-2.514313851875192,-1.445876899656172,-7.568838539371541,3.3085259283894985,10,50,0.5491042999783531,dsci_train,training
DSCI,60,60,-0.4971202099076195,-0.4971202099076195,-0.4971202099076195,-5.729903283551915,2.3297703658452864,10,60,0.6581269999733195,dsci_train,training
DSCI,70,70,-0.4971202099076195,-3.764675819659579,-0.4971202099076195,-6.58751953445182,2.184329391934861,10,70,0.7588805999839678,dsci_train,training
DSCI,80,80,-0.4971202099076195,-3.760707564913531,-0.4971202099076195,-7.215843198984636,2.375082338404094,10,80,0.8913503999938257,dsci_train,training
DSCI,90,90,-0.4971202099076195,-3.8716920481920303,-0.4971202099076195,-6.9852533050570615,1.962894039933957,10,90,1.0362266000011005,dsci_train,training
DSCI,100,100,-0.4971202099076195,-3.517751006763417,-0.4971202099076195,-5.39050766200434,1.143000436406187,10,100,1.200783499982208,dsci_train,training
DSCI,110,110,-0.4971202099076195,-1.515150654862666,-0.4971202099076195,-6.255686738265416,2.3352212639781023,10,110,1.388218899955973,dsci_train,training
DSCI,120,120,-0.4971202099076195,-3.331124851402749,-0.4971202099076195,-5.740965176232935,1.8975519431607282,10,120,1.5673970999778248,dsci_train,training
DSCI,130,130,-0.4971202099076195,-1.867225274095968,-0.4971202099076195,-5.063637739322587,2.1703903374249855,10,130,1.7079995999811217,dsci_train,training
DSCI,140,140,-0.4971202099076195,-2.3173288621406165,-0.4971202099076195,-5.624351671425261,2.090434147132575,10,140,1.8582877999870107,dsci_train,training
DSCI,150,150,-0.4971202099076195,-4.797137755154851,-0.4971202099076195,-7.329102558363076,1.4537312444892232,10,150,1.9807226999546401,dsci_train,training
DSCI,160,160,-0.4971202099076195,-2.1422433682386606,-0.4971202099076195,-6.33710640699128,2.3500481263729305,10,160,2.150154199975077,dsci_train,training
DSCI,170,170,-0.4971202099076195,-2.533527504528256,-0.4971202099076195,-6.453690676606897,1.8044919726728978,10,170,2.3291211999603547,dsci_train,training
DSCI,180,180,-0.4971202099076195,-2.3101670691200376,-0.4971202099076195,-4.908362788114021,2.1237096560601225,10,180,2.5036937999539077,dsci_train,training
DSCI,190,190,-0.4971202099076195,-2.2752670863869238,-0.4971202099076195,-6.707485668563825,2.806643988383315,10,190,2.6156266999896616,dsci_train,training
DSCI,200,200,-0.4971202099076195,-1.1487538796064154,-0.4971202099076195,-5.426936270691172,2.23971646624639,10,200,2.7079877999494784,dsci_train,training
DSCI,210,210,-0.41536184693881495,-0.41536184693881495,-0.41536184693881495,-4.88698166309003,2.8331310686170097,10,210,2.867831799958367,dsci_train,training
DSCI,220,220,-0.41536184693881495,-3.305241118664752,-0.41536184693881495,-5.480330622605531,1.2391753207733252,10,220,3.040944699954707,dsci_train,training
DSCI,230,230,-0.41536184693881495,-5.005248458058906,-0.41536184693881495,-7.316314708159244,2.16627833992686,10,230,3.1797824999666773,dsci_train,training
DSCI,240,240,-0.41536184693881495,-0.7754262179233797,-0.41536184693881495,-4.555509945246181,1.7676651408542154,10,240,3.3069855999783613,dsci_train,training
DSCI,250,250,-0.41536184693881495,-1.3746629433276216,-0.41536184693881495,-6.284884682533187,2.442813247447304,10,250,3.4645278999814764,dsci_train,training
DSCI,260,260,-0.41536184693881495,-1.5808129180097277,-0.41536184693881495,-6.213990343416412,2.3747935506005358,10,260,3.6414717999869026,dsci_train,training
DSCI,270,270,-0.41536184693881495,-2.1724161968721507,-0.41536184693881495,-5.686152867727071,1.725682441822247,10,270,3.7679723000037484,dsci_train,training
DSCI,280,280,-0.41536184693881495,-0.6230966081472078,-0.41536184693881495,-4.552948200691209,2.1896309017971776,10,280,3.9140041999635287,dsci_train,training
DSCI,290,290,-0.41536184693881495,-2.0190109867361654,-0.41536184693881495,-6.0143078085915604,1.9470271323437915,10,290,4.036933199968189,dsci_train,training
DSCI,300,300,-0.41536184693881495,-4.331761236912588,-0.41536184693881495,-6.304096884606207,1.4676966611529594,10,300,4.151760699984152,dsci_train,training
DSCI,310,310,-0.41536184693881495,-4.588226049575368,-0.41536184693881495,-7.410730895511833,1.6906950123192368,10,310,4.269335699966177,dsci_train,training
DSCI,320,320,-0.41536184693881495,-1.971926579352349,-0.41536184693881495,-4.923404622659252,1.7225438441800447,10,320,4.380118899978697,dsci_train,training
DSCI,330,330,-0.41536184693881495,-2.5359474908208726,-0.41536184693881495,-5.060859149845664,1.8674535626473803,10,330,4.48946299997624,dsci_train,training
DSCI,340,340,-0.41536184693881495,-1.607461314838719,-0.41536184693881495,-5.771583411269058,2.33194032517414,10,340,4.587627600005362,dsci_train,training
DSCI,350,350,-0.41536184693881495,-2.55485047051342,-0.41536184693881495,-5.319618064803439,2.2706836555372223,10,350,4.685218899976462,dsci_train,training
DSCI,360,360,-0.41536184693881495,-4.150057205754116,-0.41536184693881495,-6.87063259871842,2.095732011076427,10,360,4.778719299996737,dsci_train,training
DSCI,370,370,-0.41536184693881495,-3.060611079443628,-0.41536184693881495,-5.671640955561759,1.5582584987604378,10,370,4.875838299980387,dsci_train,training
DSCI,380,380,-0.41536184693881495,-1.3338568597119198,-0.41536184693881495,-4.922649639745454,2.36352377513829,10,380,4.9741017000051215,dsci_train,training
DSCI,390,390,0.6446967182001471,0.6446967182001471,0.6446967182001471,-4.061785426443202,2.340995907728905,10,390,5.071481999999378,dsci_train,training
DSCI,400,400,0.6446967182001471,-3.38462285170047,0.6446967182001471,-5.35778159639087,1.2589404207435169,10,400,5.196233599970583,dsci_train,training
DSCI,410,410,0.6446967182001471,0.6270447741828893,0.6446967182001471,-3.5862821391127637,2.7217087028834417,10,410,5.3366204999620095,dsci_train,training
DSCI,420,420,0.6446967182001471,-1.9435537050400828,0.6446967182001471,-4.95678865546453,2.040712773833679,10,420,5.45126609998988,dsci_train,training
DSCI,430,430,0.6446967182001471,-3.0953809715738156,0.6446967182001471,-6.098849218294416,2.214369307566495,10,430,5.563847099954728,dsci_train,training
DSCI,440,440,0.6446967182001471,-3.373933088869366,0.6446967182001471,-6.0288864810542275,1.9274923920017084,10,440,5.664641599985771,dsci_train,training
DSCI,450,450,0.6446967182001471,-2.263023710347764,0.6446967182001471,-5.403845153703061,2.3452223900127236,10,450,5.763217600004282,dsci_train,training
DSCI,460,460,0.6446967182001471,-0.7230958833682335,0.6446967182001471,-4.000102484544826,2.5061878441349994,10,460,5.864942999964114,dsci_train,training
DSCI,470,470,0.6446967182001471,-0.749030939460954,0.6446967182001471,-5.283191919767967,3.089813347802211,10,470,5.983508199977223,dsci_train,training
DSCI,480,480,0.6446967182001471,-1.135565794954179,0.6446967182001471,-4.152629550100808,2.1895877492689846,10,480,6.122464499960188,dsci_train,training
DSCI,490,490,0.6446967182001471,-1.0381755745116843,0.6446967182001471,-5.193497471978866,2.0410938002981975,10,490,6.234041699965019,dsci_train,training
DSCI,500,500,0.6446967182001471,-1.9358775383129818,0.6446967182001471,-6.25105001811657,1.950785780585826,10,500,6.354338100005407,dsci_train,training
DSCI,510,510,1.0938353370377747,1.0938353370377747,1.0938353370377747,-4.651793489187696,2.434547157873992,10,510,6.45434319996275,dsci_train,training
DSCI,520,520,1.0938353370377747,-0.08686628848286393,1.0938353370377747,-5.177863906289395,3.0813942413125344,10,520,6.562109899998177,dsci_train,training
DSCI,530,530,1.0938353370377747,-2.460847727816215,1.0938353370377747,-4.676428239227095,1.4651954281798785,10,530,6.718288799980655,dsci_train,training
DSCI,540,540,1.0938353370377747,-1.6811245769241143,1.0938353370377747,-3.5469612715809844,1.5202686616008347,10,540,6.88103739998769,dsci_train,training
DSCI,550,550,1.0938353370377747,-1.8516257651626842,1.0938353370377747,-4.779926743113638,2.1530308162361558,10,550,7.0018769999733195,dsci_train,training
DSCI,560,560,1.0938353370377747,-1.1732944094602087,1.0938353370377747,-4.5147078414788675,2.385239789429564,10,560,7.104614599957131,dsci_train,training
DSCI,570,570,1.0938353370377747,-1.4807066493778853,1.0938353370377747,-4.117133364909765,1.855854429447285,10,570,7.206180099979974,dsci_train,training
DSCI,580,580,1.0938353370377747,-3.1490281076176547,1.0938353370377747,-5.721342867681907,1.5896394143064831,10,580,7.317313999985345,dsci_train,training
DSCI,590,590,1.0938353370377747,-0.37964636624837844,1.0938353370377747,-4.127393135365767,2.578813377833337,10,590,7.425770099973306,dsci_train,training
DSCI,600,600,1.0938353370377747,-1.6061230535671145,1.0938353370377747,-4.865933150659051,1.71093716746965,10,600,7.526872599963099,dsci_train,training
DSCI,610,610,1.0938353370377747,-1.8364430310841513,1.0938353370377747,-4.344441988556399,1.357304006985153,10,610,7.665861899964511,dsci_train,training
DSCI,620,620,1.0938353370377747,-1.5645671163298571,1.0938353370377747,-5.317965009630132,2.456523392086748,10,620,7.764454499993008,dsci_train,training
DSCI,630,630,1.0938353370377747,-2.7604229962188596,1.0938353370377747,-5.240163057427337,1.9095276684141318,10,630,7.874846999999136,dsci_train,training
DSCI,640,640,1.0938353370377747,-2.7164090169025483,1.0938353370377747,-5.0936047441599985,2.202949912796207,10,640,7.984275299997535,dsci_train,training
DSCI,650,650,1.0938353370377747,-0.590564245314062,1.0938353370377747,-5.151437734865466,2.260528404605305,10,650,8.077190299984068,dsci_train,training
DSCI,660,660,1.0938353370377747,0.05842282264607368,1.0938353370377747,-3.9803336755814,2.4278579086501,10,660,8.167637799982913,dsci_train,training
DSCI,670,670,1.0938353370377747,-0.6866530574160596,1.0938353370377747,-4.174378764450048,2.57241524551138,10,670,8.263315599993803,dsci_train,training
DSCI,680,680,1.0938353370377747,-1.6861387063709978,1.0938353370377747,-4.740856092233194,1.7247287571300889,10,680,8.355597699992359,dsci_train,training
DSCI,690,690,1.0938353370377747,-1.6763397106276234,1.0938353370377747,-3.89792731683512,1.8230716607179207,10,690,8.457388999988325,dsci_train,training
DSCI,700,700,1.0938353370377747,0.8039935217250962,1.0938353370377747,-4.139583270599654,2.148482589410569,10,700,8.551666699990164,dsci_train,training
DSCI,710,710,1.0938353370377747,0.17040069291141502,1.0938353370377747,-4.277795007640739,2.4127409384432172,10,710,8.65728779998608,dsci_train,training
DSCI,720,720,1.0938353370377747,-2.5158921463836794,1.0938353370377747,-4.466660746497068,1.5428810671697435,10,720,8.77219749998767,dsci_train,training
DSCI,730,730,1.0938353370377747,-0.7359379216655582,1.0938353370377747,-3.393397662966067,1.3325099684322717,10,730,8.890498999971896,dsci_train,training
DSCI,740,740,1.0938353370377747,0.10520623002588958,1.0938353370377747,-4.403425325675938,2.11625975203532,10,740,9.012039499997627,dsci_train,training
DSCI,750,750,1.0938353370377747,-0.451321076430629,1.0938353370377747,-3.9205192357625607,1.9986920859871307,10,750,9.139993599965237,dsci_train,training
DSCI,760,760,1.0938353370377747,-2.317889799922709,1.0938353370377747,-3.601397533873628,0.7963525994673231,10,760,9.250674099952448,dsci_train,training
DSCI,770,770,1.0938353370377747,-2.0725726809049743,1.0938353370377747,-4.276821739464095,1.1611932488076755,10,770,9.371339499950409,dsci_train,training
DSCI,780,780,1.0938353370377747,-1.1280471226232742,1.0938353370377747,-3.589130379537933,1.804888502634661,10,780,9.500281199987512,dsci_train,training
DSCI,790,790,1.0938353370377747,-0.07864347997441912,1.0938353370377747,-4.117421904053958,2.5123674045522675,10,790,9.622208299988415,dsci_train,training
DSCI,800,800,1.0938353370377747,-0.061852043933167566,1.0938353370377747,-3.201712144610491,1.766823214183242,10,800,9.730673799989745,dsci_train,training
DSCI,810,810,1.0938353370377747,-0.37792455076207565,1.0938353370377747,-3.5032967859627213,2.0977022840867,10,810,9.835750399972312,dsci_train,training
DSCI,820,820,1.0938353370377747,-0.055468693502950916,1.0938353370377747,-3.6344293729152484,2.3906665959571374,10,820,9.934136600000784,dsci_train,training
DSCI,830,830,1.0938353370377747,-0.3911652117606794,1.0938353370377747,-3.004093901822692,1.6161388188533803,10,830,10.031090300006326,dsci_train,training
DSCI,840,840,1.0938353370377747,-1.3326882320135542,1.0938353370377747,-3.2120707499532264,1.0195287413389693,10,840,10.12679259997094,dsci_train,training
DSCI,850,850,1.0938353370377747,-1.0045610794292354,1.0938353370377747,-3.730226701522156,1.593594090803681,10,850,10.224298299988732,dsci_train,training
DSCI,860,860,1.0938353370377747,0.8351404512694585,1.0938353370377747,-3.596008346311989,2.395704711521366,10,860,10.326905799971428,dsci_train,training
DSCI,870,870,1.0938353370377747,-0.29800182477252624,1.0938353370377747,-3.9485093131032123,2.096475326614802,10,870,10.433102599985432,dsci_train,training
DSCI,880,880,1.0938353370377747,-0.5370782677478618,1.0938353370377747,-4.1030634782896325,1.9699075724956114,10,880,10.539139000000432,dsci_train,training
DSCI,890,890,1.0938353370377747,-0.9100153242150943,1.0938353370377747,-3.2320131840171014,1.2159388090166106,10,890,10.645141799992416,dsci_train,training
DSCI,900,900,1.0938353370377747,-0.32376012297316326,1.0938353370377747,-3.1948825609742166,2.130062781467869,10,900,10.772591599961743,dsci_train,training
DSCI,910,910,1.0938353370377747,-1.8740252430731488,1.0938353370377747,-4.188052205842646,1.6650045198256165,10,910,10.886410699982662,dsci_train,training
DSCI,920,920,1.0938353370377747,-1.2041315064516374,1.0938353370377747,-3.71616816447711,1.7005648304262475,10,920,10.987394499999937,dsci_train,training
DSCI,930,930,1.0938353370377747,-0.06607042838599786,1.0938353370377747,-2.634923706400442,1.3779796946121972,10,930,11.091479900002014,dsci_train,training
DSCI,940,940,1.0938353370377747,-0.30209625781546423,1.0938353370377747,-3.388230696381548,2.0361930289561085,10,940,11.187892799964175,dsci_train,training
DSCI,950,950,1.0938353370377747,-0.05114071316685864,1.0938353370377747,-3.2198469445239795,2.019171435651344,10,950,11.290462599950843,dsci_train,training
DSCI,960,960,1.0938353370377747,-0.7691093025553846,1.0938353370377747,-4.429070019082787,1.9222852599623717,10,960,11.397482300002594,dsci_train,training
DSCI,970,970,1.0938353370377747,-0.6470239912265454,1.0938353370377747,-3.149553283455772,1.6686777984288736,10,970,11.517953299975488,dsci_train,training
DSCI,980,980,1.0938353370377747,0.45181786167886284,1.0938353370377747,-3.1750999166167935,1.6776572132156127,10,980,11.60777349997079,dsci_train,training
DSCI,990,990,1.0938353370377747,-2.0827741904586086,1.0938353370377747,-3.3131489587323713,1.1082706097620043,10,990,11.711440999992192,dsci_train,training
DSCI,1000,1000,1.0938353370377747,-0.7642445530537121,1.0938353370377747,-4.257406092716634,1.4282703382087143,10,1000,11.808945900003891,dsci_train,training
DSCI,1010,1010,1.0938353370377747,-2.000438620632907,1.0938353370377747,-3.788313124484526,2.601364651727991,10,1010,11.906132099975366,dsci_train,training
DSCI,1020,1020,1.0938353370377747,-0.1942632222625269,1.0938353370377747,-3.718615334917277,1.9130994343074035,10,1020,12.01803859998472,dsci_train,training
DSCI,1030,1030,1.0938353370377747,-1.5525902653606671,1.0938353370377747,-3.4881539141215385,1.0316051037155685,10,1030,12.114261699956842,dsci_train,training
DSCI,1040,1040,1.0938353370377747,-0.32402539147492293,1.0938353370377747,-2.606078845046472,1.301466089289163,10,1040,12.217394699982833,dsci_train,training
DSCI,1050,1050,1.0938353370377747,-0.20469182180106338,1.0938353370377747,-3.04462226533209,1.6712370161776193,10,1050,12.328304299968295,dsci_train,training
DSCI,1060,1060,1.0938353370377747,-0.753215058716695,1.0938353370377747,-3.2729777288231636,1.8915622667273844,10,1060,12.439000799960922,dsci_train,training
DSCI,1070,1070,1.0938353370377747,-0.5538345531676621,1.0938353370377747,-2.656726149030855,1.163117234562593,10,1070,12.539782599953469,dsci_train,training
DSCI,1080,1080,1.0938353370377747,-0.5891954577092653,1.0938353370377747,-3.657582739970658,1.9190855381113072,10,1080,12.649036499962676,dsci_train,training
DSCI,1090,1090,1.0938353370377747,-0.946025236240009,1.0938353370377747,-3.7081277640137373,2.0774583852466284,10,1090,12.758126200002152,dsci_train,training
DSCI,1100,1100,1.0938353370377747,-0.29800182477252624,1.0938353370377747,-2.739305274008968,1.1575572256580353,10,1100,12.870786699990276,dsci_train,training
DSCI,1110,1110,1.0938353370377747,0.502293727728917,1.0938353370377747,-2.6890164719824288,2.0613257049679827,10,1110,12.978379699983634,dsci_train,training
DSCI,1120,1120,1.0938353370377747,0.0069541419342902255,1.0938353370377747,-3.1744743929804846,1.6958357112239582,10,1120,13.094273499969859,dsci_train,training
DSCI,1130,1130,1.0938353370377747,-0.20492018096607478,1.0938353370377747,-3.1457617172765597,1.7164335905567565,10,1130,13.198187100002542,dsci_train,training
