epoch,stage,train_loss,train_acc,val_loss,val_acc
84,Stage‑2,1.0796323506669565,63.31111111111111,1.0799255929415739,62.44
85,Stage‑2,1.0776307851245457,63.284444444444446,1.1206446644626087,60.54
86,Stage‑2,1.0756420874968171,63.36222222222222,1.060965523689608,62.86
87,Stage‑2,1.0721042329784145,63.355555555555554,1.0685517901106725,63.1
88,Stage‑2,1.0733888524330475,63.4,1.0794622279420685,62.84
89,Stage‑2,1.0678190722722898,63.39111111111111,1.0685255218155776,62.68
90,Stage‑2,1.066676415249028,63.522222222222226,1.0581094162373603,63.56
91,Stage‑2,1.0633703245866029,63.62222222222222,1.0544172963009606,63.44
92,Stage‑2,1.058697874319147,63.833333333333336,1.0536477701573432,63.3
93,Stage‑2,1.0568995603614233,63.94888888888889,1.042335331439972,64.06
94,Stage‑2,1.0547518974000758,64.08666666666667,1.0386370616623117,64.4
95,Stage‑2,1.0533182708207856,64.39111111111112,1.0455661483957797,63.82
96,Stage‑2,1.0487924256277354,64.13777777777777,1.0307009122039699,64.76
97,Stage‑2,1.0506637477400629,64.07111111111111,1.0410574455804462,64.66
98,Stage‑2,1.0437603192403913,64.33777777777777,1.0494435836997213,63.14
99,Stage‑2,1.0476366182450543,64.32222222222222,1.0637825493571125,63.16
100,Stage‑2,1.0461205658079549,64.4,1.045278779313534,63.8
101,Stage‑3,1.0614702928472648,69.2088888888889,0.7546794429610048,76.38
102,Stage‑3,0.6355227194726467,80.46888888888888,0.6462156693392163,78.86
103,Stage‑3,0.5338470673357899,83.06,0.5781017941764638,80.96
104,Stage‑3,0.48097272285006265,84.30222222222223,0.540576732988599,81.88
105,Stage‑3,0.4445956787094474,85.57777777777778,0.5122372368468514,82.4
106,Stage‑3,0.4138938241257248,86.31111111111112,0.543462953424152,81.6
107,Stage‑3,0.39783281458287756,86.78888888888889,0.5128569191769708,82.42
108,Stage‑3,0.3799880471038209,87.42666666666666,0.5094173871263673,82.86
109,Stage‑3,0.3675804319579832,87.73555555555555,0.46332076984115794,84.14
110,Stage‑3,0.3552088256163353,88.02888888888889,0.4826090528240687,83.28
111,Stage‑3,0.34437237155031075,88.4088888888889,0.45210787653923035,84.58
112,Stage‑3,0.33538492070510983,88.57111111111111,0.4744639672056029,83.38
113,Stage‑3,0.3313606978732754,88.80666666666667,0.4782902990715413,83.6
114,Stage‑3,0.3212096606254239,89.10222222222222,0.4556201285199274,84.6
115,Stage‑3,0.31492884166073054,89.31555555555556,0.4537226232358172,84.5
116,Stage‑3,0.31095634833697905,89.53111111111112,0.4610127108761027,84.58
117,Stage‑3,0.3073939552572979,89.55555555555556,0.47677971592432333,83.8
118,Stage‑3,0.30192711676301603,89.69333333333333,0.44183092102219784,84.46
119,Stage‑3,0.29524041279430757,89.89777777777778,0.4622918023150178,84.04
120,Stage‑3,0.2887809414585883,90.18444444444444,0.4315986967162241,85.14
121,Stage‑3,0.2886450177122077,90.22666666666667,0.42519846200188505,85.52
122,Stage‑3,0.2807612996760078,90.41111111111111,0.42960507545290116,84.94
123,Stage‑3,0.2775972801768644,90.53555555555556,0.4349789600583571,85.6
124,Stage‑3,0.2789260103176771,90.43555555555555,0.4447447238843652,84.92
125,Stage‑3,0.271886366811073,90.67111111111112,0.4644206249261204,84.1
126,Stage‑3,0.2738937023413283,90.70222222222222,0.4282477411288249,85.0
127,Stage‑3,0.2687642999967052,90.83555555555556,0.4325954374633258,85.32
128,Stage‑3,0.26846950337163766,90.82,0.4200351234478287,85.44
129,Stage‑3,0.26513177570251917,90.85333333333334,0.42020173785807213,85.4
130,Stage‑3,0.26212090881414374,91.07333333333334,0.42293473493449296,85.74
131,Stage‑3,0.2612233704527501,90.91777777777777,0.4238214771958846,85.62
132,Stage‑3,0.2637830834137276,90.84222222222222,0.45099771815010264,85.1
133,Stage‑3,0.25897898214911536,91.05111111111111,0.4286131342000599,85.3
134,Stage‑3,0.2511838314081119,91.30444444444444,0.44147359796717195,84.88
135,Stage‑3,0.25134931422177365,91.39111111111112,0.4129568545878688,86.16
136,Stage‑3,0.25058279501337727,91.37777777777778,0.4435160037460206,84.9
137,Stage‑3,0.24852474736557764,91.52,0.463188940588432,84.12
138,Stage‑3,0.2487398547501388,91.38888888888889,0.43033184695847426,85.34
139,Stage‑3,0.24552786065561866,91.55111111111111,0.40196381848824175,85.66
140,Stage‑3,0.24209647269030524,91.58222222222223,0.42357594227489037,85.56
141,Stage‑3,0.23935872492041776,91.74888888888889,0.41679541691194605,85.84
142,Stage‑3,0.24063486377814447,91.67777777777778,0.432576465078547,85.42
143,Stage‑3,0.24140942753927613,91.65333333333334,0.41985724074176595,85.66
144,Stage‑3,0.23954109523699366,91.58888888888889,0.41933663660966897,85.36
145,Stage‑3,0.2315295452082699,92.13111111111111,0.4055974857905243,86.1
146,Stage‑3,0.23431967566086148,91.86888888888889,0.4376457227936274,85.06
147,Stage‑3,0.23331826233135705,92.01333333333334,0.4004155459660518,86.48
148,Stage‑3,0.2315393522254784,91.88888888888889,0.4247626088842561,85.62
149,Stage‑3,0.23104359511688183,91.97555555555556,0.4558335935956315,84.52
150,Stage‑3,0.23401842499151826,91.84,0.42094178460066833,85.66
